Paragraph,Tasks
"""A rule licensing any edge corresponding to a production whose right-hand side begins with a complete edge’s left-hand side. In particular, this rule specifies that [A -> alpha \*] licenses the edge [B -> \* A beta] for each grammar production B -> A beta.""",
"""Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.""","Add edges, Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,"pass edges to apply(), Specify number of edges"
iter(EdgeI),
Bases: nltk.parse.chart.TopDownPredictRule,
"""A cached version of TopDownPredictRule. After the first time this rule is applied to an edge with a given end and next, it will not generate any more edges for edges with that end and next.""",
"""If chart or grammar are changed, then the cache is flushed.""",
"""Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.""","Add edges, Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,"pass edges to apply(), Specify number of edges"
iter(EdgeI),
Bases: object,
"""A blackboard for hypotheses about the syntactic constituents of a sentence. A chart contains a set of edges, and each edge encodes a single hypothesis about the structure of some portion of the sentence.""",
"""The select method can be used to select a specific collection of edges. For example chart.select(is_complete=True, start=0) yields all complete edges whose start indices are 0. To ensure the efficiency of these selection operations, Chart dynamically creates and maintains an index for each set of attributes that have been selected on.""","Select specific collection of edges, Use select method, Create index for set"
"""In order to reconstruct the trees that are represented by an edge, the chart associates each edge with a set of child pointer lists. A child pointer list is a list of the edges that license an edge’s right-hand side.""",
_tokens – The sentence that the chart covers.,
_num_leaves – The number of tokens.,
_edges – A list of the edges in the chart,
_edge_to_cpls – A dictionary mapping each edge to a set of child pointer lists that are associated with that edge.,
"""_indexes – A dictionary mapping tuples of edge attributes to indices, where each index maps the corresponding edge attribute values to lists of edges.""",
Return the set of child pointer lists for the given edge. Each child pointer list is a list of edges that have been used to form this edge.,"List for given edge, Use edges"
list(list(EdgeI)),
Return a list of all edges in this chart. New edges that are added to the chart after the call to edges() will not be contained in this list.,Return list of edges in chart
list(EdgeI),
"""iteredges, select""",
Clear the chart.,Clear chart 
"""Add a new edge to the chart, and return True if this operation modified the chart. In particular, return true iff the chart did not already contain edge, or if it did not already associate child_pointer_lists with edge.""","Add new edge to chart, Modify, Chart"
edge (EdgeI) – The new edge,
child_pointer_lists (sequence of tuple(EdgeI)) – A sequence of lists of the edges that were used to form this edge. This list is used to reconstruct the trees (or partial trees) that are associated with edge.,Use sequence of lists
bool,
"""Add a new edge to the chart, using a pointer to the previous edge.""","Add new edge to chart, Use pointer to previous edge "
Return an iterator over the edges in this chart. It is not guaranteed that new edges which are added to the chart before the iterator is exhausted will also be generated.,Return iterator over chart
iter(EdgeI),
"""edges, select""",
Return the leaf value of the word at the given index.,Return leaf value of word
str,
Return a list of the leaf values of each word in the chart’s sentence.,Return list of leaf values
list(str),
Return the number of edges contained in this chart.,Return number of edges
int,
Return the number of words in this chart’s sentence.,
int,
"""Return an iterator of the complete tree structures that span the entire chart, and whose root node is root.""",Return iterator that span chart
Return a pretty-printed string representation of this chart.,Return pretty-printed string representatin of this chart
width – The number of characters allotted to each index in the sentence.,
str,
Return a pretty-printed string representation of a given edge in this chart.,Return pretty-printed string representation of given edge
str,
width – The number of characters allotted to each index in the sentence.,
Return a pretty-printed string representation of this chart’s leaves. This string can be used as a header for calls to pretty_format_edge.,Return pretty-printed string representation of chart leaves
Return an iterator over the edges in this chart. Any new edges that are added to the chart before the iterator is exahusted will also be generated. restrictions can be used to restrict the set of edges that will be generated.,Return iterator over edges in chart
span – Only generate edges e where e.span()==span,Generate edges e
start – Only generate edges e where e.start()==start,Generate edges e
end – Only generate edges e where e.end()==end,Generate edges e
length – Only generate edges e where e.length()==length,Generate edges e
lhs – Only generate edges e where e.lhs()==lhs,Generate edges e
rhs – Only generate edges e where e.rhs()==rhs,Generate edges e
nextsym – Only generate edges e where e.nextsym()==nextsym,Generate edges e
dot – Only generate edges e where e.dot()==dot,Generate edges e
is_complete – Only generate edges e where e.is_complete()==is_complete,Generate edges e
is_incomplete – Only generate edges e where e.is_incomplete()==is_incomplete,Generate edges e
iter(EdgeI),
Return an iterator of the tree structures that are associated with edge.,Return iterator of tree structures
"""If edge is incomplete, then the unexpanded children will be encoded as childless subtrees, whose node value is the corresponding terminal or nonterminal.""",
list(Tree),
"""If two trees share a common subtree, then the same Tree may be used to encode that subtree in both trees. If you need to eliminate this subtree sharing, then create a deep copy of each tree.""","Encode subtree in trees, Create deep copy of tree"
Bases: nltk.parse.api.ParserI,
"""A generic chart parser. A “strategy”, or list of ChartRuleI instances, is used to decide what edges to add to the chart. In particular, ChartParser uses the following algorithm to parse texts:""",
Return the final parse Chart from which all possible parse trees can be extracted.,Return final parse chart
tokens (list(str)) – The sentence to be parsed,
Chart,
The grammar used by this parser.,Use by parser
An iterator that generates parse trees for the sentence.,Generate parse trees
When possible this list is sorted from most likely to least likely.,
sent (list(str)) – The sentence to be parsed,
iter(Tree),
Bases: object,
"""A rule that specifies what new edges are licensed by any given set of existing edges. Each chart rule expects a fixed number of edges, as indicated by the class variable NUM_EDGES. In particular:""",Specify rule of existing edges
"""A chart rule with NUM_EDGES=0 specifies what new edges are licensed, regardless of existing edges.""",Specify regardless of existing edges
A chart rule with NUM_EDGES=1 specifies what new edges are licensed by a single existing edge.,Specify by single edge
A chart rule with NUM_EDGES=2 specifies what new edges are licensed by a pair of existing edges.,Specify by pair of edges
"""NUM_EDGES – The number of existing edges that this rule uses to license new edges. Typically, this number ranges from zero to two.""",
"""Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.""","Add edges to chart, Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,"Pass edges to apply(), Specify number of edges"
iter(EdgeI),
"""Return a generator that will add all edges licensed by this rule, given the edges that are currently in the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.""","Add edges to chart, Add new edge"
iter(EdgeI),
Bases: object,
A hypothesis about the structure of part of a sentence. Each edge records the fact that a structure is (partially) consistent with the sentence. An edge contains:,
"""A span, indicating what part of the sentence is consistent with the hypothesized structure.""",
"""A left-hand side, specifying what kind of structure is hypothesized.""",
"""A right-hand side, specifying the contents of the hypothesized structure.""",
"""A dot position, indicating how much of the hypothesized structure is consistent with the sentence.""",
Every edge is either complete or incomplete:,
An edge is complete if its structure is fully consistent with the sentence.,
"""An edge is incomplete if its structure is partially consistent with the sentence. For every incomplete edge, the span specifies a possible prefix for the edge’s structure.""",
There are two kinds of edge:,
A TreeEdge records which trees have been found to be (partially) consistent with the text.,
A LeafEdge records the tokens occurring in the text.,
"""The EdgeI interface provides a common interface to both types of edge, allowing chart parsers to treat them in a uniform manner.""",
"""Return this edge’s dot position, which indicates how much of the hypothesized structure is consistent with the sentence. In particular, self.rhs[:dot] is consistent with tokens[self.start():self.end()].""",Return dot position
int,
Return the end index of this edge’s span.,Return end index
int,
Return True if this edge’s structure is fully consistent with the text.,
bool,
Return True if this edge’s structure is partially consistent with the text.,
bool,
Return the length of this edge’s span.,Return edge span length
int,
"""Return this edge’s left-hand side, which specifies what kind of structure is hypothesized by this edge.""","Return left-hand side, Specify kind of structure"
TreeEdge and LeafEdge for a description of the left-hand side values for each edge type.,
Return the element of this edge’s right-hand side that immediately follows its dot.,Return element of right-hand side
Nonterminal or terminal or None,
"""Return this edge’s right-hand side, which specifies the content of the structure hypothesized by this edge.""","Return right-hand side, Specify content of structure"
TreeEdge and LeafEdge for a description of the right-hand side values for each edge type.,
"""Return a tuple (s, e), where tokens[s:e] is the portion of the sentence that is consistent with this edge’s structure.""","Return tuple (s, e)"
"""tuple(int, int)""",
Return the start index of this edge’s span.,Return start index
int,
Bases: nltk.parse.chart.AbstractChartRule,
"""A rule that inserts all empty productions as passive edges, in every position in the chart.""",
"""Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.""","Add edges to chart, Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,"Pass edges to apply(), Specify number of edges"
iter(EdgeI),
Bases: nltk.parse.chart.BottomUpPredictCombineRule,
"""Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.""","Add edges to chart, Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,"Pass edges to apply(), Specify number of edges"
iter(EdgeI),
Bases: nltk.parse.chart.SingleEdgeFundamentalRule,
Bases: nltk.parse.chart.AbstractChartRule,
"""A rule that joins two adjacent edges to form a single combined edge. In particular, this rule specifies that any pair of edges""",
[A -> alpha \* B beta][i:j],
[B -> gamma \*][j:k],
licenses the edge:,
[A -> alpha B * beta][i:j],
"""Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.""","Add edges to chart, Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,"Pass edges to apply(), Specify number of edges"
iter(EdgeI),
Bases: nltk.parse.chart.EdgeI,
An edge that records the fact that a leaf value is consistent with a word in the sentence. A leaf edge consists of:,
"""An index, indicating the position of the word.""",
"""A leaf, specifying the word’s content.""",
"""A leaf edge’s left-hand side is its leaf value, and its right hand side is (). Its span is [index, index+1], and its dot position is 0.""",
"""Return this edge’s dot position, which indicates how much of the hypothesized structure is consistent with the sentence. In particular, self.rhs[:dot] is consistent with tokens[self.start():self.end()].""",
int,
Return the end index of this edge’s span.,Return end index
int,
Return True if this edge’s structure is fully consistent with the text.,
bool,
Return True if this edge’s structure is partially consistent with the text.,
bool,
Return the length of this edge’s span.,Return edge span length
int,
"""Return this edge’s left-hand side, which specifies what kind of structure is hypothesized by this edge.""","Return left-hand side, Specify kind of structure"
TreeEdge and LeafEdge for a description of the left-hand side values for each edge type.,
Return the element of this edge’s right-hand side that immediately follows its dot.,Return element of right-hand side
Nonterminal or terminal or None,
"""Return this edge’s right-hand side, which specifies the content of the structure hypothesized by this edge.""","Return right-hand side, Specify content of structure"
TreeEdge and LeafEdge for a description of the right-hand side values for each edge type.,
"""Return a tuple (s, e), where tokens[s:e] is the portion of the sentence that is consistent with this edge’s structure.""","Return tuple (s, e)"
"""tuple(int, int)""",
Return the start index of this edge’s span.,Return start index
int,
Bases: nltk.parse.chart.AbstractChartRule,
"""Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.""","Add edges to chart, Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,"Pass edges to apply(), Specify number of edges"
iter(EdgeI),
Bases: nltk.parse.chart.ChartParser,
Bases: nltk.parse.chart.FundamentalRule,
"""A rule that joins a given edge with adjacent edges in the chart, to form combined edges. In particular, this rule specifies that either of the edges:""",
[A -> alpha \* B beta][i:j],
[B -> gamma \*][j:k],
licenses the edge:,
[A -> alpha B * beta][i:j],
if the other edge is already in the chart.,
"""This is basically FundamentalRule, with one edge left unspecified.""",
"""Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.""","Add edges to chart, Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,"Pass edges to apply(), Specify number of edges"
iter(EdgeI),
Bases: nltk.parse.chart.ChartParser,
"""A ChartParser that allows you to step through the parsing process, adding a single edge at a time. It also allows you to change the parser’s strategy or grammar midway through parsing a text.""",
The initialize method is used to start parsing a text. step adds a single edge to the chart. set_strategy changes the strategy used by the chart parser. parses returns the set of parses that has been found by the chart parser.,
"""_restart – Records whether the parser’s strategy, grammar, or chart has been changed. If so, then step must restart the parsing algorithm.""",
Return the chart that is used by this parser.,
Return the chart rule used to generate the most recent edge.,
Return the grammar used by this parser.,
Begin parsing the given tokens.,
An iterator that generates parse trees for the sentence.,
When possible this list is sorted from most likely to least likely.,
sent (list(str)) – The sentence to be parsed,
iter(Tree),
Return the parse trees currently contained in the chart.,
Load a given chart into the chart parser.,
Change the grammar used by the parser.,
Change the strategy that the parser uses to decide which edges to add to the chart.,
strategy (list(ChartRuleI)) – A list of rules that should be used to decide what edges to add to the chart.,
"""Return a generator that adds edges to the chart, one at a time. Each time the generator is resumed, it adds a single edge and yields that edge. If no more edges can be added, then it yields None.""",
"""If the parser’s strategy, grammar, or chart is changed, then the generator will continue adding edges using the new strategy, grammar, or chart.""",
"""Note that this generator never terminates, since the grammar or strategy might be changed to values that would add new edges. Instead, it yields None when no more edges can be added with the current strategy and grammar.""",
Return the strategy used by this parser.,
Bases: nltk.parse.chart.ChartParser,
A ChartParser using a top-down parsing strategy. See ChartParser for more information.,
Bases: nltk.parse.chart.AbstractChartRule,
"""A rule licensing edges corresponding to the grammar productions for the grammar’s start symbol. In particular, this rule specifies that [S -> \* alpha][0:i] is licensed for each grammar production S -> alpha, where S is the grammar’s start symbol.""",
"""Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.""","Add edges to chart, Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,"Pass edges to apply(), Specify number of edges"
iter(EdgeI),
Bases: nltk.parse.chart.AbstractChartRule,
"""A rule licensing edges corresponding to the grammar productions for the nonterminal following an incomplete edge’s dot. In particular, this rule specifies that [A -> alpha \* B beta][i:j] licenses the edge [B -> \* gamma][j:j] for each grammar production B -> gamma.""",
This rule corresponds to the Predictor Rule in Earley parsing.,
"""Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.""","Add edges to chart, Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,"Pass edges to apply(), Specify number of edges"
iter(EdgeI),
Bases: nltk.parse.chart.EdgeI,
An edge that records the fact that a tree is (partially) consistent with the sentence. A tree edge consists of:,
"""A span, indicating what part of the sentence is consistent with the hypothesized tree.""",
"""A left-hand side, specifying the hypothesized tree’s node value.""",
"""A right-hand side, specifying the hypothesized tree’s children. Each element of the right-hand side is either a terminal, specifying a token with that terminal as its leaf value; or a nonterminal, specifying a subtree with that nonterminal’s symbol as its node value.""",
"""A dot position, indicating which children are consistent with part of the sentence. In particular, if dot is the dot position, rhs is the right-hand size, (start,end) is the span, and sentence is the list of tokens in the sentence, then tokens[start:end] can be spanned by the children specified by rhs[:dot].""",
"""For more information about edges, see the EdgeI interface.""",
"""Return this edge’s dot position, which indicates how much of the hypothesized structure is consistent with the sentence. In particular, self.rhs[:dot] is consistent with tokens[self.start():self.end()].""",Return dot position
int,
Return the end index of this edge’s span.,Return end index
int,
"""Return a new TreeEdge formed from the given production. The new edge’s left-hand side and right-hand side will be taken from production; its span will be (index,index); and its dot position will be 0.""",
TreeEdge,
Return True if this edge’s structure is fully consistent with the text.,
bool,
Return True if this edge’s structure is partially consistent with the text.,
bool,
Return the length of this edge’s span.,Return edge span length
int,
"""Return this edge’s left-hand side, which specifies what kind of structure is hypothesized by this edge.""","Return left-hand side, Specify kind of structure"
TreeEdge and LeafEdge for a description of the left-hand side values for each edge type.,
"""Return a new TreeEdge formed from this edge. The new edge’s dot position is increased by 1, and its end index will be replaced by new_end.""",
new_end (int) – The new end index.,
TreeEdge,
Return the element of this edge’s right-hand side that immediately follows its dot.,Return element of right-hand side
Nonterminal or terminal or None,
"""Return this edge’s right-hand side, which specifies the content of the structure hypothesized by this edge.""","Return right-hand side, Specify content of structure"
TreeEdge and LeafEdge for a description of the right-hand side values for each edge type.,
"""Return a tuple (s, e), where tokens[s:e] is the portion of the sentence that is consistent with this edge’s structure.""","Return tuple (s, e)"
"""tuple(int, int)""",
Return the start index of this edge’s span.,Return start index
int,
A demonstration of the chart parsers.,
Bases: nltk.parse.corenlp.GenericCoreNLPParser,
Dependency parser.,
Non-breaking space inside of a token.,
Phone numbers.,
Bases: nltk.parse.corenlp.GenericCoreNLPParser,
Bases: object,
Starts the CoreNLP server,
"""stderr (stdout,) – Specifies where CoreNLP output is redirected. Valid values are ‘devnull’, ‘stdout’, ‘pipe’""",
Bases: OSError,
Exceptions associated with the Core NLP server.,
"""Bases: nltk.parse.api.ParserI, nltk.tokenize.api.TokenizerI, nltk.tag.api.TaggerI""",
Interface to the CoreNLP Parser.,
Parse multiple sentences.,
Takes multiple sentences as a list where each sentence is a list of words. Each sentence will be automatically tagged with this CoreNLPParser instance’s tagger.,
"""If a whitespace exists inside a token, then the token will be treated as several tokens.""",
sentences (list(list(str))) – Input sentences to parse,
iter(iter(Tree)),
Parse a piece of text.,
The text might contain several sentences which will be split by CoreNLP.,
text (str) – text to be split.,
an iterable of syntactic structures. # TODO: should it be an iterable of iterables?,
Parse a sentence.,
"""Takes a sentence as a string; before parsing, it will be automatically tokenized and tagged by the CoreNLP Parser.""","Tokenize sentences, Tag sentence"
sentence (str) – Input sentence to parse,
iter(Tree),
Parse multiple sentences.,
Takes multiple sentences as a list of strings. Each sentence will be automatically tokenized and tagged.,"Tokenize sentence, Tag sentence"
sentences (list(str)) – Input sentences to parse.,
iter(iter(Tree)),
Tag multiple sentences.,
Takes multiple sentences as a list where each sentence is a string.,
sentences (list(str)) – Input sentences to tag,
"""list(list(list(tuple(str, str)))""",
Tag a list of tokens.,
"""list(tuple(str, str))""",
Tag multiple sentences.,
Takes multiple sentences as a list where each sentence is a list of tokens.,
sentences (list(list(str))) – Input sentences to tag,
"""list(list(tuple(str, str))""",
Tokenize a string of text.,
Tools for reading and writing dependency trees. The input is assumed to be in Malt-TAB format (http://stp.lingfil.uu.se/~nivre/research/MaltXML.html).,
Bases: object,
A container for the nodes and labelled edges of a dependency structure.,
Adds an arc from the node specified by head_address to the node specified by the mod address.,"Add arc from node, Specify to node"
Fully connects all non-root nodes. All nodes are set to be dependents of the root node.,Set nodes
"""Returns true if the graph contains a node with the given node address, false otherwise.""",Return true
Check whether there are cycles.,Check cycles
Return the node with the given address.,Return node with given address
Returns the number of left children under the node specified by the given address.,"Return number of left children, Return number under node"
filename – a name of a file in Malt-TAB format,
zero_based – nodes in the input file are numbered starting from 0,
"""rather than 1 (as produced by, e.g., zpar) :param str cell_separator: the cell separator. If not provided, cells are split by whitespace. :param str top_relation_label: the label by which the top relation is identified, for examlple, ROOT, null or TOP.""",
a list of DependencyGraphs,
Convert the data in a nodelist into a networkx labeled directed graph.,"Convert data into networkx, Convert data in nodelist"
Redirects arcs to any of the nodes in the originals list to the redirect node address.,Redirect nocde arcs
Removes the node with the given address. References to this node in others will still exist.,Remove node with given address
Returns the number of right children under the node specified by the given address.,"Return number of right children, Return number under node"
The dependency graph in CoNLL format.,
"""style (int) – the style to use for the format (3, 4, 10 columns)""",
str,
Return a dot representation suitable for using with Graphviz.,Use with Graphviz
"""Starting with the root node, build a dependency tree using the NLTK Tree constructor. Dependency labels are omitted.""",
"""Extract dependency triples of the form: ((head word, head tag), rel, (dep word, dep tag))""",Extract dependency triples
Bases: Exception,
Dependency graph exception.,
A demonstration of how to read a string representation of a CoNLL format dependency tree.,
A demonstration of the result of reading a dependency version of the first sentence of the Penn Treebank.,
"""Data classes and parser implementations for incremental chart parsers, which use dynamic programming to efficiently parse a text. A “chart parser” derives parse trees for a text by iteratively adding “edges” to a “chart”. Each “edge” represents a hypothesis about the tree structure for a subsequence of the text. The “chart” is a “blackboard” for composing and combining these hypotheses.""",
"""A parser is “incremental”, if it guarantees that for all i, j where i < j, all edges ending at i are built before any edges ending at j. This is appealing for, say, speech recognizer hypothesis filtering.""",
"""The main parser class is EarleyChartParser, which is a top-down algorithm, originally formulated by Jay Earley (1970).""",
Bases: nltk.parse.chart.SingleEdgeFundamentalRule,
Bases: nltk.parse.earleychart.CompleteFundamentalRule,
"""Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.""","Add edges to chart, Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,"Pass edges to apply(), Specify number of edges"
iter(EdgeI),
Bases: nltk.parse.earleychart.IncrementalChartParser,
Bases: nltk.parse.featurechart.FeatureSingleEdgeFundamentalRule,
Bases: nltk.parse.earleychart.CompleterRule,
Bases: nltk.parse.earleychart.FeatureIncrementalChartParser,
Bases: nltk.parse.earleychart.FeatureIncrementalChartParser,
Bases: nltk.parse.earleychart.FeatureIncrementalChartParser,
"""Bases: nltk.parse.earleychart.IncrementalChart, nltk.parse.featurechart.FeatureChart""",
Returns an iterator over the edges in this chart. See Chart.select for more information about the restrictions on the edges.,Return iterator over edges
"""Bases: nltk.parse.earleychart.IncrementalChartParser, nltk.parse.featurechart.FeatureChartParser""",
Bases: nltk.parse.earleychart.FeatureIncrementalChartParser,
Bases: nltk.parse.featurechart.FeatureTopDownPredictRule,
Bases: nltk.parse.earleychart.ScannerRule,
Bases: nltk.parse.chart.FilteredSingleEdgeFundamentalRule,
"""Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.""","Add edges to chart, Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,"Pass edges to apply(), Specify number of edges"
iter(EdgeI),
Bases: nltk.parse.earleychart.IncrementalChartParser,
Bases: nltk.parse.earleychart.IncrementalChartParser,
Bases: nltk.parse.chart.Chart,
Return a list of all edges in this chart. New edges that are added to the chart after the call to edges() will not be contained in this list.,Return list of edges in chart
list(EdgeI),
"""iteredges, select""",
Clear the chart.,Clear chart 
Return an iterator over the edges in this chart. It is not guaranteed that new edges which are added to the chart before the iterator is exhausted will also be generated.,Return iterator over chart
iter(EdgeI),
"""edges, select""",
Return an iterator over the edges in this chart. Any new edges that are added to the chart before the iterator is exahusted will also be generated. restrictions can be used to restrict the set of edges that will be generated.,"Return iterator over edges, Use restrictions"
span – Only generate edges e where e.span()==span,Generate edges e
start – Only generate edges e where e.start()==start,Generate edges e
end – Only generate edges e where e.end()==end,Generate edges e
length – Only generate edges e where e.length()==length,Generate edges e
lhs – Only generate edges e where e.lhs()==lhs,Generate edges e
rhs – Only generate edges e where e.rhs()==rhs,Generate edges e
nextsym – Only generate edges e where e.nextsym()==nextsym,Generate edges e
dot – Only generate edges e where e.dot()==dot,Generate edges e
is_complete – Only generate edges e where e.is_complete()==is_complete,Generate edges e
is_incomplete – Only generate edges e where e.is_incomplete()==is_incomplete,Generate edges e
iter(EdgeI),
Bases: nltk.parse.chart.ChartParser,
An incremental chart parser implementing Jay Earley’s parsing algorithm:,
Return the final parse Chart from which all possible parse trees can be extracted.,Return final parse Chart
tokens (list(str)) – The sentence to be parsed,
Chart,
Bases: nltk.parse.earleychart.IncrementalChartParser,
Bases: nltk.parse.earleychart.IncrementalChartParser,
