Paragraph,Tasks
"""#imports >>> from nltk.tbl.template import Template >>> from nltk.tag.brill import Pos, Word >>> from nltk.tag import untag, RegexpTagger, BrillTaggerTrainer""",
#some data >>> from nltk.corpus import treebank >>> training_data = treebank.tagged_sents()[:100] >>> baseline_data = treebank.tagged_sents()[100:200] >>> gold_data = treebank.tagged_sents()[200:300] >>> testing_data = [untag(s) for s in gold_data],
"""#templates >>> Template._cleartemplates() #clear any templates created in earlier tests >>> templates = [Template(Pos([-1])), Template(Pos([-1]), Word([0]))]""",
"""#construct a BrillTaggerTrainer >>> tt = BrillTaggerTrainer(baseline, templates, trace=3)""",
"""# a high-accuracy tagger >>> tagger2 = tt.train(training_data, max_rules=10, min_acc=0.99) TBL train (fast) (seqs: 100; tokens: 2417; tpls: 2; min score: 2; min acc: 0.99) Finding initial useful rules…""",
Found 845 useful rules.,
B |,
S F r O | Score = Fixed - Broken c i o t | R Fixed = num tags changed incorrect -> correct o x k h | u Broken = num tags changed correct -> incorrect r e e e | l Other = num tags changed incorrect -> incorrect e d n r | e,
"""85 85 0 0 | NN->, if Pos:NN@[-1] & Word:,@[0] 69 69 0 0 | NN->. if Pos:NN@[-1] & Word:.@[0] 51 51 0 0 | NN->IN if Pos:NN@[-1] & Word:of@[0] 36 36 0 0 | NN->TO if Pos:NN@[-1] & Word:to@[0] 26 26 0 0 | NN->. if Pos:NNS@[-1] & Word:.@[0] 24 24 0 0 | NN->, if Pos:NNS@[-1] & Word:,@[0] 19 19 0 6 | NN->VB if Pos:TO@[-1] 18 18 0 0 | CD->-NONE- if Pos:NN@[-1] & Word:0@[0] 18 18 0 0 | NN->CC if Pos:NN@[-1] & Word:and@[0]""",
"""# NOTE1: (!!FIXME) A far better baseline uses nltk.tag.UnigramTagger, # with a RegexpTagger only as backoff. For instance, # >>> baseline = UnigramTagger(baseline_data, backoff=backoff) # However, as of Nov 2013, nltk.tag.UnigramTagger does not yield consistent results # between python versions. The simplistic backoff above is a workaround to make doctests # get consistent input.""",
train_sents (list(list(tuple))) – training data,Get training data
max_rules (int) – output at most max_rules rules,Print max_rules rules
min_score (int) – stop training when no rules better than min_score can be found,Specify min score for all rules
min_acc (float or None) – discard any rule with lower accuracy than min_acc,Specify min accuracy 
the learned tagger,
BrillTagger,
A module for POS tagging using CRFSuite,
Bases: nltk.tag.api.TaggerI,
A module for POS tagging using CRFSuite https://pypi.python.org/pypi/python-crfsuite,
Setting learned model file >>> ct = CRFTagger() >>> ct.set_model_file(‘model.crf.tagger’) >>> ct.evaluate(gold_sentences) 1.0,
Train a new model using ``train’’ function,Train new model
Use the pre-trained model which is set via ``set_model_file’’ function,Use pre-trained model
""":params tokens : list of tokens needed to tag. :type tokens : list(str) :return : list of tagged tokens. :rtype : list (tuple(str,str))""",
Train a new model using ``train’’ function,Train new model
Use the pre-trained model which is set via ``set_model_file’’ function,User pre-trained model
""":params sentences : list of sentences needed to tag. :type sentences : list(list(str)) :return : list of tagged sentences. :rtype : list (list (tuple(str,str)))""",
"""Train the CRF tagger using CRFSuite :params train_data : is the list of annotated sentences. :type train_data : list (list(tuple(str,str))) :params model_file : the model will be saved to this file.""",Train CRF tagger using CRFSuite
"""Hidden Markov Models (HMMs) largely used to assign the correct label sequence to sequential data or assess the probability of a given label and data sequence. These models are finite state machines characterised by a number of states, transitions between these states, and output symbols emitted while in each state. The HMM is an extension to the Markov chain, where each state corresponds deterministically to a given event. In the HMM the observation is a probabilistic function of the state. HMMs share the Markov chain’s assumption, being that the probability of transition from one state to another only depends on the current state - i.e. the series of states that led to the current state are not used. They are also time invariant.""",
"""The HMM is a directed graph, with probability weighted edges (representing the probability of a transition between the source and sink states) where each vertex emits an output symbol when entered. The symbol (or observation) is non-deterministically generated. For this reason, knowing that a sequence of output observations was generated by a given HMM does not mean that the corresponding sequence of states (and what the current state is) is known. This is the ‘hidden’ in the hidden markov model.""",
"""Formally, a HMM can be characterised by:""",
the output observation alphabet. This is the set of symbols which may be observed as output of the system.,
the set of states.,
the transition probabilities a_{ij} = P(s_t = j | s_{t-1} = i). These represent the probability of transition to each state from a given state.,Get transition probabilities
the output probability matrix b_i(k) = P(X_t = o_k | s_t = i). These represent the probability of observing each symbol in a given state.,Get probability matrix
the initial state distribution. This gives the probability of starting in each state.,Get initial state distribution
"""To ground this discussion, take a common NLP application, part-of-speech (POS) tagging. An HMM is desirable for this task as the highest probability tag sequence can be calculated for a given sequence of word forms. This differs from other tagging techniques which often tag each word individually, seeking to optimise each individual tagging greedily without regard to the optimal combination of tags for a larger unit, such as a sentence. The HMM does this with the Viterbi algorithm, which efficiently computes the optimal path through the graph given the sequence of words forms.""",
"""In POS tagging the states usually have a 1:1 correspondence with the tag alphabet - i.e. each state represents a single tag. The output observation alphabet is the set of word forms (the lexicon), and the remaining three parameters are derived by a training regime. With this information the probability of a given sentence can be easily derived, by simply summing the probability of each distinct path through the model. Similarly, the highest probability tagging sequence can be derived with the Viterbi algorithm, yielding a state sequence which can be mapped into a tag sequence.""",
"""This discussion assumes that the HMM has been trained. This is probably the most difficult task with the model, and requires either MLE estimates of the parameters or unsupervised learning using the Baum-Welch algorithm, a variant of EM.""",
"""For more information, please consult the source code for this module, which includes extensive demonstration code.""",
Bases: nltk.tag.api.TaggerI,
"""Hidden Markov model class, a generative model for labelling sequence data. These models define the joint probability of a sequence of symbols and their labels (state transitions) as the product of the starting state probability, the probability of each state transition, and the probability of each observation being generated from each state. This is described in more detail in the module documentation.""",
"""This implementation is based on the HMM description in Chapter 8, Huang, Acero and Hon, Spoken Language Processing and includes an extension for training shallow HMM parsers or specialized HMMs as in Molina et. al, 2002. A specialized HMM modifies training data by applying a specialization function to create a new training set that is more appropriate for sequential tagging with an HMM. A typical use case is chunking.""",
symbols (seq of any) – the set of output symbols (alphabet),Get set of output symbols
states (seq of any) – a set of states representing state space,Get state space
transitions (ConditionalProbDistI) – transition probabilities; Pr(s_i | s_j) is the probability of transition from state i given the model is in state_j,Get transition probabilities 
outputs (ConditionalProbDistI) – output probabilities; Pr(o_k | s_i) is the probability of emitting symbol k when entering state i,Get output probabilities
priors (ProbDistI) – initial state distribution; Pr(s_i) is the probability of starting in state i,
"""transform (callable) – an optional function for transforming training instances, defaults to the identity function.""",Transform training instances
Returns the state sequence of the optimal (most probable) path through the HMM. Uses the Viterbi algorithm to calculate this part by dynamic programming.,Return state sequence of optimal path through HMM
the state sequence,
sequence of any,
unlabeled_sequence (list) – the sequence of unlabeled symbols,
"""Returns the state sequence of the optimal (most probable) path through the HMM. Uses the Viterbi algorithm to calculate this part by dynamic programming. This uses a simple, direct method, and is included for teaching purposes.""",Get state sequence of optimal path through HMM
the state sequence,
sequence of any,
unlabeled_sequence (list) – the sequence of unlabeled symbols,
Returns the entropy over labellings of the given sequence. This is given by:,Returns entropy over labellings of the given sequence
"""where the summation ranges over all state sequences, S. Let Z = Pr(O) = sum_S Pr(S, O)} where the summation ranges over all state sequences and O is the observation sequence. As such the entropy can be re-expressed as:""",
"""The order of summation for the log terms can be flipped, allowing dynamic programming to be used to calculate the entropy. Specifically, we use the forward and backward probabilities (alpha, beta) giving:""",Calculate the entropy
"""This simply uses alpha and beta to find the probabilities of partial sequences, constrained to include the given state(s) at some point in time.""",Find probabilities of partial sequences
"""Returns the log-probability of the given symbol sequence. If the sequence is labelled, then returns the joint log-probability of the symbol, state sequence. Otherwise, uses the forward algorithm to find the log-probability over all label sequences.""",Get log-probability of given symbol sequence
the log-probability of the sequence,
float,
"""sequence (Token) – the sequence of symbols which must contain the TEXT property, and optionally the TAG property""",
"""Returns the pointwise entropy over the possible states at each position in the chain, given the observation sequence.""",Get pointwise entropy
"""Returns the probability of the given symbol sequence. If the sequence is labelled, then returns the joint probability of the symbol, state sequence. Otherwise, uses the forward algorithm to find the probability over all label sequences.""",Get probability of given symbol sequence
the probability of the sequence,
float,
"""sequence (Token) – the sequence of symbols which must contain the TEXT property, and optionally the TAG property""",
"""Randomly sample the HMM to generate a sentence of a given length. This samples the prior distribution then the observation distribution and transition distribution for each subsequent observation and state. This will mostly generate unintelligible garbage, but can provide some amusement.""",Randomly sample HMM to generate a sentence
"""the randomly created state/observation sequence, generated according to the HMM’s probability distributions. The SUBTOKENS have TEXT and TAG properties containing the observation and state respectively.""",
list,
rng (Random (or any object with a random() method)) – random number generator,
length (int) – desired output length,
Tags the sequence with the highest probability state sequence. This uses the best_path method to find the Viterbi path.,Tag sequence with highest probability state sequence
a labelled sequence of symbols,Get labelled sequence of symbols 
list,
unlabeled_sequence (list) – the sequence of unlabeled symbols,Get unlabeled symbols
Tests the HiddenMarkovModelTagger instance.,Test HiddenMarkovModelTagger
test_sequence (list(list)) – a sequence of labeled test instances,
verbose (bool) – boolean flag indicating whether training should be verbose or include printed output,Set verbose
Train a new HiddenMarkovModelTagger using the given labeled and unlabeled training instances. Testing will be performed if test instances are provided.,Train HidenMarkovModelTagger
a hidden markov model tagger,
HiddenMarkovModelTagger,
"""labeled_sequence (list(list)) – a sequence of labeled training instances, i.e. a list of sentences represented as tuples""",Get labeled training instances
test_sequence (list(list)) – a sequence of labeled test instances,Get sequence of labeled test instances
"""unlabeled_sequence (list(list)) – a sequence of unlabeled training instances, i.e. a list of sentences represented as words""",Get unlabeled training instances
"""transform (function) – an optional function for transforming training instances, defaults to the identity function, see transform()""",Transform training instances
"""estimator (class or function) – an optional function or class that maps a condition’s frequency distribution to its probability distribution, defaults to a Lidstone distribution with gamma = 0.1""",Map condition frequency distribution to probability distribution
verbose (bool) – boolean flag indicating whether training should be verbose or include printed output,Make verbose
max_iterations (int) – number of Baum-Welch interations to perform,Set max iterations
Bases: object,
Algorithms for learning HMM parameters from training data. These include both supervised learning (MLE) and unsupervised learning (Baum-Welch).,
"""Creates an HMM trainer to induce an HMM with the given states and output symbol alphabet. A supervised and unsupervised training method may be used. If either of the states or symbols are not given, these may be derived from supervised training.""",Create HMM trainer
states (sequence of any) – the set of state labels,Get state labels
symbols (sequence of any) – the set of observation symbols,Get observation symbols
Trains the HMM using both (or either of) supervised and unsupervised techniques.,Train HMM 
the trained model,
HiddenMarkovModelTagger,
"""labelled_sequences (list) – the supervised training data, a set of labelled sequences of observations ex: [ (word_1, tag_1),…,(word_n,tag_n) ]""",Get the supervised training data
"""unlabeled_sequences (list) – the unsupervised training data, a set of sequences of observations ex: [ word_1, …, word_n ]""",Get unsupervised training data
kwargs – additional arguments to pass to the training methods,
"""Supervised training maximising the joint probability of the symbol and state sequences. This is done via collecting frequencies of transitions between states, symbol observations while within each state and which states start a sentence. These frequency distributions are then normalised into probability estimates, which can be smoothed if desired.""",
the trained model,
HiddenMarkovModelTagger,
"""labelled_sequences (list) – the training data, a set of labelled sequences of observations""",Get labelled sequence of observations
estimator – a function taking a FreqDist and a number of bins and returning a CProbDistI; otherwise a MLE estimate is used,Estimate the CProbDistl
"""Trains the HMM using the Baum-Welch algorithm to maximise the probability of the data sequence. This is a variant of the EM algorithm, and is unsupervised in that it doesn’t need the state sequences for the symbols. The code is based on ‘A Tutorial on Hidden Markov Models and Selected Applications in Speech Recognition’, Lawrence Rabiner, IEEE, 1989.""",Train HMM using Baum-Welch algorithm
the trained model,
HiddenMarkovModelTagger,
"""unlabeled_sequences (list) – the training data, a set of sequences of observations""",Get training data of set of sequences of observations
kwargs may include following parameters:,
model – a HiddenMarkovModelTagger instance used to begin the Baum-Welch algorithm,
max_iterations – the maximum number of EM iterations,
convergence_logprob – the maximum change in log probability to allow convergence,
A module for interfacing with the HunPos open-source POS-tagger.,
Bases: nltk.tag.api.TaggerI,
a model trained on training data,
(optionally) the path to the hunpos-tag binary,
(optionally) the encoding of the training data (default: ISO-8859-1),
Example:,
"""This class communicates with the hunpos-tag binary via pipes. When the tagger object is no longer needed, the close() method should be called to free system resources. The class supports the context manager interface; if used in a with statement, the close() method is invoked automatically:""",
Closes the pipe to the hunpos executable.,Close pipe to hunpos executable
Tags a single sentence: a list of words. The tokens should not contain any newline characters.,Tag a single sentence
"""Interface for converting POS tags from various treebanks to the universal tagset of Petrov, Das, & McDonald.""",
The tagset consists of the following 12 coarse tags:,
"""VERB - verbs (all tenses and modes) NOUN - nouns (common and proper) PRON - pronouns ADJ - adjectives ADV - adverbs ADP - adpositions (prepositions and postpositions) CONJ - conjunctions DET - determiners NUM - cardinal numbers PRT - particles or other function words X - other: foreign words, typos, abbreviations . - punctuation""",
@see: http://arxiv.org/abs/1104.2086 and http://code.google.com/p/universal-pos-tags/,
Maps the tag from the source tagset to the target tagset.,Map tag from source to target
Retrieve the mapping dictionary between tagsets.,Get mapping dictionary between tagsets
Bases: object,
"""An averaged perceptron, as implemented by Matthew Honnibal.""",
https://explosion.ai/blog/part-of-speech-pos-tagger-in-python,
Average weights from all iterations.,
Load the pickled model weights.,Load pickled model weights
Dot-product the features and current weights and return the best label.,Dot-product the features and current weights
Save the pickled model weights.,Save pickled model weights
Update the feature weights.,
Bases: nltk.tag.api.TaggerI,
"""Greedy Averaged Perceptron tagger, as implemented by Matthew Honnibal. See more implementation details here:""",
https://explosion.ai/blog/part-of-speech-pos-tagger-in-python,
Train the model,Train the model
Use the pretrain model (the default constructor),Use pretrained model
loc (str) – Load a pickled model at location.,Load a pickled model
Normalization used in pre-processing. - All words are lower cased - Groups of digits of length 4 are represented as !YEAR; - Other digits are represented as !DIGITS,
str,
Tag tokenized sentences. :params tokens: list of word :type tokens: list(str),
"""Train a model from sentences, and save it at save_loc. nr_iter controls the number of Perceptron training iterations.""",Train a model and save it
"""sentences – A list or iterator of sentences, where each sentence is a list of (words, tags) tuples.""",
"""save_loc – If not None, saves a pickled model in this location.""",
nr_iter – Number of training iterations.,
"""Senna POS tagger, NER Tagger, Chunk Tagger""",
"""The input is: - path to the directory that contains SENNA executables. If the path is incorrect,""",
SennaTagger will automatically search for executable file specified in SENNA environment variable,
(optionally) the encoding of the input data (default:utf-8),
Note: Unit tests for this module can be found in test/unit/test_senna.py,
Bases: nltk.classify.senna.Senna,
Extracts the chunks in a BIO chunk-tagged sentence.,Extract chunks in BIO chunk-tagged sentence
tagged_sent (str) – A list of tuples of word and BIO chunk tag.,Get list of tuples of words and BIO chunk tag
"""tagged_sent – The chunk tag that users want to extract, e.g. ‘NP’ or ‘VP’""",The chunk tag to extract
An iterable of tuples of chunks that users want to extract and their corresponding indices.,Get an iterable of tuples of chunks
iter(tuple(str)),
"""Applies the tag method over a list of sentences. This method will return for each sentence a list of tuples of (word, tag).""",Apply tag method over list of sentences
Bases: nltk.classify.senna.Senna,
"""Applies the tag method over a list of sentences. This method will return for each sentence a list of tuples of (word, tag).""",Apply tag method over list of sentences
Bases: nltk.classify.senna.Senna,
"""Applies the tag method over a list of sentences. This method will return for each sentence a list of tuples of (word, tag).""",Apply tag method over list of sentences
"""Classes for tagging sentences sequentially, left to right. The abstract base class SequentialBackoffTagger serves as the base class for all the taggers in this module. Tagging of individual words is performed by the method choose_tag(), which is defined by subclasses of SequentialBackoffTagger. If a tagger is unable to determine a tag for the specified token, then its backoff tagger is consulted instead. Any SequentialBackoffTagger may serve as a backoff tagger for any other SequentialBackoffTagger.""",
Bases: nltk.tag.sequential.ContextTagger,
"""A tagger that chooses a token’s tag based on a leading or trailing substring of its word string. (It is important to note that these substrings are not necessarily “true” morphological affixes). In particular, a fixed-length substring of the word is looked up in a table, and the corresponding tag is returned. Affix taggers are typically constructed by training them on a tagged corpus.""",
Construct a new affix tagger.,Make new affix tagger
affix_length – The length of the affixes that should be considered during training and tagging. Use negative numbers for suffixes.,Get length of affixes considered during training and tagging
min_stem_length – Any words whose length is less than min_stem_length+abs(affix_length) will be assigned a tag of None by this tagger.,Define minimum stem length
the context that should be used to look up the tag for the specified token; or None if the specified token should not be handled by this tagger.,Define context to use when looking at tag for specified token
(hashable),
Bases: nltk.tag.sequential.NgramTagger,
"""A tagger that chooses a token’s tag based its word string and on the preceding words’ tag. In particular, a tuple consisting of the previous tag and the word is looked up in a table, and the corresponding tag is returned.""",
"""train (list(list(tuple(str, str)))) – The corpus of training data, a list of tagged sentences""",Train on training data
model (dict) – The tagger model,Get the tagger model
backoff (TaggerI) – Another tagger which this tagger will consult when it is unable to tag a word,Specify a backoff tagger
cutoff (int) – The number of instances of training data the tagger must see in order not to use the backoff tagger,Specify number of instances the tagger must see to not use backoff tagger
Bases: nltk.tag.sequential.ClassifierBasedTagger,
A classifier based part of speech tagger.,
Return the feature detector that this tagger uses to generate featuresets for its classifier. The feature detector is a function with the signature:,Get the feature detector for this tagger
See classifier(),
"""Bases: nltk.tag.sequential.SequentialBackoffTagger, nltk.tag.api.FeaturesetTaggerI""",
A sequential tagger that uses a classifier to choose the tag for each token in a sentence. The featureset input for the classifier is generated by a feature detector function:,
Where tokens is the list of unlabeled tokens in the sentence; index is the index of the token for which feature detection should be performed; and history is list of the tags for all tokens before index.,
Construct a new classifier-based sequential tagger.,
"""feature_detector – A function used to generate the featureset input for the classifier:: feature_detector(tokens, index, history) -> featureset""",Generate featureset input for classifier
"""train – A tagged corpus consisting of a list of tagged sentences, where each sentence is a list of (word, tag) tuples.""",Train tagger on tagged sentences
"""backoff – A backoff tagger, to be used by the new tagger if it encounters an unknown context.""",Specify backoff tagger
"""classifier_builder – A function used to train a new classifier based on the data in train. It should take one argument, a list of labeled featuresets (i.e., (featureset, label) tuples).""",Function to train a new classifier based on old training data
"""classifier – The classifier that should be used by the tagger. This is only useful if you want to manually construct the classifier; normally, you would use train instead.""",Specify classifier that should be used by the tagger
"""backoff – A backoff tagger, used if this tagger is unable to determine a tag for a given token.""",Specify a backoff tagger
"""cutoff_prob – If specified, then this tagger will fall back on its backoff tagger if the probability of the most likely tag is less than cutoff_prob.""",Specify a cutoff probability where the backoff tagger will be used
"""Decide which tag should be used for the specified token, and return that tag. If this tagger is unable to determine a tag for the specified token, return None – do not consult the backoff tagger. This method should be overridden by subclasses of SequentialBackoffTagger.""",
str,
tokens (list) – The list of words that are being tagged.,Get list of tagged words
index (int) – The index of the word whose tag should be returned.,Get index of word whose tag should be returned
history (list(str)) – A list of the tags for all words before index.,list of tags for all words before index
Return the classifier that this tagger uses to choose a tag for each word in a sentence. The input for this classifier is generated using this tagger’s feature detector. See feature_detector(),Get classifier for the tagger
Return the feature detector that this tagger uses to generate featuresets for its classifier. The feature detector is a function with the signature:,Get feature detector that the tagger uses
See classifier(),
Bases: nltk.tag.sequential.SequentialBackoffTagger,
An abstract base class for sequential backoff taggers that choose a tag for a token based on the value of its “context”. Different subclasses are used to define different contexts.,
"""A ContextTagger chooses the tag for a token by calculating the token’s context, and looking up the corresponding tag in a table. This table can be constructed manually; or it can be automatically constructed based on a training corpus, using the _train() factory method.""",
_context_to_tag – Dictionary mapping contexts to tags.,
"""Decide which tag should be used for the specified token, and return that tag. If this tagger is unable to determine a tag for the specified token, return None – do not consult the backoff tagger. This method should be overridden by subclasses of SequentialBackoffTagger.""",
str,
tokens (list) – The list of words that are being tagged.,Get list of tagged words
index (int) – The index of the word whose tag should be returned.,Get index of word whose tag should be returned
history (list(str)) – A list of the tags for all words before index.,
the context that should be used to look up the tag for the specified token; or None if the specified token should not be handled by this tagger.,
(hashable),
The number of entries in the table used by this tagger to map from contexts to tags.,
Bases: nltk.tag.sequential.SequentialBackoffTagger,
A tagger that assigns the same tag to every token.,
"""This tagger is recommended as a backoff tagger, in cases where a more powerful tagger is unable to assign a tag to the word (e.g. because the word was not seen during training).""",
tag (str) – The tag to assign to each token,The tag to give each token
"""Decide which tag should be used for the specified token, and return that tag. If this tagger is unable to determine a tag for the specified token, return None – do not consult the backoff tagger. This method should be overridden by subclasses of SequentialBackoffTagger.""",
str,
tokens (list) – The list of words that are being tagged.,Get list of tagged words
index (int) – The index of the word whose tag should be returned.,Get index of word whose tag should be returned
history (list(str)) – A list of the tags for all words before index.,list of tags for all words before index
Bases: nltk.tag.sequential.ContextTagger,
"""A tagger that chooses a token’s tag based on its word string and on the preceding n word’s tags. In particular, a tuple (tags[i-n:i-1], words[i]) is looked up in a table, and the corresponding tag is returned. N-gram taggers are typically trained on a tagged corpus.""",
"""Train a new NgramTagger using the given training data or the supplied model. In particular, construct a new tagger whose table maps from each context (tag[i-n:i-1], word[i]) to the most frequent tag for that context. But exclude any contexts that are already tagged perfectly by the backoff tagger.""",
"""train – A tagged corpus consisting of a list of tagged sentences, where each sentence is a list of (word, tag) tuples.""",Train on tagged sentences
"""backoff – A backoff tagger, to be used by the new tagger if it encounters an unknown context.""",Specify a backoff tagger
"""cutoff – If the most likely tag for a context occurs fewer than cutoff times, then exclude it from the context-to-tag table for the new tagger.""",Define a cutoff to use the backoff
the context that should be used to look up the tag for the specified token; or None if the specified token should not be handled by this tagger.,
(hashable),
Bases: nltk.tag.sequential.SequentialBackoffTagger,
Regular Expression Tagger,
The RegexpTagger assigns tags to tokens by comparing their word strings to a series of regular expressions. The following tagger uses word suffixes to make guesses about the correct Brown Corpus part of speech tag:,
"""regexps (list(tuple(str, str))) – A list of (regexp, tag) pairs, each of which indicates that a word matching regexp should be tagged with tag. The pairs will be evalutated in order. If none of the regexps match a word, then the optional backoff tagger is invoked, else it is assigned the tag None.""",
"""Decide which tag should be used for the specified token, and return that tag. If this tagger is unable to determine a tag for the specified token, return None – do not consult the backoff tagger. This method should be overridden by subclasses of SequentialBackoffTagger.""",
str,
tokens (list) – The list of words that are being tagged.,Get list of tagged words
index (int) – The index of the word whose tag should be returned.,Get index of word whose tag should be returned
history (list(str)) – A list of the tags for all words before index.,list of tags for all words before index
Bases: nltk.tag.api.TaggerI,
"""An abstract base class for taggers that tags words sequentially, left to right. Tagging of individual words is performed by the choose_tag() method, which should be defined by subclasses. If a tagger is unable to determine a tag for the specified token, then its backoff tagger is consulted.""",
"""_taggers – A list of all the taggers that should be tried to tag a token (i.e., self and its backoff taggers).""",
The backoff tagger for this tagger.,
"""Decide which tag should be used for the specified token, and return that tag. If this tagger is unable to determine a tag for the specified token, return None – do not consult the backoff tagger. This method should be overridden by subclasses of SequentialBackoffTagger.""",
str,
tokens (list) – The list of words that are being tagged.,Get list of tagged words
index (int) – The index of the word whose tag should be returned.,Get index of word whose tag should be returned
history (list(str)) – A list of the tags for all words before index.,list of tags for all words before index
"""Determine the most appropriate tag sequence for the given token sequence, and return a corresponding list of tagged tokens. A tagged token is encoded as a tuple (token, tag).""",
"""list(tuple(str, str))""",
"""Determine an appropriate tag for the specified token, and return that tag. If this tagger is unable to determine a tag for the specified token, then its backoff tagger is consulted.""",
str,
tokens (list) – The list of words that are being tagged.,Get list of tagged words
index (int) – The index of the word whose tag should be returned.,Get index of word whose tag should be returned
history (list(str)) – A list of the tags for all words before index.,list of tags for all words before index
Bases: nltk.tag.sequential.NgramTagger,
"""A tagger that chooses a token’s tag based its word string and on the preceding two words’ tags. In particular, a tuple consisting of the previous two tags and the word is looked up in a table, and the corresponding tag is returned.""",
"""train (list(list(tuple(str, str)))) – The corpus of training data, a list of tagged sentences""",Train on tagged sentences
model (dict) – The tagger model,Get the tagger model
backoff (TaggerI) – Another tagger which this tagger will consult when it is unable to tag a word,Specify a backoff tagger
cutoff (int) – The number of instances of training data the tagger must see in order not to use the backoff tagger,Define a cutoff to use the backoff
Bases: nltk.tag.sequential.NgramTagger,
Unigram Tagger,
"""The UnigramTagger finds the most likely tag for each word in a training corpus, and then uses that information to assign tags to new tokens.""",
"""train (list(list(tuple(str, str)))) – The corpus of training data, a list of tagged sentences""",Train on tagged sentences
model (dict) – The tagger model,Get the tagger model
backoff (TaggerI) – Another tagger which this tagger will consult when it is unable to tag a word,Specify a backoff tagger
cutoff (int) – The number of instances of training data the tagger must see in order not to use the backoff tagger,Define a cutoff to use the backoff
the context that should be used to look up the tag for the specified token; or None if the specified token should not be handled by this tagger.,
(hashable),
A module for interfacing with the Stanford taggers.,
