Example,Page,Class,Function,Source File
"QUnit.module('module A', {
  before: function () {
    // prepare something once for all tests
  },
  beforeEach: function () {
    // prepare something before each test
  },
  afterEach: function () {
    // clean up after each test
  },
  after: function () {
    // clean up once after all tests are done
  }
});
",https://api.qunitjs.com//QUnit/module/,N/A,N/A,N/A
"const { test } = QUnit;

QUnit.module('Group A', hooks => {
  test('basic test example', assert => {
    assert.true(true, 'this is fine');
  });

  test('basic test example 2', assert => {
    assert.true(true, 'this is also fine');
  });
});

QUnit.module('Group B', hooks => {
  test('basic test example 3', assert => {
    assert.true(true, 'this is fine');
  });

  test('basic test example 4', assert => {
    assert.true(true, 'this is also fine');
  });
});",https://api.qunitjs.com//QUnit/module/,module,module,qunit/src/module.js
"const { test } = QUnit;

QUnit.module('Group A', hooks => {
  test('basic test example', assert => {
    assert.true(true, 'this is fine');
  });

  test('basic test example 2', assert => {
    assert.true(true, 'this is also fine');
  });
});

QUnit.module('Group B', hooks => {
  test('basic test example 3', assert => {
    assert.true(true, 'this is fine');
  });

  test('basic test example 4', assert => {
    assert.true(true, 'this is also fine');
  });
});",https://api.qunitjs.com//QUnit/module/,test,test,qunit/src/test.js
"const { test } = QUnit;

QUnit.module('My Group', hooks => {
  // It is valid to call the same hook methods more than once.
  hooks.beforeEach(assert => {
    assert.ok(true, 'beforeEach called');
  });

  hooks.afterEach(assert => {
    assert.ok(true, 'afterEach called');
  });

  test('with hooks', assert => {
    // 1 x beforeEach
    // 1 x afterEach
    assert.expect(2);
  });

  QUnit.module('Nested Group', hooks => {
    // This will run after the parent module's beforeEach hook
    hooks.beforeEach(assert => {
      assert.ok(true, 'nested beforeEach called');
    });

    // This will run before the parent module's afterEach
    hooks.afterEach(assert => {
      assert.ok(true, 'nested afterEach called');
    });

    test('with nested hooks', assert => {
      // 2 x beforeEach (parent, current)
      // 2 x afterEach (current, parent)
      assert.expect(4);
    });
  });
});
",https://api.qunitjs.com//QUnit/module/,module,module,qunit/src/module.js
"const { test } = QUnit;

QUnit.module('My Group', hooks => {
  // It is valid to call the same hook methods more than once.
  hooks.beforeEach(assert => {
    assert.ok(true, 'beforeEach called');
  });

  hooks.afterEach(assert => {
    assert.ok(true, 'afterEach called');
  });

  test('with hooks', assert => {
    // 1 x beforeEach
    // 1 x afterEach
    assert.expect(2);
  });

  QUnit.module('Nested Group', hooks => {
    // This will run after the parent module's beforeEach hook
    hooks.beforeEach(assert => {
      assert.ok(true, 'nested beforeEach called');
    });

    // This will run before the parent module's afterEach
    hooks.afterEach(assert => {
      assert.ok(true, 'nested afterEach called');
    });

    test('with nested hooks', assert => {
      // 2 x beforeEach (parent, current)
      // 2 x afterEach (current, parent)
      assert.expect(4);
    });
  });
});
",https://api.qunitjs.com//QUnit/module/,test,test,qunit/src/test.js
"QUnit.module('Machine Maker', {
  beforeEach: function () {
    this.maker = new Maker();
    this.parts = ['wheels', 'motor', 'chassis'];
  }
});

QUnit.test('makes a robot', function (assert) {
  this.parts.push('arduino');
  assert.equal(this.maker.build(this.parts), 'robot');
  assert.deepEqual(this.maker.log, ['robot']);
});

QUnit.test('makes a car', function (assert) {
  assert.equal(this.maker.build(this.parts), 'car');
  this.maker.duplicate();
  assert.deepEqual(this.maker.log, ['car', 'car']);
});
",https://api.qunitjs.com//QUnit/module/,module,module,qunit/src/module.js
"QUnit.module('Machine Maker', {
  beforeEach: function () {
    this.maker = new Maker();
    this.parts = ['wheels', 'motor', 'chassis'];
  }
});

QUnit.test('makes a robot', function (assert) {
  this.parts.push('arduino');
  assert.equal(this.maker.build(this.parts), 'robot');
  assert.deepEqual(this.maker.log, ['robot']);
});

QUnit.test('makes a car', function (assert) {
  assert.equal(this.maker.build(this.parts), 'car');
  this.maker.duplicate();
  assert.deepEqual(this.maker.log, ['car', 'car']);
});
",https://api.qunitjs.com//QUnit/module/,test,test,qunit/src/test.js
"const { test } = QUnit;

QUnit.module('Machine Maker', hooks => {
  hooks.beforeEach(function () {
    this.maker = new Maker();
    this.parts = ['wheels', 'motor', 'chassis'];
  });

  test('makes a robot', function (assert) {
    this.parts.push('arduino');
    assert.equal(this.maker.build(this.parts), 'robot');
    assert.deepEqual(this.maker.log, ['robot']);
  });

  test('makes a car', function (assert) {
    assert.equal(this.maker.build(this.parts), 'car');
    this.maker.duplicate();
    assert.deepEqual(this.maker.log, ['car', 'car']);
  });
});",https://api.qunitjs.com//QUnit/module/,module,module,qunit/src/module.js
"const { test } = QUnit;

QUnit.module('Machine Maker', hooks => {
  hooks.beforeEach(function () {
    this.maker = new Maker();
    this.parts = ['wheels', 'motor', 'chassis'];
  });

  test('makes a robot', function (assert) {
    this.parts.push('arduino');
    assert.equal(this.maker.build(this.parts), 'robot');
    assert.deepEqual(this.maker.log, ['robot']);
  });

  test('makes a car', function (assert) {
    assert.equal(this.maker.build(this.parts), 'car');
    this.maker.duplicate();
    assert.deepEqual(this.maker.log, ['car', 'car']);
  });
});",https://api.qunitjs.com//QUnit/module/,test,test,qunit/src/test.js
"const { test } = QUnit;

QUnit.module('Machine Maker', hooks => {
  let maker;
  let parts;
  hooks.beforeEach(() => {
    maker = new Maker();
    parts = ['wheels', 'motor', 'chassis'];
  });

  test('makes a robot', assert => {
    parts.push('arduino');
    assert.equal(maker.build(parts), 'robot');
    assert.deepEqual(maker.log, ['robot']);
  });

  test('makes a car', assert => {
    assert.equal(maker.build(parts), 'car');
    maker.duplicate();
    assert.deepEqual(maker.log, ['car', 'car']);
  });
});
",https://api.qunitjs.com//QUnit/module/,module,module,qunit/src/module.js
"const { test } = QUnit;

QUnit.module('Machine Maker', hooks => {
  let maker;
  let parts;
  hooks.beforeEach(() => {
    maker = new Maker();
    parts = ['wheels', 'motor', 'chassis'];
  });

  test('makes a robot', assert => {
    parts.push('arduino');
    assert.equal(maker.build(parts), 'robot');
    assert.deepEqual(maker.log, ['robot']);
  });

  test('makes a car', assert => {
    assert.equal(maker.build(parts), 'car');
    maker.duplicate();
    assert.deepEqual(maker.log, ['car', 'car']);
  });
});",https://api.qunitjs.com//QUnit/module/,test,test,qunit/src/test.js
"QUnit.module('Database connection', {
  before: function () {
    return new Promise(function (resolve, reject) {
      DB.connect(function (err) {
        if (err) {
          reject(err);
        } else {
          resolve();
        }
      });
    });
  },
  after: function () {
    return new Promise(function (resolve, reject) {
      DB.disconnect(function (err) {
        if (err) {
          reject(err);
        } else {
          resolve();
        }
      });
    });
  }
});
",https://api.qunitjs.com//QUnit/module/,N/A,N/A,N/A
QUnit.module.only(),https://api.qunitjs.com//QUnit/module/,module,only,qunit/src/module.js
"QUnit.module('Robot', hooks => {
  // ...
});

// Only execute this module when developing the feature,
// skipping tests from other modules.
QUnit.module.only('Android', hooks => {
  let android;
  hooks.beforeEach(() => {
    android = new Android();
  });

  QUnit.test('Say hello', assert => {
    assert.strictEqual(android.hello(), 'Hello, my name is AN-2178!');
  });

  QUnit.test('Basic conversation', assert => {
    android.loadConversationData({
      Hi: 'Hello',
      ""What's your name?"": 'My name is AN-2178.',
      'Nice to meet you!': 'Nice to meet you too!',
      '...': '...'
    });

    assert.strictEqual(
      android.answer(""What's your name?""),
      'My name is AN-2178.'
    );
  });

  // ...
});",https://api.qunitjs.com//QUnit/module/,module,module,qunit/src/module.js
"QUnit.module('Robot', hooks => {
  // ...
});

// Only execute this module when developing the feature,
// skipping tests from other modules.
QUnit.module.only('Android', hooks => {
  let android;
  hooks.beforeEach(() => {
    android = new Android();
  });

  QUnit.test('Say hello', assert => {
    assert.strictEqual(android.hello(), 'Hello, my name is AN-2178!');
  });

  QUnit.test('Basic conversation', assert => {
    android.loadConversationData({
      Hi: 'Hello',
      ""What's your name?"": 'My name is AN-2178.',
      'Nice to meet you!': 'Nice to meet you too!',
      '...': '...'
    });

    assert.strictEqual(
      android.answer(""What's your name?""),
      'My name is AN-2178.'
    );
  });

  // ...
});",https://api.qunitjs.com//QUnit/module/,module,only,qunit/src/module.js
"QUnit.module('Robot', hooks => {
  // ...
});

// Only execute this module when developing the feature,
// skipping tests from other modules.
QUnit.module.only('Android', hooks => {
  let android;
  hooks.beforeEach(() => {
    android = new Android();
  });

  QUnit.test('Say hello', assert => {
    assert.strictEqual(android.hello(), 'Hello, my name is AN-2178!');
  });

  QUnit.test('Basic conversation', assert => {
    android.loadConversationData({
      Hi: 'Hello',
      ""What's your name?"": 'My name is AN-2178.',
      'Nice to meet you!': 'Nice to meet you too!',
      '...': '...'
    });

    assert.strictEqual(
      android.answer(""What's your name?""),
      'My name is AN-2178.'
    );
  });

  // ...
});",https://api.qunitjs.com//QUnit/module/,test,test,qunit/src/test.js
QUnit.module.skip(),https://api.qunitjs.com//QUnit/module/,module,skip,qunit/src/module.js
"QUnit.module('Robot', hooks => {
  // ...
});

// Skip this module's tests.
// For example if the android tests are failing due to unsolved problems.
QUnit.module.skip('Android', hooks => {
  let android;
  hooks.beforeEach(() => {
    android = new Android();
  });

  QUnit.test('Say hello', assert => {
    assert.strictEqual(android.hello(), 'Hello, my name is AN-2178!');
  });

  QUnit.test('Basic conversation', assert => {
    // ...
    assert.strictEqual(
      android.answer('Nice to meet you!'),
      'Nice to meet you too!'
    );
  });

  // ...
});",https://api.qunitjs.com//QUnit/module/,module,module,qunit/src/module.js
"QUnit.module('Robot', hooks => {
  // ...
});

// Skip this module's tests.
// For example if the android tests are failing due to unsolved problems.
QUnit.module.skip('Android', hooks => {
  let android;
  hooks.beforeEach(() => {
    android = new Android();
  });

  QUnit.test('Say hello', assert => {
    assert.strictEqual(android.hello(), 'Hello, my name is AN-2178!');
  });

  QUnit.test('Basic conversation', assert => {
    // ...
    assert.strictEqual(
      android.answer('Nice to meet you!'),
      'Nice to meet you too!'
    );
  });

  // ...
});",https://api.qunitjs.com//QUnit/module/,module,skip,qunit/src/module.js
"QUnit.module('Robot', hooks => {
  // ...
});

// Skip this module's tests.
// For example if the android tests are failing due to unsolved problems.
QUnit.module.skip('Android', hooks => {
  let android;
  hooks.beforeEach(() => {
    android = new Android();
  });

  QUnit.test('Say hello', assert => {
    assert.strictEqual(android.hello(), 'Hello, my name is AN-2178!');
  });

  QUnit.test('Basic conversation', assert => {
    // ...
    assert.strictEqual(
      android.answer('Nice to meet you!'),
      'Nice to meet you too!'
    );
  });

  // ...
});",https://api.qunitjs.com//QUnit/module/,test,test,qunit/src/test.js
QUnit.module.todo(),https://api.qunitjs.com//QUnit/module/,module,todo,qunit/src/module.js
"QUnit.module.todo('Robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  QUnit.test('Say', assert => {
    // Currently, it returns undefined
    assert.strictEqual(robot.say(), ""I'm Robot FN-2187"");
  });

  QUnit.test('Move arm', assert => {
    // Move the arm to point (75, 80). Currently, each throws a NotImplementedError
    robot.moveArmTo(75, 80);
    assert.deepEqual(robot.getPosition(), { x: 75, y: 80 });
  });

  // ...
});",https://api.qunitjs.com//QUnit/module/,module,todo,qunit/src/module.js
"QUnit.module.todo('Robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  QUnit.test('Say', assert => {
    // Currently, it returns undefined
    assert.strictEqual(robot.say(), ""I'm Robot FN-2187"");
  });

  QUnit.test('Move arm', assert => {
    // Move the arm to point (75, 80). Currently, each throws a NotImplementedError
    robot.moveArmTo(75, 80);
    assert.deepEqual(robot.getPosition(), { x: 75, y: 80 });
  });

  // ...
});",https://api.qunitjs.com//QUnit/module/,module,test,qunit/src/module.js
"const { test } = QUnit;

QUnit.module('Group A');

test('basic test example', assert => {
  assert.true(true, 'this is fine');
});
test('basic test example 2', assert => {
  assert.true(true, 'this is also fine');
});

QUnit.module('Group B');

test('basic test example 3', assert => {
  assert.true(true, 'this is fine');
});
test('basic test example 4', assert => {
  assert.true(true, 'this is also fine');
});",https://api.qunitjs.com//QUnit/module/,module,module,qunit/src/module.js
"const { test } = QUnit;

QUnit.module('Group A');

test('basic test example', assert => {
  assert.true(true, 'this is fine');
});
test('basic test example 2', assert => {
  assert.true(true, 'this is also fine');
});

QUnit.module('Group B');

test('basic test example 3', assert => {
  assert.true(true, 'this is fine');
});
test('basic test example 4', assert => {
  assert.true(true, 'this is also fine');
});",https://api.qunitjs.com//QUnit/module/,test,test,qunit/src/test.js
"QUnit.module('module A', {
  before: function () {
    // prepare something once for all tests
  },
  beforeEach: function () {
    // prepare something before each test
  },
  afterEach: function () {
    // clean up after each test
  },
  after: function () {
    // clean up once after all tests are done
  }
});
",https://api.qunitjs.com//QUnit/module/,N/A,N/A,N/A
QUnit.start(),https://api.qunitjs.com//QUnit/start/,core,start,qunit/src/core.js
QUnit.stop(),https://api.qunitjs.com//QUnit/start/,N/A,N/A,N/A
"QUnit.config.autostart = false;

require(
  ['test/tests1.js', 'test/tests2.js'],
  QUnit.start
);
",https://api.qunitjs.com//QUnit/start/,core,start,qunit/src/core.js
"QUnit.test( name, callback )",https://api.qunitjs.com//QUnit/test/,test,test,qunit/src/test.js
QUnit.test(),https://api.qunitjs.com//QUnit/test/,test,test,qunit/src/test.js
QUnit.test.only(),https://api.qunitjs.com//QUnit/test/,test,only,qunit/src/test.js
QUnit.test.skip(),https://api.qunitjs.com//QUnit/test/,test,skip,qunit/src/test.js
QUnit.test.todo(),https://api.qunitjs.com//QUnit/test/,test,todo,qunit/src/test.js
"function square (x) {
  return x * x;
}

QUnit.test('square()', assert => {
  assert.equal(square(2), 4, 'square(2)');
  assert.equal(square(3), 9, 'square(3)');
});",https://api.qunitjs.com//QUnit/test/,test,test,qunit/src/test.js
"QUnit.test('Test with async-await', async assert => {
  const a = await fetchSquare(2);
  const b = await fetchSquare(3);

  assert.equal(a, 4);
  assert.equal(b, 9);
  assert.equal(await fetchSquare(5), 25);
});
",https://api.qunitjs.com//QUnit/test/,test,test,qunit/src/test.js
"function fetchSquare (x) {
  return new Promise(function (resolve) {
    setTimeout(function () {
      resolve(x * x);
    }, 1000);
  });
}

QUnit.test('Test with Promise', function (assert) {
  return fetchSquare(3).then(function (result) {
    assert.equal(result, 9);
  });
});
",https://api.qunitjs.com//QUnit/test/,test,test,qunit/src/test.js
"QUnit.test.each( name, dataset, callback )",https://api.qunitjs.com//QUnit/test.each/,test,each,qunit/src/test.js
"QUnit.test.only.each( name, dataset, callback )",https://api.qunitjs.com//QUnit/test.each/,test,only.each,qunit/src/test.js
"QUnit.test.skip.each( name, dataset, callback )",https://api.qunitjs.com//QUnit/test.each/,test,skip.each,qunit/src/test.js
"QUnit.test.todo.each( name, dataset, callback )",https://api.qunitjs.com//QUnit/test.each/,test,todo.each,qunit/src/test.js
QUnit.test.each(),https://api.qunitjs.com//QUnit/test.each/,test,each,qunit/src/test.js
QUnit.test(),https://api.qunitjs.com//QUnit/test.each/,test,test,qunit/src/test.js
"function isEven (x) {
  return x % 2 === 0;
}

QUnit.test.each('isEven()', [2, 4, 6], (assert, data) => {
  assert.true(isEven(data), `${data} is even`);
});",https://api.qunitjs.com//QUnit/test.each/,test,each,qunit/src/test.js
"function square (x) {
  return x * x;
}

QUnit.test.each('square()', [
  [2, 4],
  [3, 9]
], (assert, [value, expected]) => {
  assert.equal(square(value), expected, `${value} squared`);
});
",https://api.qunitjs.com//QUnit/test.each/,test,each,qunit/src/test.js
"QUnit.test.each('isEven()', {
  caseEven: [2, true],
  caseNotEven: [3, false]
}, (assert, [value, expected]) => {
  assert.strictEqual(isEven(value), expected);
});
",https://api.qunitjs.com//QUnit/test.each/,test,each,qunit/src/test.js
each(),https://api.qunitjs.com//QUnit/test.each/,test,each,qunit/src/test.js
"function isEven (x) {
  return x % 2 === 0;
}

async function isAsyncEven (x) {
  return new Promise(resolve => {
    resolve(isEven(x));
  });
}

QUnit.test.each('isAsyncEven()', [2, 4], async (assert, data) => {
  assert.true(await isAsyncEven(data), `${data} is even`);
});
",https://api.qunitjs.com//QUnit/test.each/,test,each,qunit/src/test.js
"function isEven (x) {
  return x % 2 === 0;
}

function isAsyncEven (x) {
  return new Promise(function (resolve) {
    resolve(isEven(x));
  });
}

QUnit.test.each('isAsyncEven()', [2, 4], (assert, value) => {
  return isAsyncEven(value).then((result) => {
    assert.true(result, `${value} is even`);
  });
});",https://api.qunitjs.com//QUnit/test.each/,test,each,qunit/src/test.js
"function isEven (x) {
  return x % 2 === 0;
}

QUnit.test.each('isEven()', [2, 4, 6], (assert, data) => {
  assert.true(isEven(data), `${data} is even`);
});",https://api.qunitjs.com//QUnit/test.each/,test,each,qunit/src/test.js
"function square (x) {
  return x * x;
}

QUnit.test.each('square()', [
  [2, 4],
  [3, 9]
], (assert, [value, expected]) => {
  assert.equal(square(value), expected, `${value} squared`);
});
",https://api.qunitjs.com//QUnit/test.each/,test,each,qunit/src/test.js
"QUnit.test.each('isEven()', {
  caseEven: [2, true],
  caseNotEven: [3, false]
}, (assert, [value, expected]) => {
  assert.strictEqual(isEven(value), expected);
});
",https://api.qunitjs.com//QUnit/test.each/,test,each,qunit/src/test.js
"QUnit.test.only( name, callback )",https://api.qunitjs.com//QUnit/test.only/,test,only,qunit/src/test.js
"QUnit.only( name, callback )",https://api.qunitjs.com//QUnit/test.only/,test,only,qunit/src/test.js
QUnit.module.only(),https://api.qunitjs.com//QUnit/test.only/,module,only,qunit/src/module.js
QUnit.only(),https://api.qunitjs.com//QUnit/test.only/,module,only,qunit/src/module.js
QUnit.test.only(),https://api.qunitjs.com//QUnit/test.only/,test,only,qunit/src/test.js
QUnit.only(),https://api.qunitjs.com//QUnit/test.only/,module,only,qunit/src/module.js
"QUnit.module('robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  QUnit.test('say()', assert => {
    assert.true(robot.say('Hello'));
  });

  // Run only this test
  // For example, you are working on changing this method.
  QUnit.test.only('laser()', assert => {
    assert.true(robot.laser());
  });

  QUnit.test('take()', assert => {
    assert.true(robot.take(5));
  });
});
",https://api.qunitjs.com//QUnit/test.only/,test,test,qunit/src/test.js
"QUnit.module('robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  QUnit.test('say()', assert => {
    assert.true(robot.say('Hello'));
  });

  // Run only this test
  // For example, you are working on changing this method.
  QUnit.test.only('laser()', assert => {
    assert.true(robot.laser());
  });

  QUnit.test('take()', assert => {
    assert.true(robot.take(5));
  });
});
",https://api.qunitjs.com//QUnit/test.only/,test,only,qunit/src/test.js
"QUnit.module('robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  QUnit.test('say()', assert => {
    assert.true(robot.say('Hello'));
  });

  // Run only this test
  // For example, you are working on changing this method.
  QUnit.test.only('laser()', assert => {
    assert.true(robot.laser());
  });

  QUnit.test('take()', assert => {
    assert.true(robot.take(5));
  });
});
",https://api.qunitjs.com//QUnit/test.only/,test,test,qunit/src/test.js
"QUnit.test.skip( name, callback )",https://api.qunitjs.com//QUnit/test.skip/,test,skip,qunit/src/test.js
"QUnit.skip( name, callback )",https://api.qunitjs.com//QUnit/test.skip/,module,skip,qunit/src/module.js
QUnit.test(),https://api.qunitjs.com//QUnit/test.skip/,test,test,qunit/src/test.js
QUnit.module.skip(),https://api.qunitjs.com//QUnit/test.skip/,module,skip,qunit/src/module.js
QUnit.skip(),https://api.qunitjs.com//QUnit/test.skip/,module,skip,qunit/src/module.js
QUnit.test.skip(),https://api.qunitjs.com//QUnit/test.skip/,test,skip,qunit/src/test.js
QUnit.skip(),https://api.qunitjs.com//QUnit/test.skip/,module,skip,qunit/src/module.js
"QUnit.module('robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  QUnit.test('say', assert => {
    assert.strictEqual(robot.say(), 'Exterminate!');
  });

  // Robot does not yet have a laser() method yet, skip this test for now
  QUnit.test.skip('laser', assert => {
    assert.true(robot.laser());
  });
});
",https://api.qunitjs.com//QUnit/test.skip/,test,test,qunit/src/test.js
"QUnit.module('robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  QUnit.test('say', assert => {
    assert.strictEqual(robot.say(), 'Exterminate!');
  });

  // Robot does not yet have a laser() method yet, skip this test for now
  QUnit.test.skip('laser', assert => {
    assert.true(robot.laser());
  });
});
",https://api.qunitjs.com//QUnit/test.skip/,test,skip,qunit/src/test.js
"QUnit.test.todo( name, callback )",https://api.qunitjs.com//QUnit/test.todo/,test,todo,qunit/src/test.js
"QUnit.todo( name, callback )",https://api.qunitjs.com//QUnit/test.todo/,test,todo,qunit/src/test.js
QUnit.test.todo(),https://api.qunitjs.com//QUnit/test.todo/,test,todo,qunit/src/test.js
QUnit.test(),https://api.qunitjs.com//QUnit/test.todo/,test,test,qunit/src/test.js
QUnit.module.todo(),https://api.qunitjs.com//QUnit/test.todo/,module,todo,qunit/src/module.js
QUnit.todo(),https://api.qunitjs.com//QUnit/test.todo/,module,todo,qunit/src/module.js
QUnit.test.todo(),https://api.qunitjs.com//QUnit/test.todo/,test,todo,qunit/src/test.js
QUnit.todo(),https://api.qunitjs.com//QUnit/test.todo/,module,todo,qunit/src/module.js
"QUnit.module('Robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  // Robot is not yet finished, expect this is a todo test
  QUnit.test.todo('fireLazer', assert => {
    const result = robot.fireLazer();
    assert.equal(result, ""I'm firing my lazer!"");
  });
});
",https://api.qunitjs.com//QUnit/test.todo/,test,todo,qunit/src/test.js
"// Implicit global
// Supported everywhere, including old browsers. (But not ES strict mode.)
QUnit = {
  config: {
    autostart: false,
    maxDepth: 12
  }
};

// Browser global
// For all browsers (including strict mode and old browsers)
window.QUnit = { /* .. */ };

// Isomorphic global
// For modern browsers, SpiderMonkey, and Node.js (incl. strict mode).
globalThis.QUnit = { /* .. */ };
",https://api.qunitjs.com//config/,N/A,N/A,N/A
