Example,Truth functions,Test functions,Linked functions
">>> url = 'https://httpbin.org/post'
>>> files = {'file': ('report.csv', 'some,data,to,send\nanother,row,to,send\n')}

>>> r = requests.post(url, files=files)
>>> r.text
{
  ...
  ""files"": {
    ""file"": ""some,data,to,send\\nanother,row,to,send\\n""
  },
  ...
}","['post', 'text']",['post'],['post']
">>> r = requests.get('https://httpbin.org/get')
>>> r.status_code
200",['get'],['get'],['get']
">>> bad_r = requests.get('https://httpbin.org/status/404')
>>> bad_r.status_code
404

>>> bad_r.raise_for_status()
Traceback (most recent call last):
  File ""requests/models.py"", line 832, in raise_for_status
    raise http_error
requests.exceptions.HTTPError: 404 Client Error","['get', 'raise_for_status']","['get', ('bad_r.raise_for_status', 'N/A')]",['get']
">>> r.raise_for_status()
None",['raise_for_status'],"[('r.raise_for_status', 'N/A')]",[]
">>> r.headers['Content-Type']
'application/json'

>>> r.headers.get('content-type')
'application/json'",['get'],"[('headers.get', 'N/A')]",[]
">>> url = 'http://example.com/some/cookie/setting/url'
>>> r = requests.get(url)

>>> r.cookies['example_cookie_name']
'example_cookie_value'",['get'],['get'],['get']
">>> url = 'https://httpbin.org/cookies'
>>> cookies = dict(cookies_are='working')

>>> r = requests.get(url, cookies=cookies)
>>> r.text
'{""cookies"": {""cookies_are"": ""working""}}'","['get', 'text']","[('dict', 'N/A'), 'get']",['get']
">>> jar = requests.cookies.RequestsCookieJar()
>>> jar.set('tasty_cookie', 'yum', domain='httpbin.org', path='/cookies')
>>> jar.set('gross_cookie', 'blech', domain='httpbin.org', path='/elsewhere')
>>> url = 'https://httpbin.org/cookies'
>>> r = requests.get(url, cookies=jar)
>>> r.text
'{""cookies"": {""tasty_cookie"": ""yum""}}'","['set', 'get', 'text']","['__init__', ('jar.set', 'N/A'), 'get']",['get']
">>> r = requests.get('http://github.com/')

>>> r.url
'https://github.com/'

>>> r.status_code
200

>>> r.history
[]",['get'],['get'],['get']
">>> r = requests.get('http://github.com/', allow_redirects=False)

>>> r.status_code
301

>>> r.history
[]",['get'],['get'],['get']
">>> r = requests.head('http://github.com/', allow_redirects=True)

>>> r.url
'https://github.com/'

>>> r.history
[]",['head'],['head'],['head']
">>> requests.get('https://github.com/', timeout=0.001)
Traceback (most recent call last):
  File """", line 1, in 
requests.exceptions.Timeout: HTTPConnectionPool(host='github.com', port=80): Request timed out. (timeout=0.001)",['get'],"['get', ('HTTPConnectionPool', 'N/A')]",['get']
"s = requests.Session()

s.get('https://httpbin.org/cookies/set/sessioncookie/123456789')
r = s.get('https://httpbin.org/cookies')

print(r.text)
# '{""cookies"": {""sessioncookie"": ""123456789""}}'","['__init__', 'get', 'text']","['__init__', ('s.get', 'N/A'), ('print', 'N/A')]",['__init__']
"s = requests.Session()
s.auth = ('user', 'pass')
s.headers.update({'x-test': 'true'})

# both 'x-test' and 'x-test2' are sent
s.get('https://httpbin.org/headers', headers={'x-test2': 'true'})","['__init__', 'get']","['__init__', ('headers.update', 'N/A'), ('s.get', 'N/A')]",['__init__']
"s = requests.Session()

r = s.get('https://httpbin.org/cookies', cookies={'from-my': 'browser'})
print(r.text)
# '{""cookies"": {""from-my"": ""browser""}}'

r = s.get('https://httpbin.org/cookies')
print(r.text)
# '{""cookies"": {}}'","['__init__', 'get', 'text']","['__init__', ('s.get', 'N/A'), ('print', 'N/A')]",['__init__']
"with requests.Session() as s:
    s.get('https://httpbin.org/cookies/set/sessioncookie/123456789')","['__init__', 'get']","['__init__', ('s.get', 'N/A')]",['__init__']
>>> r = requests.get('https://en.wikipedia.org/wiki/Monty_Python'),['get'],['get'],['get']
"from requests import Request, Session

s = Session()

req = Request('POST', url, data=data, headers=headers)
prepped = req.prepare()

# do something with prepped.body
prepped.body = 'No, I want exactly this as the body.'

# do something with prepped.headers
del prepped.headers['Content-Type']

resp = s.send(prepped,
    stream=stream,
    verify=verify,
    proxies=proxies,
    cert=cert,
    timeout=timeout
)

print(resp.status_code)","['__init__', '__init__', 'prepare']","['__init__', '__init__', ('req.prepare', 'N/A'), ('s.send', 'N/A'), ('print', 'N/A')]","['__init__', '__init__']"
"from requests import Request, Session

s = Session()
req = Request('GET',  url, data=data, headers=headers)

prepped = s.prepare_request(req)

# do something with prepped.body
prepped.body = 'Seriously, send exactly these bytes.'

# do something with prepped.headers
prepped.headers['Keep-Dead'] = 'parrot'

resp = s.send(prepped,
    stream=stream,
    verify=verify,
    proxies=proxies,
    cert=cert,
    timeout=timeout
)

print(resp.status_code)","['__init__', '__init__', 'prepare_request', 'send']","['__init__', '__init__', ('s.prepare_request', 'N/A'), ('s.send', 'N/A'), ('print', 'N/A')]","['__init__', '__init__']"
"from requests import Request, Session

s = Session()
req = Request('GET', url)

prepped = s.prepare_request(req)

# Merge environment settings into session
settings = s.merge_environment_settings(prepped.url, {}, None, None, None)
resp = s.send(prepped, **settings)

print(resp.status_code)","['__init__', '__init__', 'prepare_request', 'merge_environment_settings', 'send']","['__init__', '__init__', ('s.prepare_request', 'N/A'), ('s.merge_environment_settings', 'N/A'), ('s.send', 'N/A'), ('print', 'N/A')]","['__init__', '__init__']"
">>> requests.get('https://requestb.in')
requests.exceptions.SSLError: hostname 'requestb.in' doesn't match either of '*.herokuapp.com', 'herokuapp.com'",['get'],['get'],['get']
>>> requests.get('https://github.com'),['get'],['get'],['get']
">>> requests.get('https://github.com', verify='/path/to/certfile')",['get'],['get'],['get']
"s = requests.Session()
s.verify = '/path/to/certfile'",['__init__'],['__init__'],['__init__']
">>> requests.get('https://kennethreitz.org', verify=False)",['get'],['get'],['get']
">>> requests.get('https://kennethreitz.org', cert=('/path/client.cert', '/path/client.key'))",['get'],['get'],['get']
"s = requests.Session()
s.cert = '/path/client.cert'",['__init__'],['__init__'],['__init__']
">>> requests.get('https://kennethreitz.org', cert='/wrong_path/client.pem')
SSLError: [Errno 336265225] _ssl.c:347: error:140B0009:SSL routines:SSL_CTX_use_PrivateKey_file:PEM lib",['get'],['get'],['get']
"tarball_url = 'https://github.com/psf/requests/tarball/main'
r = requests.get(tarball_url, stream=True)",['get'],['get'],['get']
"if int(r.headers['content-length']) < TOO_LONG:
  content = r.content
  ...",[''],"[('int', 'N/A')]",[]
"with requests.get('https://httpbin.org/get', stream=True) as r:
    # Do things with the response here.",['get'],['get'],['get']
"with open('massive-body', 'rb') as f:
    requests.post('http://some.url/streamed', data=f)",['post'],"[('open', 'N/A'), 'post']",['post']
"def gen():
    yield 'hi'
    yield 'there'

requests.post('http://some.url/chunked', data=gen())",['post'],"[('gen', 'N/A'), 'post']",['post']
">>> url = 'https://httpbin.org/post'
>>> multiple_files = [
...     ('images', ('foo.png', open('foo.png', 'rb'), 'image/png')),
...     ('images', ('bar.png', open('bar.png', 'rb'), 'image/png'))]
>>> r = requests.post(url, files=multiple_files)
>>> r.text
{
  ...
  'files': {'images': 'data:image/png;base64,iVBORw ....'}
  'Content-Type': 'multipart/form-data; boundary=3131623adb2043caaeb5538cc7aa0b3a',
  ...
}","['post', 'text']","[('open', 'N/A'), 'post']",['post']
"def print_url(r, *args, **kwargs):
    print(r.url)",[''],"[('print_url', 'N/A'), ('print', 'N/A')]",[]
"def record_hook(r, *args, **kwargs):
    r.hook_called = True
    return r",[''],"[('record_hook', 'N/A')]",[]
">>> requests.get('https://httpbin.org/', hooks={'response': print_url})
https://httpbin.org/",['get'],['get'],['get']
">>> r = requests.get('https://httpbin.org/', hooks={'response': [print_url, record_hook]})
>>> r.hook_called
True",['get'],['get'],['get']
">>> s = requests.Session()
>>> s.hooks['response'].append(print_url)
>>> s.get('https://httpbin.org/')
 https://httpbin.org/","['__init__', 'get']","['__init__', ('append', 'N/A'), ('s.get', 'N/A')]",['__init__']
"from requests.auth import AuthBase

class PizzaAuth(AuthBase):
    """"""Attaches HTTP Pizza Authentication to the given Request object.""""""
    def __init__(self, username):
        # setup any auth-related data here
        self.username = username

    def __call__(self, r):
        # modify and return the request
        r.headers['X-Pizza'] = self.username
        return r",[''],"[('PizzaAuth', 'N/A'), ('__init__', 'N/A'), ('__call__', 'N/A')]",[]
">>> requests.get('http://pizzabin.org/admin', auth=PizzaAuth('kenneth'))",['get'],"['get', ('PizzaAuth', 'N/A')]",[]
"import json
import requests

r = requests.get('https://httpbin.org/stream/20', stream=True)

for line in r.iter_lines():

    # filter out keep-alive new lines
    if line:
        decoded_line = line.decode('utf-8')
        print(json.loads(decoded_line))","['get', 'iter_lines']","['get', ('r.iter_lines', 'N/A'), ('line.decode', 'N/A'), ('print', 'N/A'), ('json.loads', 'N/A')]",[]
"r = requests.get('https://httpbin.org/stream/20', stream=True)

if r.encoding is None:
    r.encoding = 'utf-8'

for line in r.iter_lines(decode_unicode=True):
    if line:
        print(json.loads(line))","['get', 'iter_lines']","['get', ('r.iter_lines', 'N/A'), ('print', 'N/A'), ('json.loads', 'N/A')]",[]
"lines = r.iter_lines()
# Save the first line for later or just skip it

first_line = next(lines)

for line in lines:
    print(line)",['iter_lines'],"[('r.iter_lines', 'N/A'), ('next', 'N/A'), ('print', 'N/A')]",[]
"import requests

proxies = {
  'http': 'http://10.10.1.10:3128',
  'https': 'http://10.10.1.10:1080',
}

requests.get('http://example.org', proxies=proxies)",['get'],['get'],[]
"import requests

proxies = {
  'http': 'http://10.10.1.10:3128',
  'https': 'http://10.10.1.10:1080',
}
session = requests.Session()
session.proxies.update(proxies)

session.get('http://example.org')","['__init__', 'get']","['__init__', ('proxies.update', 'N/A'), ('session.get', 'N/A')]",['__init__']
"$ export HTTP_PROXY=""http://10.10.1.10:3128""
$ export HTTPS_PROXY=""http://10.10.1.10:1080""
$ export ALL_PROXY=""socks5://10.10.1.10:3434""

$ python
>>> import requests
>>> requests.get('http://example.org')",['get'],['get'],[]
"from requests.utils import DEFAULT_CA_BUNDLE_PATH
print(DEFAULT_CA_BUNDLE_PATH)",[''],"[('print', 'N/A')]",[]
"$ export curl_ca_bundle=""/usr/local/myproxy_info/cacert.pem""
$ export https_proxy=""http://10.10.1.10:1080""

$ python
>>> import requests
>>> requests.get('https://example.org')",['get'],['get'],[]
">>> import requests
>>> r = requests.get('https://api.github.com/repos/psf/requests/git/commits/a050faf084662f3a352dd1a941f2c7c9f886d4ad')",['get'],['get'],[]
">>> if r.status_code == requests.codes.ok:
...     print(r.headers['content-type'])
...
application/json; charset=utf-8",[''],"[('print', 'N/A')]",[]
">>> commit_data = r.json()

>>> print(commit_data.keys())
['committer', 'author', 'url', 'tree', 'sha', 'parents', 'message']

>>> print(commit_data['committer'])
{'date': '2012-05-10T11:10:50-07:00', 'email': 'me@kennethreitz.com', 'name': 'Kenneth Reitz'}

>>> print(commit_data['message'])
makin' history",['json'],"[('r.json', 'N/A'), ('print', 'N/A'), ('commit_data.keys', 'N/A')]",[]
">>> verbs = requests.options(r.url)
>>> verbs.status_code
500",['options'],['options'],['options']
">>> verbs = requests.options('http://a-good-website.com/api/cats')
>>> print(verbs.headers['allow'])
GET,HEAD,POST,OPTIONS",['options'],"[('print', 'N/A')]",[]
">>> r = requests.get('https://api.github.com/repos/psf/requests/issues/482')
>>> r.status_code
200

>>> issue = json.loads(r.text)

>>> print(issue['title'])
Feature any http verb in docs

>>> print(issue['comments'])
3",['get'],"['get', ('json.loads', 'N/A'), ('print', 'N/A')]",['get']
">>> r = requests.get(r.url + '/comments')
>>> r.status_code
200

>>> comments = r.json()

>>> print(comments[0].keys())
['body', 'url', 'created_at', 'updated_at', 'user', 'id']

>>> print(comments[2]['body'])
Probably in the ""advanced"" section",['get'],"[('r.json', 'N/A'), ('print', 'N/A'), ('keys', 'N/A')]",[]
">>> print(comments[2]['user']['login'])
kennethreitz",[''],"[('print', 'N/A')]",[]
">>> body = json.dumps({u""body"": u""Sounds great! I'll get right on it!""})
>>> url = u""https://api.github.com/repos/psf/requests/issues/482/comments""

>>> r = requests.post(url=url, data=body)
>>> r.status_code
404",['post'],"[('json.dumps', 'N/A'), 'post']",['post']
">>> from requests.auth import HTTPBasicAuth
>>> auth = HTTPBasicAuth('fake@example.com', 'not_a_real_password')

>>> r = requests.post(url=url, data=body, auth=auth)
>>> r.status_code
201

>>> content = r.json()
>>> print(content['body'])
Sounds great! I'll get right on it.","['post', 'json']","['__init__', 'post', ('r.json', 'N/A'), ('print', 'N/A')]",['post']
">>> print(content[u""id""])
5804413

>>> body = json.dumps({u""body"": u""Sounds great! I'll get right on it once I feed my cat.""})
>>> url = u""https://api.github.com/repos/psf/requests/issues/comments/5804413""

>>> r = requests.patch(url=url, data=body, auth=auth)
>>> r.status_code
200",['patch'],"[('print', 'N/A'), ('json.dumps', 'N/A'), 'patch']",['patch']
">>> r = requests.delete(url=url, auth=auth)
>>> r.status_code
204
>>> r.headers['status']
'204 No Content'",['delete'],['delete'],['delete']
">>> r = requests.head(url=url, auth=auth)
>>> print(r.headers)
...
'x-ratelimit-remaining': '4995'
'x-ratelimit-limit': '5000'
...",['head'],"['head', ('print', 'N/A')]",['head']
">>> r = requests.request('MKCOL', url, data=data)
>>> r.status_code
200 # Assuming your call was correct",['request'],['request'],['request']
">>> url = 'https://api.github.com/users/kennethreitz/repos?page=1&per_page=10'
>>> r = requests.head(url=url)
>>> r.headers['link']
'; rel=""next"", ; rel=""last""'",['head'],['head'],['head']
">>> s = requests.Session()
>>> s.mount('https://github.com/', MyAdapter())","['__init__', 'mount']","['__init__', ('s.mount', 'N/A'), ('MyAdapter', 'N/A')]",['__init__']
"import ssl
from urllib3.poolmanager import PoolManager

from requests.adapters import HTTPAdapter


class Ssl3HttpAdapter(HTTPAdapter):
    """"""""Transport adapter"" that allows us to use SSLv3.""""""

    def init_poolmanager(self, connections, maxsize, block=False):
        self.poolmanager = PoolManager(
            num_pools=connections, maxsize=maxsize,
            block=block, ssl_version=ssl.PROTOCOL_SSLv3)",[''],"[('Ssl3HttpAdapter', 'N/A'), ('init_poolmanager', 'N/A'), ('PoolManager', 'N/A')]",[]
"r = requests.get('https://github.com', timeout=5)",['get'],['get'],['get']
"r = requests.get('https://github.com', timeout=(3.05, 27))",['get'],['get'],['get']
"r = requests.get('https://github.com', timeout=None)",['get'],['get'],['get']
">>> from requests.auth import HTTPBasicAuth
>>> basic = HTTPBasicAuth('user', 'pass')
>>> requests.get('https://httpbin.org/basic-auth/user/pass', auth=basic)","['__init__', 'get']",['__init__'],['__init__']
">>> from requests.auth import HTTPDigestAuth
>>> url = 'https://httpbin.org/digest-auth/auth/user/pass'
>>> requests.get(url, auth=HTTPDigestAuth('user', 'pass'))","['__init__', 'get']","['get', '__init__']","['__init__', 'get']"
">>> import requests
>>> from requests_oauthlib import OAuth1

>>> url = 'https://api.twitter.com/1.1/account/verify_credentials.json'
>>> auth = OAuth1('YOUR_APP_KEY', 'YOUR_APP_SECRET',
...               'USER_OAUTH_TOKEN', 'USER_OAUTH_TOKEN_SECRET')

>>> requests.get(url, auth=auth)",['get'],"[('OAuth1', 'N/A'), 'get']",['get']
">>> import requests
>>> class MyAuth(requests.auth.AuthBase):
...     def __call__(self, r):
...         # Implement my authentication
...         return r
...
>>> url = 'https://httpbin.org/get'
>>> requests.get(url, auth=MyAuth())",['get'],"[('MyAuth', 'N/A'), ('__call__', 'N/A'), 'get']",['get']
">>> import requests
>>> req = requests.request('GET', 'https://httpbin.org/get')
>>> req",['request'],['request'],['request']
">>> import requests
>>> s = requests.Session()
>>> s.get('https://httpbin.org/get')","['__init__', 'get']","['__init__', ('s.get', 'N/A')]",['__init__']
">>> with requests.Session() as s:
...     s.get('https://httpbin.org/get')","['__init__', 'get']","['__init__', ('s.get', 'N/A')]",['__init__']
">>> import requests
>>> req = requests.Request('GET', 'https://httpbin.org/get')
>>> req.prepare()","['__init__', 'prepare']","['__init__', ('req.prepare', 'N/A')]",['__init__']
">>> import requests
>>> req = requests.Request('GET', 'https://httpbin.org/get')
>>> r = req.prepare()
>>> r


>>> s = requests.Session()
>>> s.send(r)","['__init__', 'prepare', '__init__', 'send']","['__init__', ('req.prepare', 'N/A'), '__init__', ('s.send', 'N/A')]","['__init__', '__init__']"
">>> import requests
>>> s = requests.Session()
>>> a = requests.adapters.HTTPAdapter(max_retries=3)
>>> s.mount('http://', a)","['__init__', '__init__', 'mount']","['__init__', '__init__', ('s.mount', 'N/A')]","['__init__', '__init__']"
"import requests
r = requests.get('https://api.github.com/events')
r.json()   # This *call* raises an exception if JSON decoding fails","['get', 'json']","['get', ('r.json', 'N/A')]",['get']
"s = requests.Session()    # formerly, session took parameters
s.auth = auth
s.headers.update(headers)
r = s.get('https://httpbin.org/headers')","['__init__', 'get']","['__init__', ('headers.update', 'N/A'), ('s.get', 'N/A')]",['__init__']
"# in 0.x, passing prefetch=False would accomplish the same thing
r = requests.get('https://api.github.com/events', stream=True)
for chunk in r.iter_content(8192):
    ...","['get', 'iter_content']","['get', ('r.iter_content', 'N/A')]",['get']
"import requests
import logging

# Enabling debugging at http.client level (requests->urllib3->http.client)
# you will see the REQUEST, including HEADERS and DATA, and RESPONSE with HEADERS but without DATA.
# the only thing missing will be the response.body which is not logged.
try: # for Python 3
    from http.client import HTTPConnection
except ImportError:
    from httplib import HTTPConnection
HTTPConnection.debuglevel = 1

logging.basicConfig() # you need to initialize logging, otherwise you will not see anything from requests
logging.getLogger().setLevel(logging.DEBUG)
requests_log = logging.getLogger(""urllib3"")
requests_log.setLevel(logging.DEBUG)
requests_log.propagate = True

requests.get('https://httpbin.org/headers')",['get'],"[('logging.basicConfig', 'N/A'), ('logging.getLogger', 'N/A'), ('setLevel', 'N/A'), ('requests_log.setLevel', 'N/A'), 'get']",['get']
"proxies = {
  ""http"": ""10.10.1.10:3128"",    # use http://10.10.1.10:3128 instead
}

# In requests 1.x, this was legal, in requests 2.x,
#  this raises requests.exceptions.MissingSchema
requests.get(""http://example.org"", proxies=proxies)",['get'],['get'],['get']
