Example,Page,Class,Function,Source File
var binary = someExternalBinary.as(TAR); // casting external jBinary instance with no or with irrelevant typeset to TAR typeSet object (any operations including both data and pointer manipulations will affect both instances).,https://github.com/jDataView/jBinary/wiki/jBinary-Methods,as,as,jBinary/src/proto/as.js
getType(type),https://github.com/jDataView/jBinary/wiki/Internal-jBinary-Methods,props,getType,jBinary/src/proto/props.js
getContext(filter),https://github.com/jDataView/jBinary/wiki/Internal-jBinary-Methods,context,getContext,jBinary/src/proto/context.js
"inContext(newContext, callback)",https://github.com/jDataView/jBinary/wiki/Internal-jBinary-Methods,context,inContext,jBinary/src/proto/context.js
"// Example:
var jbType = binary.getType(['string', 30]);",https://github.com/jDataView/jBinary/wiki/Internal-jBinary-Methods,props,getType,jBinary/src/proto/props.js
"// Example:
var currentContext = binary.getContext(); // current object that value belongs to
var parentContext = binary.getContext(1); // one level up
var contextWithID = binary.getContext('id'); // first context with ""id"" property (bubbling up)
var contextWithID1 = binary.getContext(function (context) { return context.id === 1 }); // first context that matches custom condition",https://github.com/jDataView/jBinary/wiki/Internal-jBinary-Methods,context,getContext,jBinary/src/proto/context.js
"var fs = require('fs');
var jBinary = require('jbinary');
var typeSet = {
  magic: ['array', 'uint8', 4]
};

jBinary.load('file.bin', typeSet, function (err, binary) {
  console.log(binary.read('magic'));
});",https://github.com/jDataView/jBinary/wiki/Usage-in-Node.js,load,load,jBinary/src/io/load.js
"<script src=""//jdataview.github.io/dist/jdataview.js"">script>
<script src=""//jdataview.github.io/dist/jbinary.js"">script>

<script>
var typeSet = {
  magic: ['array', 'uint8', 4]
};

jBinary.load('file.bin', typeSet, function (err, binary) {
  console.log(binary.read('magic'));
});
script>",https://github.com/jDataView/jBinary/wiki/Usage-in-Browser,load,load,jBinary/src/io/load.js
"// somewhere in config:
require.config({
  paths: {
    jdataview: '//jdataview.github.io/dist/jdataview.js',
    jbinary: '//jdataview.github.io/dist/jbinary.js',
  }
});

// ...

// in code:
require(['jbinary'], function (jBinary) {
  var typeSet = {
    magic: ['array', 'uint8', 4]
  };

  jBinary.load('file.bin', typeSet, function (err, binary) {
    console.log(binary.read('magic'));
  });
});",https://github.com/jDataView/jBinary/wiki/Usage-with-AMD,load,load,jBinary/src/io/load.js
"jBinary.loadData(source, [callback])",https://github.com/jDataView/jBinary/wiki/Loading-and-saving-data,load,loadData,jBinary/src/io/load.js
"callback(error, data)",https://github.com/jDataView/jBinary/wiki/Loading-and-saving-data,N/A,N/A,N/A
"jBinary.load(source, [typeSet], [callback])",https://github.com/jDataView/jBinary/wiki/Loading-and-saving-data,load,load,jBinary/src/io/load.js
"callback(error, data)",https://github.com/jDataView/jBinary/wiki/Loading-and-saving-data,N/A,N/A,N/A
"saveAs(dest, mimeType = 'application/octet-stream', [callback])",https://github.com/jDataView/jBinary/wiki/Loading-and-saving-data,save,saveAs,jBinary/src/io/save.js
"callback(error, data)",https://github.com/jDataView/jBinary/wiki/Loading-and-saving-data,N/A,N/A,N/A
toURI(mimeType = 'application/octet-stream'),https://github.com/jDataView/jBinary/wiki/Loading-and-saving-data,save,toURI,jBinary/src/io/save.js
"then(onFulfill, onReject)",https://github.com/jDataView/jBinary/wiki/Loading-and-saving-data,N/A,N/A,N/A
Promise.from(...),https://github.com/jDataView/jBinary/wiki/Loading-and-saving-data,N/A,N/A,N/A
Q(...),https://github.com/jDataView/jBinary/wiki/Loading-and-saving-data,N/A,N/A,N/A
"fileInput.addEventListener('change', function () {
  jBinary.loadData(fileInput.files[0]).then(function (data) {
    if (error) {
      return console.log(error);
    }

    // here you get data from  that you can use in jDataView/jBinary constructors
  });
});

jBinary.load('sample.tar').then(function (binary) {
  // here TAR format is auto-detected and used by `binary` (in the case you use it in combination with jBinary.Repo)
  var tar = binary.readAll;

  // ... more code ...

  return binary.saveAs('new.tar'); // opens browser's ""Save as"" dialog or saves to disk if called from Node.js
}).then(function () {
  console.log('Processed and saved successfully!');
}, function (err) {
  console.error(err);
});",https://github.com/jDataView/jBinary/wiki/Loading-and-saving-data,load,loadData,jBinary/src/io/load.js
"fileInput.addEventListener('change', function () {
  jBinary.loadData(fileInput.files[0]).then(function (data) {
    if (error) {
      return console.log(error);
    }

    // here you get data from  that you can use in jDataView/jBinary constructors
  });
});

jBinary.load('sample.tar').then(function (binary) {
  // here TAR format is auto-detected and used by `binary` (in the case you use it in combination with jBinary.Repo)
  var tar = binary.readAll;

  // ... more code ...

  return binary.saveAs('new.tar'); // opens browser's ""Save as"" dialog or saves to disk if called from Node.js
}).then(function () {
  console.log('Processed and saved successfully!');
}, function (err) {
  console.error(err);
});",https://github.com/jDataView/jBinary/wiki/Loading-and-saving-data,load,load,jBinary/src/io/load.js
"fileInput.addEventListener('change', function () {
  jBinary.loadData(fileInput.files[0]).then(function (data) {
    if (error) {
      return console.log(error);
    }

    // here you get data from  that you can use in jDataView/jBinary constructors
  });
});

jBinary.load('sample.tar').then(function (binary) {
  // here TAR format is auto-detected and used by `binary` (in the case you use it in combination with jBinary.Repo)
  var tar = binary.readAll;

  // ... more code ...

  return binary.saveAs('new.tar'); // opens browser's ""Save as"" dialog or saves to disk if called from Node.js
}).then(function () {
  console.log('Processed and saved successfully!');
}, function (err) {
  console.error(err);
});",https://github.com/jDataView/jBinary/wiki/Loading-and-saving-data,props,readAll,jBinary/src/proto/props.js
"fileInput.addEventListener('change', function () {
  jBinary.loadData(fileInput.files[0]).then(function (data) {
    if (error) {
      return console.log(error);
    }

    // here you get data from  that you can use in jDataView/jBinary constructors
  });
});

jBinary.load('sample.tar').then(function (binary) {
  // here TAR format is auto-detected and used by `binary` (in the case you use it in combination with jBinary.Repo)
  var tar = binary.readAll;

  // ... more code ...

  return binary.saveAs('new.tar'); // opens browser's ""Save as"" dialog or saves to disk if called from Node.js
}).then(function () {
  console.log('Processed and saved successfully!');
}, function (err) {
  console.error(err);
});",https://github.com/jDataView/jBinary/wiki/Loading-and-saving-data,save,saveAs,jBinary/src/io/save.js
"{
  'jBinary.all': 'File',
  'jBinary.littleEndian': true,

  // declaring custom type by wrapping structure
  DynamicArray: jBinary.Template({
    setParams: function (itemType) {
      this.baseType = {
        // using built-in type
        length: 'uint16',
        // using complex built-in type with simple argument and argument from another field
        values: ['array', itemType, 'length']
      };
    },
    read: function () {
      return this.baseRead().values;
    },
    write: function (values) {
      this.baseWrite({
        length: values.length,
        values: values
      });
    }
  }),

  // declaring simple structure
  FileItem: {
    // using built-in type with argument
    name: ['string0', 256],
    // using another custom type with no arguments
    content: 'DynamicArray'
  },

  // aliasing FileItem[] as type of entire File
  File: ['array', 'FileItem']
}",https://github.com/jDataView/jBinary/wiki/Typesets,template,Template,jBinary/src/template.js
"string(@length, encoding = 'binary')",https://github.com/jDataView/jBinary/wiki/Standard-types,string,string,jBinary/src/typeSet/string.js
"string0(@length, encoding = 'binary')",https://github.com/jDataView/jBinary/wiki/Standard-types,string0,string0,jBinary/src/typeSet/string0.js
"const(baseType, value, strict = false)",https://github.com/jDataView/jBinary/wiki/Standard-types,const,const,jBinary/src/typeSet/const.js
strict(readValue),https://github.com/jDataView/jBinary/wiki/Standard-types,N/A,N/A,N/A
"array(baseType, @length)",https://github.com/jDataView/jBinary/wiki/Standard-types,array,array,jBinary/src/typeSet/array.js
"object(structure, proto = Object.prototype)",https://github.com/jDataView/jBinary/wiki/Standard-types,object,object,jBinary/src/typeSet/object.js
extend(...object structures...),https://github.com/jDataView/jBinary/wiki/Standard-types,extend,extend,jBinary/src/typeSet/extend.js
"enum(baseType, matches)",https://github.com/jDataView/jBinary/wiki/Standard-types,enum,enum,jBinary/src/typeSet/enum.js
bitfield(length),https://github.com/jDataView/jBinary/wiki/Standard-types,bitfield,bitfield,jBinary/src/typeSet/bitfield.js
blob(@length),https://github.com/jDataView/jBinary/wiki/Standard-types,blob,blob,jBinary/src/typeSet/blob.js
"binary(@length, typeSet = {})",https://github.com/jDataView/jBinary/wiki/Standard-types,binary,binary,jBinary/src/typeSet/binary.js
"if(@condition, trueType, falseType)",https://github.com/jDataView/jBinary/wiki/Standard-types,if,if,jBinary/src/typeSet/if.js
"if_not(@condition, falseType, trueType)",https://github.com/jDataView/jBinary/wiki/Standard-types,if_not,if_not,jBinary/src/typeSet/if_not.js
skip(@length),https://github.com/jDataView/jBinary/wiki/Standard-types,skip,skip,jBinary/src/typeSet/skip.js
callback(context),https://github.com/jDataView/jBinary/wiki/Standard-types,N/A,N/A,N/A
"binary.read({
  count: 'uint32',
  bytes: ['array', 'uint8', 'count']
});",https://github.com/jDataView/jBinary/wiki/Standard-types,props,read,jBinary/src/proto/props.js
"binary.read({
  recordSize: 'uint32',
  data: ['array', 'uint8', function (context) {
    return context.recordSize - 4; // total size except `size` field itself
  }]
});",https://github.com/jDataView/jBinary/wiki/Standard-types,props,read,jBinary/src/proto/props.js
jBinary.Type(config),https://github.com/jDataView/jBinary/wiki/jBinary.Type,Type,Type,jBinary/src/type.js
read(context),https://github.com/jDataView/jBinary/wiki/jBinary.Type,N/A,N/A,N/A
"write(data, context)",https://github.com/jDataView/jBinary/wiki/jBinary.Type,N/A,N/A,N/A
setParams(...params...),https://github.com/jDataView/jBinary/wiki/jBinary.Type,N/A,N/A,N/A
resolve(getType),https://github.com/jDataView/jBinary/wiki/jBinary.Type,N/A,N/A,N/A
"toValue(value, allowResolve = true)",https://github.com/jDataView/jBinary/wiki/jBinary.Type,Type,toValue,jBinary/src/type.js
"inherit(args, getType)",https://github.com/jDataView/jBinary/wiki/jBinary.Type,Type,inherit,jBinary/src/type.js
createProperty(binary),https://github.com/jDataView/jBinary/wiki/jBinary.Type,Type,createProperty,jBinary/src/type.js
"var binary = new jBinary([0x00, 0x03, 0x04, 0x05, 0x06, 0x07], {
  DynamicArray: jBinary.Type({
    params: ['itemType'],
    resolve: function (getType) {
      this.itemType = getType(this.itemType);
    },
    read: function () {
      var length = this.binary.read('uint16');
      return this.binary.read(['array', this.itemType, length]);
    },
    write: function (values) {
      this.binary.write('uint16', values.length);
      this.binary.write(['array', this.itemType], values);
    }
  }),

  byteArray: ['DynamicArray', 'uint8']
});

var byteArray = binary.read('byteArray'); // [0x04, 0x05, 0x06]",https://github.com/jDataView/jBinary/wiki/jBinary.Type,jBinary,jBinary,jBinary/src/core.js
"var binary = new jBinary([0x00, 0x03, 0x04, 0x05, 0x06, 0x07], {
  DynamicArray: jBinary.Type({
    params: ['itemType'],
    resolve: function (getType) {
      this.itemType = getType(this.itemType);
    },
    read: function () {
      var length = this.binary.read('uint16');
      return this.binary.read(['array', this.itemType, length]);
    },
    write: function (values) {
      this.binary.write('uint16', values.length);
      this.binary.write(['array', this.itemType], values);
    }
  }),

  byteArray: ['DynamicArray', 'uint8']
});

var byteArray = binary.read('byteArray'); // [0x04, 0x05, 0x06]",https://github.com/jDataView/jBinary/wiki/jBinary.Type,Type,Type,jBinary/src/type.js
jBinary.Template(config),https://github.com/jDataView/jBinary/wiki/jBinary.Template,Template,Template,jBinary/src/template.js
getBaseType(context),https://github.com/jDataView/jBinary/wiki/jBinary.Template,lazy,getBaseType,jBinary/src/typeSet/lazy.js
baseRead(),https://github.com/jDataView/jBinary/wiki/jBinary.Template,Template,baseRead,jBinary/src/template.js
baseWrite(data),https://github.com/jDataView/jBinary/wiki/jBinary.Template,Template,baseWrite,jBinary/src/template.js
"var binary = new jBinary([0x00, 0x03, 0x04, 0x05, 0x06, 0x07], {
  DynamicArray: jBinary.Template({
    setParams: function (itemType) {
      this.baseType = {
        length: 'uint16',
        values: ['array', itemType, 'length']
      };
    },
    read: function () {
      return this.baseRead().values;
    },
    write: function (values) {
      this.baseWrite({
        length: values.length,
        values: values
      });
    }
  }),

  byteArray: ['DynamicArray', 'uint8']
});

var byteArray = binary.read('byteArray'); // [0x04, 0x05, 0x06]",https://github.com/jDataView/jBinary/wiki/jBinary.Template,jBinary,jBinary,jBinary/src/core.js
"var binary = new jBinary([0x00, 0x03, 0x04, 0x05, 0x06, 0x07], {
  DynamicArray: jBinary.Template({
    setParams: function (itemType) {
      this.baseType = {
        length: 'uint16',
        values: ['array', itemType, 'length']
      };
    },
    read: function () {
      return this.baseRead().values;
    },
    write: function (values) {
      this.baseWrite({
        length: values.length,
        values: values
      });
    }
  }),

  byteArray: ['DynamicArray', 'uint8']
});

var byteArray = binary.read('byteArray'); // [0x04, 0x05, 0x06]",https://github.com/jDataView/jBinary/wiki/jBinary.Template,Template,Template,jBinary/src/template.js
"var binary = new jBinary([0x00, 0x03, 0x04, 0x05, 0x06, 0x07], {
  DynamicArray: jBinary.Template({
    setParams: function (itemType) {
      this.baseType = {
        length: 'uint16',
        values: ['array', itemType, 'length']
      };
    },
    read: function () {
      return this.baseRead().values;
    },
    write: function (values) {
      this.baseWrite({
        length: values.length,
        values: values
      });
    }
  }),

  byteArray: ['DynamicArray', 'uint8']
});

var byteArray = binary.read('byteArray'); // [0x04, 0x05, 0x06]",https://github.com/jDataView/jBinary/wiki/jBinary.Template,Template,baseRead,jBinary/src/template.js
"var binary = new jBinary([0x00, 0x03, 0x04, 0x05, 0x06, 0x07], {
  DynamicArray: jBinary.Template({
    setParams: function (itemType) {
      this.baseType = {
        length: 'uint16',
        values: ['array', itemType, 'length']
      };
    },
    read: function () {
      return this.baseRead().values;
    },
    write: function (values) {
      this.baseWrite({
        length: values.length,
        values: values
      });
    }
  }),

  byteArray: ['DynamicArray', 'uint8']
});

var byteArray = binary.read('byteArray'); // [0x04, 0x05, 0x06]",https://github.com/jDataView/jBinary/wiki/jBinary.Template,Template,baseWrite,jBinary/src/template.js
"var binary = new jBinary([0x00, 0x03, 0x04, 0x05, 0x06, 0x07], {
  DynamicArray: jBinary.Template({
    setParams: function (itemType) {
      this.baseType = {
        length: 'uint16',
        values: ['array', itemType, 'length']
      };
    },
    read: function () {
      return this.baseRead().values;
    },
    write: function (values) {
      this.baseWrite({
        length: values.length,
        values: values
      });
    }
  }),

  byteArray: ['DynamicArray', 'uint8']
});

var byteArray = binary.read('byteArray'); // [0x04, 0x05, 0x06]",https://github.com/jDataView/jBinary/wiki/jBinary.Template,props,read,jBinary/src/proto/props.js
"jBinary.Repo('bmp', function (BMP) {
  var binary = new jBinary(data, BMP);
  // ...do whatever you want with `binary` or simply...
  var data = binary.readAll();
  // ...get entire file as parsed object in `data`
});",https://github.com/jDataView/jBinary/wiki/The-Repo,jBinary,jBinary,jBinary/src/core.js
"jBinary.Repo('bmp', function (BMP) {
  var binary = new jBinary(data, BMP);
  // ...do whatever you want with `binary` or simply...
  var data = binary.readAll();
  // ...get entire file as parsed object in `data`
});",https://github.com/jDataView/jBinary/wiki/The-Repo,props,readAll,jBinary/src/proto/props.js
"jBinary.Repo(['tar', 'gzip'], function (TAR, GZIP) {
  // your code goes here ;)
});",https://github.com/jDataView/jBinary/wiki/The-Repo,N/A,N/A,N/A
"require(['jbinary.repo!tar', 'jbinary.repo!gzip'], function (TAR, GZIP) {
  // you can put just the same code as in sample above
});",https://github.com/jDataView/jBinary/wiki/The-Repo,N/A,N/A,N/A
