Code,Signature,Linked,Source File,Page
close(),close(),SeekableUnicodeStreamReader.close(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
discard_line(),discard_line(),SeekableUnicodeStreamReader.discard_line(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
next(),next(),SeekableUnicodeStreamReader.next(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
read(size=None),read(size=None),SeekableUnicodeStreamReader.read(size=None),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
readline(size=None),readline(size=None),SeekableUnicodeStreamReader.readline(size=None),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"readlines(sizehint=None, keepends=True)","readlines(sizehint=None, keepends=True)","SeekableUnicodeStreamReader.readlines(sizehint=None, keepends=True)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"seek(offset, whence=0)","seek(offset, whence=0)","SeekableUnicodeStreamReader.seek(offset, whence=0)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
tell(),tell(),SeekableUnicodeStreamReader.tell(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
xreadlines(),xreadlines(),SeekableUnicodeStreamReader.xreadlines(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
nltk.data.clear_cache(),nltk.data.clear_cache(),clear_cache(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"nltk.data.find(resource_name, paths=None)","nltk.data.find(resource_name, paths=None)","find(resource_name, paths=None)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"nltk.data.load(resource_url, format='auto', cache=True, verbose=False, logic_parser=None, fstruct_reader=None, encoding=None)","nltk.data.load(resource_url, format='auto', cache=True, verbose=False, logic_parser=None, fstruct_reader=None, encoding=None)","load(resource_url, format='auto', cache=True, verbose=False, logic_parser=None, fstruct_reader=None, encoding=None)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"nltk.data.retrieve(resource_url, filename=None, verbose=True)","nltk.data.retrieve(resource_url, filename=None, verbose=True)","retrieve(resource_url, filename=None, verbose=True)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"nltk.data.show_cfg(resource_url, escape='##')","nltk.data.show_cfg(resource_url, escape='##')","show_cfg(resource_url, escape='##')",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.downloader.Collection(id, children, name=None, **kw)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
static fromxml(xml),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.downloader.Downloader(server_index_url=None, download_dir=None)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
clear_status_cache(id=None),clear_status_cache(id=None),Downloader.clear_status_cache(id=None),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
collections(),collections(),Downloader.collections(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
corpora(),corpora(),Downloader.corpora(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
default_download_dir(),default_download_dir(),Downloader.default_download_dir(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"download(info_or_id=None, download_dir=None, quiet=False, force=False, prefix='[nltk_data] ', halt_on_error=True, raise_on_error=False, print_error_to=<_io.TextIOWrapper name='' mode='w' encoding='utf-8'>)","download(info_or_id=None, download_dir=None, quiet=False, force=False, prefix='[nltk_data] ', halt_on_error=True, raise_on_error=False, print_error_to=<_io.TextIOWrapper name='' mode='w' encoding='utf-8'>)","Downloader.download(info_or_id=None, download_dir=None, quiet=False, force=False, prefix='[nltk_data] ', halt_on_error=True, raise_on_error=False, print_error_to=<_io.TextIOWrapper name='' mode='w' encoding='utf-8'>)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"incr_download(info_or_id, download_dir=None, force=False)","incr_download(info_or_id, download_dir=None, force=False)","Downloader.incr_download(info_or_id, download_dir=None, force=False)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
index(),index(),Downloader.index(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
info(id),info(id),Downloader.info(id),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"is_installed(info_or_id, download_dir=None)","is_installed(info_or_id, download_dir=None)","Downloader.is_installed(info_or_id, download_dir=None)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"is_stale(info_or_id, download_dir=None)","is_stale(info_or_id, download_dir=None)","Downloader.is_stale(info_or_id, download_dir=None)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"list(download_dir=None, show_packages=True, show_collections=True, header=True, more_prompt=False, skip_installed=False)","list(download_dir=None, show_packages=True, show_collections=True, header=True, more_prompt=False, skip_installed=False)","Downloader.list(download_dir=None, show_packages=True, show_collections=True, header=True, more_prompt=False, skip_installed=False)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
models(),models(),Downloader.models(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
packages(),packages(),Downloader.packages(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"status(info_or_id, download_dir=None)","status(info_or_id, download_dir=None)","Downloader.status(info_or_id, download_dir=None)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"update(quiet=False, prefix='[nltk_data] ')","update(quiet=False, prefix='[nltk_data] ')","Downloader.update(quiet=False, prefix='[nltk_data] ')",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
xmlinfo(id),xmlinfo(id),Downloader.xmlinfo(id),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.downloader.DownloaderGUI(dataserver, use_threads=True)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
about(*e),about(*e),DownloaderGUI.about(*e),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
destroy(*e),destroy(*e),DownloaderGUI.destroy(*e),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
help(*e),help(*e),DownloaderGUI.help(*e),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"mainloop(*args, **kwargs)","mainloop(*args, **kwargs)","DownloaderGUI.mainloop(*args, **kwargs)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.downloader.DownloaderShell(dataserver),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
run(),run(),DownloaderShell.run(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.downloader.ErrorMessage(package, message)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.downloader.FinishCollectionMessage(collection),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.downloader.FinishDownloadMessage(package),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.downloader.FinishPackageMessage(package),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.downloader.FinishUnzipMessage(package),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.downloader.Package(id, url, name=None, subdir='', size=None, unzipped_size=None, checksum=None, svn_revision=None, copyright='Unknown', contact='Unknown', license='Unknown', author='Unknown', unzip=True, **kw)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
static fromxml(xml),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.downloader.ProgressMessage(progress),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.downloader.SelectDownloadDirMessage(download_dir),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.downloader.StaleMessage(package),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.downloader.StartCollectionMessage(collection),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.downloader.StartDownloadMessage(package),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.downloader.StartPackageMessage(package),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.downloader.StartUnzipMessage(package),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.downloader.UpToDateMessage(package),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"nltk.downloader.build_index(root, base_url)","nltk.downloader.build_index(root, base_url)","build_index(root, base_url)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"nltk.downloader.download(info_or_id=None, download_dir=None, quiet=False, force=False, prefix='[nltk_data] ', halt_on_error=True, raise_on_error=False, print_error_to=<_io.TextIOWrapper name='' mode='w' encoding='utf-8'>)","nltk.downloader.download(info_or_id=None, download_dir=None, quiet=False, force=False, prefix='[nltk_data] ', halt_on_error=True, raise_on_error=False, print_error_to=<_io.TextIOWrapper name='' mode='w' encoding='utf-8'>)","Downloader.download(info_or_id=None, download_dir=None, quiet=False, force=False, prefix='[nltk_data] ', halt_on_error=True, raise_on_error=False, print_error_to=<_io.TextIOWrapper name='' mode='w' encoding='utf-8'>)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
nltk.downloader.download_gui(),nltk.downloader.download_gui(),download_gui(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
nltk.downloader.download_shell(),nltk.downloader.download_shell(),download_shell(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
nltk.downloader.md5_hexdigest(file),nltk.downloader.md5_hexdigest(file),md5_hexdigest(file),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"nltk.downloader.unzip(filename, root, verbose=True)","nltk.downloader.unzip(filename, root, verbose=True)","unzip(filename, root, verbose=True)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
nltk.downloader.update(),nltk.downloader.update(),update(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.featstruct.FeatDict(features=None, **morefeatures)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
clear() → None.  Remove all items from D.,,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"get(name_or_path, default=None)","get(name_or_path, default=None)","FeatDict.get(name_or_path, default=None)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
has_key(name_or_path),has_key(name_or_path),FeatDict.has_key(name_or_path),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"pop(k[, d]) → v, remove specified key and return the corresponding value.",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"popitem(*args, **kwargs)","popitem(*args, **kwargs)","FeatDict.popitem(*args, **kwargs)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"setdefault(*args, **kwargs)","setdefault(*args, **kwargs)","FeatDict.setdefault(*args, **kwargs)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"update([E, ]**F) → None.  Update D from dict/iterable E and F.",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.featstruct.FeatList(features=None, **morefeatures)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"append(*args, **kwargs)","append(*args, **kwargs)","FeatList.append(*args, **kwargs)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"extend(*args, **kwargs)","extend(*args, **kwargs)","FeatList.extend(*args, **kwargs)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"insert(*args, **kwargs)","insert(*args, **kwargs)","FeatList.insert(*args, **kwargs)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"pop(*args, **kwargs)","pop(*args, **kwargs)","FeatList.pop(*args, **kwargs)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"remove(*args, **kwargs)","remove(*args, **kwargs)","FeatList.remove(*args, **kwargs)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"reverse(*args, **kwargs)","reverse(*args, **kwargs)","FeatList.reverse(*args, **kwargs)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"sort(*args, **kwargs)","sort(*args, **kwargs)","FeatList.sort(*args, **kwargs)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.featstruct.FeatStruct(features=None, **morefeatures)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
copy(deep=True),copy(deep=True),FeatStruct.copy(deep=True),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
cyclic(),cyclic(),FeatStruct.cyclic(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"equal_values(other, check_reentrance=False)","equal_values(other, check_reentrance=False)","FeatStruct.equal_values(other, check_reentrance=False)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
freeze(),freeze(),FeatStruct.freeze(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
frozen(),frozen(),FeatStruct.frozen(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
remove_variables(),remove_variables(),FeatStruct.remove_variables(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"rename_variables(vars=None, used_vars=(), new_vars=None)","rename_variables(vars=None, used_vars=(), new_vars=None)","FeatStruct.rename_variables(vars=None, used_vars=(), new_vars=None)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
retract_bindings(bindings),retract_bindings(bindings),FeatStruct.retract_bindings(bindings),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
substitute_bindings(bindings),substitute_bindings(bindings),FeatStruct.substitute_bindings(bindings),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
subsumes(other),subsumes(other),FeatStruct.subsumes(other),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"unify(other, bindings=None, trace=False, fail=None, rename_vars=True)","unify(other, bindings=None, trace=False, fail=None, rename_vars=True)","FeatStruct.unify(other, bindings=None, trace=False, fail=None, rename_vars=True)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
variables(),variables(),FeatStruct.variables(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
walk(),walk(),FeatStruct.walk(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.featstruct.FeatStructReader(features=(*slash*, *type*), fdict_class= 'nltk.featstruct.FeatStruct'>, flist_class= 'nltk.featstruct.FeatList'>, logic_parser=None)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"VALUE_HANDLERS = [('read_fstruct_value', re.compile('\\s*(?:\\((\\d+)\\)\\s*)?(\\??[\\w-]+)?(\\[)')), ('read_var_value', re.compile('\\?[a-zA-Z_][a-zA-Z0-9_]*')), ('read_str_value', re.compile('[uU]?[rR]?([\'""])')), ('read_int_value', re.compile('-?\\d+')), ('read_sym_value', re.compile('[a-zA-Z_][a-zA-Z0-9_]*')), ('read_app_value', re.compile('<(app)\\((\\?[a-z][a-z]*)\\s*,\\s*(\\?[a-z][a-z]*)\\)>')), ('read_logic_value', re.compile('<(.*?)(?')), ('read_set_value', re.compile('{')), ('read_tuple_value', re.compile('\\('))]",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"fromstring(s, fstruct=None)","fromstring(s, fstruct=None)","FeatStructReader.fromstring(s, fstruct=None)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"read_app_value(s, position, reentrances, match)","read_app_value(s, position, reentrances, match)","FeatStructReader.read_app_value(s, position, reentrances, match)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"read_fstruct_value(s, position, reentrances, match)","read_fstruct_value(s, position, reentrances, match)","FeatStructReader.read_fstruct_value(s, position, reentrances, match)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"read_int_value(s, position, reentrances, match)","read_int_value(s, position, reentrances, match)","FeatStructReader.read_int_value(s, position, reentrances, match)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"read_logic_value(s, position, reentrances, match)","read_logic_value(s, position, reentrances, match)","FeatStructReader.read_logic_value(s, position, reentrances, match)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"read_partial(s, position=0, reentrances=None, fstruct=None)","read_partial(s, position=0, reentrances=None, fstruct=None)","FeatStructReader.read_partial(s, position=0, reentrances=None, fstruct=None)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"read_set_value(s, position, reentrances, match)","read_set_value(s, position, reentrances, match)","FeatStructReader.read_set_value(s, position, reentrances, match)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"read_str_value(s, position, reentrances, match)","read_str_value(s, position, reentrances, match)","FeatStructReader.read_str_value(s, position, reentrances, match)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"read_sym_value(s, position, reentrances, match)","read_sym_value(s, position, reentrances, match)","FeatStructReader.read_sym_value(s, position, reentrances, match)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"read_tuple_value(s, position, reentrances, match)","read_tuple_value(s, position, reentrances, match)","FeatStructReader.read_tuple_value(s, position, reentrances, match)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"read_value(s, position, reentrances)","read_value(s, position, reentrances)","FeatStructReader.read_value(s, position, reentrances)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"read_var_value(s, position, reentrances, match)","read_var_value(s, position, reentrances, match)","FeatStructReader.read_var_value(s, position, reentrances, match)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.featstruct.Feature(name, default=None, display=None)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"read_value(s, position, reentrances, parser)","read_value(s, position, reentrances, parser)",,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"unify_base_values(fval1, fval2, bindings)","unify_base_values(fval1, fval2, bindings)",,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.featstruct.RangeFeature(name, default=None, display=None)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
RANGE_RE = re.compile('(-?\\d+):(-?\\d+)'),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"read_value(s, position, reentrances, parser)","read_value(s, position, reentrances, parser)",,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"unify_base_values(fval1, fval2, bindings)","unify_base_values(fval1, fval2, bindings)",,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.featstruct.SlashFeature(name, default=None, display=None)","class nltk.featstruct.SlashFeature(name, default=None, display=None)",,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"read_value(s, position, reentrances, parser)","read_value(s, position, reentrances, parser)",,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"nltk.featstruct.conflicts(fstruct1, fstruct2, trace=0)","nltk.featstruct.conflicts(fstruct1, fstruct2, trace=0)",,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"nltk.featstruct.subsumes(fstruct1, fstruct2)","nltk.featstruct.subsumes(fstruct1, fstruct2)",,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"nltk.featstruct.unify(fstruct1, fstruct2, bindings=None, trace=False, fail=None, rename_vars=True, fs_class='default')","nltk.featstruct.unify(fstruct1, fstruct2, bindings=None, trace=False, fail=None, rename_vars=True, fs_class='default')",,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.grammar.CFG(start, productions, calculate_leftcorners=True)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"classmethod binarize(grammar, padding='@$@')",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
check_coverage(tokens),check_coverage(tokens),,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"chomsky_normal_form(new_token_padding='@$@', flexible=False)","chomsky_normal_form(new_token_padding='@$@', flexible=False)",,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
classmethod eliminate_start(grammar),classmethod eliminate_start(grammar),,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"classmethod fromstring(input, encoding=None)","classmethod fromstring(input, encoding=None)",,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
is_binarised(),is_binarised(),,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
is_chomsky_normal_form(),is_chomsky_normal_form(),,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
is_flexible_chomsky_normal_form(),is_flexible_chomsky_normal_form(),,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"is_leftcorner(cat, left)","is_leftcorner(cat, left)",,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
is_lexical(),is_lexical(),,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
is_nonempty(),is_nonempty(),,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
is_nonlexical(),is_nonlexical(),,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
leftcorner_parents(cat),leftcorner_parents(cat),,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
leftcorners(cat),leftcorners(cat),,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
max_len(),max_len(),,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
min_len(),min_len(),,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"productions(lhs=None, rhs=None, empty=False)","productions(lhs=None, rhs=None, empty=False)",,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
classmethod remove_unitary_rules(grammar),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
start(),start(),,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.grammar.DependencyGrammar(productions),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"contains(head, mod)","contains(head, mod)",,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
classmethod fromstring(input),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
