Code,Signature,Linked,Source File,Page
"QUnit.test.only.each( name, dataset, callback )","QUnit.test.only.each( name, dataset, callback )","test.only.each(name, dataset, callback)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.each/
"QUnit.test.skip.each( name, dataset, callback )","QUnit.test.skip.each( name, dataset, callback )","test.skip.each(name, dataset, callback)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.each/
"QUnit.test.todo.each( name, dataset, callback )","QUnit.test.todo.each( name, dataset, callback )","test.todo.each(name, dataset, callback)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.each/
QUnit.test.each(),QUnit.test.each(),"test.each(testName, dataset, callback)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.each/
QUnit.test(),QUnit.test(),"test(testName, callback)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.each/
"function isEven (x) {
  return x % 2 === 0;
}

QUnit.test.each('isEven()', [2, 4, 6], (assert, data) => {
  assert.true(isEven(data), `${data} is even`);
});",,,,https://api.qunitjs.com//QUnit/test.each/
"function square (x) {
  return x * x;
}

QUnit.test.each('square()', [
  [2, 4],
  [3, 9]
], (assert, [value, expected]) => {
  assert.equal(square(value), expected, `${value} squared`);
});",,,,https://api.qunitjs.com//QUnit/test.each/
"QUnit.test.each('isEven()', {
  caseEven: [2, true],
  caseNotEven: [3, false]
}, (assert, [value, expected]) => {
  assert.strictEqual(isEven(value), expected);
});",,,,https://api.qunitjs.com//QUnit/test.each/
each(),each(),"test.each(testName, dataset, callback)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.each/
"function isEven (x) {
  return x % 2 === 0;
}

async function isAsyncEven (x) {
  return isEven(x);
}

QUnit.test.each('isAsyncEven()', [2, 4], async (assert, data) => {
  assert.true(await isAsyncEven(data), `${data} is even`);
});",,,,https://api.qunitjs.com//QUnit/test.each/
"function isEven (x) {
  return x % 2 === 0;
}

function isAsyncEven (x) {
  return Promise.resolve(isEven(x));
}

QUnit.test.each('isAsyncEven()', [2, 4], function (assert, data) {
  return isAsyncEven(data).then(function (result) {
    assert.true(result, data + ' is even');
  });
});",,,,https://api.qunitjs.com//QUnit/test.each/
"QUnit.test.only( name, callback )","QUnit.test.only( name, callback )","test.only(testName, callback)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.only/
"QUnit.only( name, callback )","QUnit.only( name, callback )","test.only(testName, callback)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.only/
QUnit.module.only(),QUnit.module.only(),module.only(...args),qunit/src/module.js,https://api.qunitjs.com//QUnit/test.only/
QUnit.only(),QUnit.only(),module.only(...args),qunit/src/module.js,https://api.qunitjs.com//QUnit/test.only/
QUnit.test.only(),QUnit.test.only(),"test.only(testName, callback)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.only/
QUnit.only(),QUnit.only(),module.only(...args),qunit/src/module.js,https://api.qunitjs.com//QUnit/test.only/
"QUnit.module('robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  QUnit.test('say()', assert => {
    assert.true(robot.say('Hello'));
  });

  // Run only this test
  // For example, you are working on changing this method.
  QUnit.test.only('laser()', assert => {
    assert.true(robot.laser());
  });

  QUnit.test('take()', assert => {
    assert.true(robot.take(5));
  });
});",,,,https://api.qunitjs.com//QUnit/test.only/
"QUnit.test.skip( name, callback )","QUnit.test.skip( name, callback )","test.skip.each(name, dataset, callback)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.skip/
"QUnit.skip( name, callback )","QUnit.skip( name, callback )","module.skip(name, options, executeNow)",qunit/src/module.js,https://api.qunitjs.com//QUnit/test.skip/
QUnit.test(),QUnit.test(),"test.skip.each(name, dataset, callback)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.skip/
QUnit.module.skip(),QUnit.module.skip(),"module.skip(name, options, executeNow)",qunit/src/module.js,https://api.qunitjs.com//QUnit/test.skip/
QUnit.skip(),QUnit.skip(),"module.skip(name, options, executeNow)",qunit/src/module.js,https://api.qunitjs.com//QUnit/test.skip/
QUnit.test.skip(),QUnit.test.skip(),"test.skip.each(name, dataset, callback)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.skip/
QUnit.skip(),QUnit.skip(),"module.skip(name, options, executeNow)",qunit/src/module.js,https://api.qunitjs.com//QUnit/test.skip/
"QUnit.module('robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  QUnit.test('say', assert => {
    assert.strictEqual(robot.say(), 'Exterminate!');
  });

  // Robot does not yet have a laser() method yet, skip this test for now
  QUnit.test.skip('laser', assert => {
    assert.true(robot.laser());
  });
});",,,,https://api.qunitjs.com//QUnit/test.skip/
"QUnit.test.todo( name, callback )","QUnit.test.todo( name, callback )","test.todo(testName, callback)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.todo/
"QUnit.todo( name, callback )","QUnit.todo( name, callback )","module.todo(name, options, executeNow)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.todo/
QUnit.test.todo(),QUnit.test.todo(),"test.todo(testName, callback)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.todo/
QUnit.test(),QUnit.test(),"test.todo(testName, callback)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.todo/
QUnit.module.todo(),QUnit.module.todo(),"module.todo(name, options, executeNow)",qunit/src/module.js,https://api.qunitjs.com//QUnit/test.todo/
QUnit.todo(),QUnit.todo(),"module.todo(name, options, executeNow)",qunit/src/module.js,https://api.qunitjs.com//QUnit/test.todo/
QUnit.test.todo(),QUnit.test.todo(),"test.todo(testName, callback)",qunit/src/test.js,https://api.qunitjs.com//QUnit/test.todo/
QUnit.todo(),QUnit.todo(),"module.todo(name, options, executeNow)",qunit/src/module.js,https://api.qunitjs.com//QUnit/test.todo/
"QUnit.module('Robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  // Robot is not yet finished, expect this is a todo test
  QUnit.test.todo('fireLazer', assert => {
    const result = robot.fireLazer();
    assert.equal(result, ""I'm firing my lazer!"");
  });
});",,,,https://api.qunitjs.com//QUnit/test.todo/
"// Implicit global
// Supported everywhere, including old browsers. (But not ES strict mode.)
QUnit = {
  config: {
    autostart: false,
    maxDepth: 12
  }
};

// Browser global
// For all browsers (including strict mode and old browsers)
window.QUnit = { /* .. */ };

// Isomorphic global
// For modern browsers, SpiderMonkey, and Node.js (incl. strict mode).
globalThis.QUnit = { /* .. */ };",,,,https://api.qunitjs.com//config/
