Paragraph,Ground Truth link,Program link,Has Tasks,Partial ratio
To install a wheel from PyPI:,"pip install --upgrade ""pip>=20.3"" # manylinux_x_y, universal2 wheel support
pip install --upgrade orjson","pip install --upgrade ""pip>=20.3"" # manylinux_x_y, universal2 wheel support
pip install --upgrade orjson",TRUE,100
"This is an example of serializing, with options specified, and deserializing:",">>> import orjson, datetime, numpy
>>> data = {
    ""type"": ""job"",
    ""created_at"": datetime.datetime(1970, 1, 1),
    ""status"": ""🆗"",
    ""payload"": numpy.array([[1, 2], [3, 4]]),
}
>>> orjson.dumps(data, option=orjson.opt_naive_utc | orjson.opt_serialize_numpy)
b'{""type"":""job"",""created_at"":""1970-01-01t00:00:00+00:00"",""status"":""\xf0\x9f\x86\x97"",""payload"":[[1,2],[3,4]]}'
>>> orjson.loads(_)
{'type': 'job', 'created_at': '1970-01-01t00:00:00+00:00', 'status': '🆗', 'payload': [[1, 2], [3, 4]]}",">>> import orjson, datetime, numpy
>>> data = {
    ""type"": ""job"",
    ""created_at"": datetime.datetime(1970, 1, 1),
    ""status"": ""🆗"",
    ""payload"": numpy.array([[1, 2], [3, 4]]),
"Passthrough datetime.datetime, datetime.date, and datetime.time instances to default. This allows serializing datetimes to a custom format, e.g., HTTP dates:",">>> import orjson, datetime
>>>
def default(obj):
    if isinstance(obj, datetime.datetime):
        return obj.strftime(""%a, %d %b %y %h:%m:%s gmt"")
    raise typeerror

>>> orjson.dumps({""created_at"": datetime.datetime(1970, 1, 1)})
b'{""created_at"":""1970-01-01t00:00:00""}'
>>> orjson.dumps({""created_at"": datetime.datetime(1970, 1, 1)}, option=orjson.opt_passthrough_datetime)
typeerror: type is not json serializable: datetime.datetime
>>> orjson.dumps(
        {""created_at"": datetime.datetime(1970, 1, 1)},
        option=orjson.opt_passthrough_datetime,
        default=default,
    )
b'{""created_at"":""thu, 01 jan 1970 00:00:00 gmt""}'
",">>> import orjson, datetime
>>>
def default(obj):
    if isinstance(obj, datetime.datetime):
        return obj.strftime(""%a, %d %b %y %h:%m:%s gmt"")
    raise typeerror

>>> orjson.dumps({""created_at"": datetime.datetime(1970, 1, 1)})
b'{""created_at"":""1970-01-01t00:00:00""}'
>>> orjson.dumps({""created_at"": datetime.datetime(1970, 1, 1)}, option=orjson.opt_passthrough_datetime)
typeerror: type is not json serializable: datetime.datetime
>>> orjson.dumps(
        {""created_at"": datetime.datetime(1970, 1, 1)},
        option=orjson.opt_passthrough_datetime,
        default=default,
    )
b'{""created_at"":""thu, 01 jan 1970 00:00:00 gmt""}'",TRUE,100
Serialize dict keys in sorted order. The default is to serialize in an unspecified order. This is equivalent to sort_keys=True in the standard library.,">>> import orjson
>>> orjson.dumps({""b"": 1, ""c"": 2, ""a"": 3})
b'{""b"":1,""c"":2,""a"":3}'
>>> orjson.dumps({""b"": 1, ""c"": 2, ""a"": 3}, option=orjson.opt_sort_keys)
b'{""a"":3,""b"":1,""c"":2}'
",">>> import orjson
>>> orjson.dumps({""b"": 1, ""c"": 2, ""a"": 3})
b'{""b"":1,""c"":2,""a"":3}'
>>> orjson.dumps({""b"": 1, ""c"": 2, ""a"": 3}, option=orjson.opt_sort_keys)
b'{""a"":3,""b"":1,""c"":2}'",TRUE,100
Serialize a UTC timezone on datetime.datetime instances as Z instead of +00:00.,">>> import orjson, datetime
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0, tzinfo=datetime.timezone.utc),
    )
b'""1970-01-01t00:00:00+00:00""'
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0, tzinfo=datetime.timezone.utc),
        option=orjson.opt_utc_z
    )
b'""1970-01-01t00:00:00z""'",">>> import orjson, datetime
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0, tzinfo=datetime.timezone.utc),
    )
b'""1970-01-01t00:00:00+00:00""'
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0, tzinfo=datetime.timezone.utc),
        option=orjson.opt_utc_z
    )
b'""1970-01-01t00:00:00z""'",TRUE,100
"Dataclasses are serialized as maps, with every attribute serialized and in the order given on class definition:",">>> import dataclasses, orjson, typing

@dataclasses.dataclass
class member:
    id: int
    active: bool = dataclasses.field(default=false)

@dataclasses.dataclass
class object:
    id: int
    name: str
    members: typing.list[member]

>>> orjson.dumps(object(1, ""a"", [member(1, true), member(2)]))
b'{""id"":1,""name"":""a"",""members"":[{""id"":1,""active"":true},{""id"":2,""active"":false}]}'
",">>> import dataclasses, orjson, typing

@dataclasses.dataclass
class member:
    id: int
    active: bool = dataclasses.field(default=false)

@dataclasses.dataclass
class object:
    id: int
    name: str
    members: typing.list[member]

>>> orjson.dumps(object(1, ""a"", [member(1, true), member(2)]))
b'{""id"":1,""name"":""a"",""members"":[{""id"":1,""active"":true},{""id"":2,""active"":false}]}'",TRUE,100
"orjson serializes datetime.datetime objects to RFC 3339 format, e.g., ""1970-01-01T00:00:00+00:00"". This is a subset of ISO 8601 and compatible with isoformat() in the standard library.",">>> import orjson, datetime, zoneinfo
>>> orjson.dumps(
    datetime.datetime(2018, 12, 1, 2, 3, 4, 9, tzinfo=zoneinfo.zoneinfo('australia/adelaide'))
)
b'""2018-12-01t02:03:04.000009+10:30""'
>>> orjson.dumps(
    datetime.datetime.fromtimestamp(4123518902).replace(tzinfo=datetime.timezone.utc)
)
b'""2100-09-01t21:55:02+00:00""'
>>> orjson.dumps(
    datetime.datetime.fromtimestamp(4123518902)
)
b'""2100-09-01t21:55:02""'",">>> import orjson, datetime, zoneinfo
>>> orjson.dumps(
    datetime.datetime(2018, 12, 1, 2, 3, 4, 9, tzinfo=zoneinfo.zoneinfo('australia/adelaide'))
)
b'""2018-12-01t02:03:04.000009+10:30""'
>>> orjson.dumps(
    datetime.datetime.fromtimestamp(4123518902).replace(tzinfo=datetime.timezone.utc)
)
b'""2100-09-01t21:55:02+00:00""'
>>> orjson.dumps(
    datetime.datetime.fromtimestamp(4123518902)
)
b'""2100-09-01t21:55:02""'",TRUE,100
Enums with members that are not supported types can be serialized using default:,">>> import enum, orjson
>>>
class custom:
    def __init__(self, val):
        self.val = val

def default(obj):
    if isinstance(obj, custom):
        return obj.val
    raise typeerror

class customenum(enum.enum):
    one = custom(1)

>>> orjson.dumps(customenum.one, default=default)
b'1'",">>> import enum, orjson
>>>
class custom:
    def __init__(self, val):
        self.val = val

def default(obj):
    if isinstance(obj, custom):
        return obj.val
    raise typeerror

class customenum(enum.enum):
    one = custom(1)

>>> orjson.dumps(customenum.one, default=default)
b'1'",TRUE,100
"orjson serializes and deserializes 64-bit integers by default. The range supported is a signed 64-bit integer's minimum (-9223372036854775807) to an unsigned 64-bit integer's maximum (18446744073709551615). This is widely compatible, but there are implementations that only support 53-bits for integers, e.g., web browsers. For those implementations, dumps() can be configured to raise a JSONEncodeError on values exceeding the 53-bit range.",">>> import orjson
>>> orjson.dumps(9007199254740992)
b'9007199254740992'
>>> orjson.dumps(9007199254740992, option=orjson.opt_strict_integer)
jsonencodeerror: integer exceeds 53-bit range
>>> orjson.dumps(-9007199254740992, option=orjson.opt_strict_integer)
jsonencodeerror: integer exceeds 53-bit range",">>> import orjson
>>> orjson.dumps(9007199254740992)
b'9007199254740992'
>>> orjson.dumps(9007199254740992, option=orjson.opt_strict_integer)
jsonencodeerror: integer exceeds 53-bit range
>>> orjson.dumps(-9007199254740992, option=orjson.opt_strict_integer)
jsonencodeerror: integer exceeds 53-bit range",TRUE,100
orjson is faster than all compared libraries at serializing numpy instances. Serializing numpy data requires specifying option=orjson.OPT_SERIALIZE_NUMPY.,">>> import orjson, numpy
>>> orjson.dumps(
        numpy.array([[1, 2, 3], [4, 5, 6]]),
        option=orjson.opt_serialize_numpy,
)
b'[[1,2,3],[4,5,6]]'",">>> import orjson, numpy
>>> orjson.dumps(
        numpy.array([[1, 2, 3], [4, 5, 6]]),
        option=orjson.opt_serialize_numpy,
)
b'[[1,2,3],[4,5,6]]'",TRUE,100
numpy.datetime64 instances are serialized as RFC 3339 strings and datetime options affect them.,">>> import orjson, numpy
>>> orjson.dumps(
        numpy.datetime64(""2021-01-01t00:00:00.172""),
        option=orjson.opt_serialize_numpy,
)
b'""2021-01-01t00:00:00.172000""'
>>> orjson.dumps(
        numpy.datetime64(""2021-01-01t00:00:00.172""),
        option=(
            orjson.opt_serialize_numpy |
            orjson.opt_naive_utc |
            orjson.opt_omit_microseconds
        ),
)
b'""2021-01-01t00:00:00+00:00""'",">>> import orjson, numpy
>>> orjson.dumps(
        numpy.datetime64(""2021-01-01t00:00:00.172""),
        option=orjson.opt_serialize_numpy,
)
b'""2021-01-01t00:00:00.172000""'
>>> orjson.dumps(
        numpy.datetime64(""2021-01-01t00:00:00.172""),
        option=(
            orjson.opt_serialize_numpy |
            orjson.opt_naive_utc |
            orjson.opt_omit_microseconds
        ),
)
b'""2021-01-01t00:00:00+00:00""'",TRUE,100
"To make a best effort at deserializing bad input, first decode bytes using the replace or lossy argument for errors:",">>> import orjson
>>> orjson.loads(b'""\xed\xa0\x80""')
jsondecodeerror: str is not valid utf-8: surrogates not allowed
>>> orjson.loads(b'""\xed\xa0\x80""'.decode(""utf-8"", ""replace""))
'���'",">>> import orjson
>>> orjson.loads(b'""\xed\xa0\x80""')
jsondecodeerror: str is not valid utf-8: surrogates not allowed
>>> orjson.loads(b'""\xed\xa0\x80""'.decode(""utf-8"", ""replace""))
'���'",TRUE,100
"orjson serializes uuid.UUID instances to RFC 4122 format, e.g., ""f81d4fae-7dec-11d0-a765-00a0c91e6bf6"".",">>> import orjson, uuid
>>> orjson.dumps(uuid.uuid('f81d4fae-7dec-11d0-a765-00a0c91e6bf6'))
b'""f81d4fae-7dec-11d0-a765-00a0c91e6bf6""'
>>> orjson.dumps(uuid.uuid5(uuid.namespace_dns, ""python.org""))
b'""886313e1-3b8a-5372-9b90-0c9aee199e5d""'",">>> import orjson, uuid
>>> orjson.dumps(uuid.uuid('f81d4fae-7dec-11d0-a765-00a0c91e6bf6'))
b'""f81d4fae-7dec-11d0-a765-00a0c91e6bf6""'
>>> orjson.dumps(uuid.uuid5(uuid.namespace_dns, ""python.org""))
b'""886313e1-3b8a-5372-9b90-0c9aee199e5d""'",TRUE,100
dumps() serializes Python objects to JSON.,"def dumps(
    __obj: any,
    default: optional[callable[[any], any]] = ...,
    option: optional[int] = ...,
) -> bytes: ...",,TRUE
"Append \n to the output. This is a convenience and optimization for the pattern of dumps(...) + ""\n"". bytes objects are immutable and this pattern copies the original contents.",">>> import orjson
>>> orjson.dumps([])
b""[]""
>>> orjson.dumps([], option=orjson.opt_append_newline)
b""[]\n",,FALSE
Pretty-print output with an indent of two spaces. This is equivalent to indent=2 in the standard library. Pretty printing is slower and the output larger. orjson is the fastest compared library at pretty printing and has much less of a slowdown to pretty print than the standard library does. This option is compatible with all other options.,">>> import orjson
>>> orjson.dumps({""a"": ""b"", ""c"": {""d"": true}, ""e"": [1, 2]})
b'{""a"":""b"",""c"":{""d"":true},""e"":[1,2]}'
>>> orjson.dumps(
    {""a"": ""b"", ""c"": {""d"": true}, ""e"": [1, 2]},
    option=orjson.opt_indent_2
)
b'{\n  ""a"": ""b"",\n  ""c"": {\n    ""d"": true\n  },\n  ""e"": [\n    1,\n    2\n  ]\n}'",,FALSE
"If displayed, the indentation and linebreaks appear like this:","{
  ""a"": ""b"",
  ""c"": {
    ""d"": true
  },
  ""e"": [
    1,
    2
  ]
}",,FALSE
"This option is compatible with orjson.OPT_SORT_KEYS. If sorting is used, note the sort is unstable and will be unpredictable for duplicate keys",">>> import orjson, datetime
>>> orjson.dumps(
    {""other"": 1, datetime.date(1970, 1, 5): 2, datetime.date(1970, 1, 3): 3},
    option=orjson.opt_non_str_keys | orjson.opt_sort_keys
)
b'{""1970-01-03"":3,""1970-01-05"":2,""other"":1}'",,FALSE
Do not serialize the microsecond field on datetime.datetime and datetime.time instances.,">>> import orjson, datetime
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0, 1),
    )
b'""1970-01-01t00:00:00.000001""'
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0, 1),
        option=orjson.opt_omit_microseconds,
    )
b'""1970-01-01t00:00:00""'",,FALSE
Passthrough subclasses of builtin types to default.,">>> import orjson
>>>
class secret(str):
    pass

def default(obj):
    if isinstance(obj, secret):
        return ""******""
    raise typeerror

>>> orjson.dumps(secret(""zxc""))
b'""zxc""'
>>> orjson.dumps(secret(""zxc""), option=orjson.opt_passthrough_subclass)
typeerror: type is not json serializable: secret
>>> orjson.dumps(secret(""zxc""), option=orjson.opt_passthrough_subclass, default=default)
b'""******""'",,FALSE
The sorting is not collation/locale-aware:,">>> import orjson
>>> orjson.dumps({""a"": 1, ""ä"": 2, ""a"": 3}, option=orjson.opt_sort_keys)
b'{""a"":3,""a"":1,""\xc3\xa4"":2}'",,FALSE
"loads() deserializes JSON to Python objects. It deserializes to dict, list, int, float, str, bool, and None objects.","def loads(__obj: union[bytes, bytearray, memoryview, str]) -> any: ...",,TRUE
datetime.time objects must not have a tzinfo.,">>> import orjson, datetime
>>> orjson.dumps(datetime.time(12, 0, 15, 290))
b'""12:00:15.000290""'",,FALSE
datetime.date objects will always serialize.,">>> import orjson, datetime
>>> orjson.dumps(datetime.date(1900, 1, 2))
b'""1900-01-02""'",,FALSE
orjson serializes enums natively. Options apply to their values.,">>> import enum, datetime, orjson
>>>
class datetimeenum(enum.enum):
    epoch = datetime.datetime(1970, 1, 1, 0, 0, 0)
>>> orjson.dumps(datetimeenum.epoch)
b'""1970-01-01t00:00:00""'
>>> orjson.dumps(datetimeenum.epoch, option=orjson.opt_naive_utc)
b'""1970-01-01t00:00:00+00:00""'",,FALSE
"orjson.dumps() serializes Nan, Infinity, and -Infinity, which are not compliant JSON, as null:",">>> import orjson, ujson, rapidjson, json
>>> orjson.dumps([float(""nan""), float(""infinity""), float(""-infinity"")])
b'[null,null,null]'
>>> ujson.dumps([float(""nan""), float(""infinity""), float(""-infinity"")])
overflowerror: invalid inf value when encoding double
>>> rapidjson.dumps([float(""nan""), float(""infinity""), float(""-infinity"")])
'[nan,infinity,-infinity]'
>>> json.dumps([float(""nan""), float(""infinity""), float(""-infinity"")])
'[nan, infinity, -infinity]'",,FALSE
orjson and rapidjson are the only compared JSON libraries to consistently error on bad input.,">>> import orjson, ujson, rapidjson, json
>>> orjson.dumps('\ud800')
jsonencodeerror: str is not valid utf-8: surrogates not allowed
>>> ujson.dumps('\ud800')
unicodeencodeerror: 'utf-8' codec ...
>>> rapidjson.dumps('\ud800')
unicodeencodeerror: 'utf-8' codec ...
>>> json.dumps('\ud800')
'""\\ud800""'
>>> orjson.loads('""\\ud800""')
jsondecodeerror: unexpected end of hex escape at line 1 column 8: line 1 column 1 (char 0)
>>> ujson.loads('""\\ud800""')
''
>>> rapidjson.loads('""\\ud800""')
valueerror: parse error at offset 1: the surrogate pair in string is invalid.
>>> json.loads('""\\ud800""')
'\ud800'",,FALSE
This is an example for x86_64 on the Rust nightly channel:,"export rustflags=""-c target-cpu=k8""
maturin build --no-sdist --release --strip --cargo-extra-args=""--features=unstable-simd",,FALSE
Paragraph,,example,Page
"This option has the risk of creating duplicate keys. This is because non-str
objects may serialize to the same str as an existing key, e.g.,
{""1"": true, 1: false}. The last key to be inserted to the dict will be
serialized last and a JSON deserializer will presumably take the last
occurrence of a key (in the above, false). The first value will be lost.",,">>> import orjson, datetime
>>> orjson.dumps(
    {""other"": 1, datetime.date(1970, 1, 5): 2, datetime.date(1970, 1, 3): 3},
    option=orjson.opt_non_str_keys | orjson.opt_sort_keys
)
b'{""1970-01-03"":3,""1970-01-05"":2,""other"":1}'",http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
The benchmark can be reproduced using the pysort script.,,">>> import orjson
>>> orjson.dumps({""a"": 1, ""ä"": 2, ""a"": 3}, option=orjson.opt_sort_keys)
b'{""a"":3,""a"":1,""\xc3\xa4"":2}'",http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
"datetime.datetime supports instances with a tzinfo that is None,
datetime.timezone.utc, a timezone instance from the python3.9+ zoneinfo
module, or a timezone instance from the third-party pendulum, pytz, or
dateutil/arrow libraries.",,">>> import orjson, datetime
>>> orjson.dumps(datetime.time(12, 0, 15, 290))
b'""12:00:15.000290""'",http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
"datetime.datetime supports instances with a tzinfo that is None,
datetime.timezone.utc, a timezone instance from the python3.9+ zoneinfo
module, or a timezone instance from the third-party pendulum, pytz, or
dateutil/arrow libraries.",,">>> import orjson, datetime
>>> orjson.dumps(datetime.date(1900, 1, 2))
b'""1900-01-02""'",http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
"orjson serializes and deserializes double precision floats with no loss of
precision and consistent rounding. The same behavior is observed in rapidjson,
simplejson, and json. ujson 1.35 was inaccurate in both serialization and
deserialization, i.e., it modifies the data, and the recent 2.0 release is
accurate.",,">>> import orjson, ujson, rapidjson, json
>>> orjson.dumps([float(""nan""), float(""infinity""), float(""-infinity"")])
b'[null,null,null]'
>>> ujson.dumps([float(""nan""), float(""infinity""), float(""-infinity"")])
overflowerror: invalid inf value when encoding double
>>> rapidjson.dumps([float(""nan""), float(""infinity""), float(""-infinity"")])
'[nan,infinity,-infinity]'
>>> json.dumps([float(""nan""), float(""infinity""), float(""-infinity"")])
'[nan, infinity, -infinity]'",http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
"If orjson.dumps() is given a str that does not contain valid UTF-8,
orjson.JSONEncodeError is raised. If loads() receives invalid UTF-8,
orjson.JSONDecodeError is raised.",,">>> import orjson, ujson, rapidjson, json
>>> orjson.dumps('\ud800')
jsonencodeerror: str is not valid utf-8: surrogates not allowed
>>> ujson.dumps('\ud800')
unicodeencodeerror: 'utf-8' codec ...
>>> rapidjson.dumps('\ud800')
unicodeencodeerror: 'utf-8' codec ...
>>> json.dumps('\ud800')
'""\\ud800""'
>>> orjson.loads('""\\ud800""')
jsondecodeerror: unexpected end of hex escape at line 1 column 8: line 1 column 1 (char 0)
>>> ujson.loads('""\\ud800""')
''
>>> rapidjson.loads('""\\ud800""')
valueerror: parse error at offset 1: the surrogate pair in string is invalid.
>>> json.loads('""\\ud800""')
'\ud800'",http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
