Example,Signature,Extracted,Linked
"cert_verify(conn, url, verify, cert)","['cert_verify(conn, url, verify, cert)', 'cert_verify(conn, url, verify, cert)']","[('HTTPAdapter.cert_verify', ['cert', 'verify', 'url', 'conn'])]","[('HTTPAdapter.cert_verify', ['cert', 'verify', 'url', 'conn']), ('HTTPAdapter.cert_verify', ['cert', 'verify', 'url', 'conn'])]"
"get_connection(url, proxies=None)","['get_connection(url, proxies=None)', 'get_connection(url, proxies=None)']","[('HTTPAdapter.get_connection', ['url', 'proxies'])]",[]
"init_poolmanager(connections, maxsize, block=False, **pool_kwargs)","['init_poolmanager(connections, maxsize, block=False, **pool_kwargs)', 'init_poolmanager(connections, maxsize, block=False, **pool_kwargs)']","[('HTTPAdapter.init_poolmanager', ['maxsize', 'connections', 'block', 'pool_kwargs'])]",[]
proxy_headers(proxy),"['proxy_headers(proxy)', 'proxy_headers(proxy)']","[('HTTPAdapter.proxy_headers', ['proxy'])]","[('HTTPAdapter.proxy_headers', ['proxy']), ('HTTPAdapter.proxy_headers', ['proxy'])]"
"proxy_manager_for(proxy, **proxy_kwargs)","['proxy_manager_for(proxy, **proxy_kwargs)', 'proxy_manager_for(proxy, **proxy_kwargs)']","[('HTTPAdapter.proxy_manager_for', ['proxy', 'proxy_kwargs'])]",[]
"request_url(request, proxies)","['request_url(request, proxies)', 'request_url(request, proxies)']","[('HTTPAdapter.request_url', ['proxies', 'request'])]","[('HTTPAdapter.request_url', ['proxies', 'request']), ('HTTPAdapter.request_url', ['proxies', 'request'])]"
"class requests.auth.HTTPBasicAuth(username, password)","['', '']","[('HTTPBasicAuth.__init__', ['password', 'username'])]",[]
"class requests.auth.HTTPProxyAuth(username, password)","['', '']","[(('requests.auth.HTTPProxyAuth', ['username', 'password']), ['HTTPProxyAuth.__init__'])]",[]
"class requests.auth.HTTPDigestAuth(username, password)","['', '']","[('HTTPDigestAuth.__init__', ['password', 'username'])]",[]
requests.utils.get_encodings_from_content(content),"['requests.utils.get_encodings_from_content(content)', 'requests.utils.get_encodings_from_content(content)']","[('requests.get_encodings_from_content', ['content'])]",[]
requests.utils.get_encoding_from_headers(headers),"['requests.utils.get_encoding_from_headers(headers)', 'requests.utils.get_encoding_from_headers(headers)']","[('requests.get_encoding_from_headers', ['headers'])]",[]
requests.utils.get_unicode_from_response(r),"['requests.utils.get_unicode_from_response(r)', 'requests.utils.get_unicode_from_response(r)']","[('requests.get_unicode_from_response', ['r'])]",[]
requests.utils.dict_from_cookiejar(cj),"['requests.utils.dict_from_cookiejar(cj)', 'requests.utils.dict_from_cookiejar(cj)']","[('requests.dict_from_cookiejar', ['cj'])]",[]
"requests.utils.add_dict_to_cookiejar(cj, cookie_dict)","['requests.utils.add_dict_to_cookiejar(cj, cookie_dict)', 'requests.utils.add_dict_to_cookiejar(cj, cookie_dict)']","[('requests.add_dict_to_cookiejar', ['cookie_dict', 'cj'])]",[]
"requests.cookies.cookiejar_from_dict(cookie_dict, cookiejar=None, overwrite=True)","['requests.cookies.cookiejar_from_dict(cookie_dict, cookiejar=None, overwrite=True)', 'requests.cookies.cookiejar_from_dict(cookie_dict, cookiejar=None, overwrite=True)']","[('requests.cookiejar_from_dict', ['cookie_dict', 'overwrite', 'cookiejar'])]",[]
class requests.cookies.RequestsCookieJar(policy=None),"['', '']","[(('requests.cookies.RequestsCookieJar', ['policy']), ['RequestsCookieJar.__init__'])]",[]
add_cookie_header(request),"['add_cookie_header(request)', 'add_cookie_header(request)']","[(('add_cookie_header', ['request']), ['N/A'])]",[]
"clear(domain=None, path=None, name=None)","['clear(domain=None, path=None, name=None)', 'clear(domain=None, path=None, name=None)']","[(('clear', ['domain', 'path', 'name']), ['N/A'])]",[]
clear_expired_cookies(),"['clear_expired_cookies()', 'clear_expired_cookies()']","[((None, []), ['N/A'])]",[]
clear_session_cookies(),"['clear_session_cookies()', 'clear_session_cookies()']","[((None, []), ['N/A'])]",[]
copy(),"['copy()', 'copy()']","[((None, []), ['N/A'])]",[]
"extract_cookies(response, request)","['extract_cookies(response, request)', 'extract_cookies(response, request)']","[(('extract_cookies', ['response', 'request']), ['N/A'])]",[]
"get(name, default=None, domain=None, path=None)","['get(name, default=None, domain=None, path=None)', 'get(name, default=None, domain=None, path=None)']","[('RequestsCookieJar.get', ['name', 'path', 'domain', 'default'])]",[]
"get_dict(domain=None, path=None)","['get_dict(domain=None, path=None)', 'get_dict(domain=None, path=None)']","[('RequestsCookieJar.get_dict', ['path', 'domain'])]",[]
get_policy(),"['get_policy()', 'get_policy()']","[((None, []), ['N/A'])]",[]
items(),"['items()', 'items()']","[((None, []), ['N/A'])]",[]
iteritems(),"['iteritems()', 'iteritems()']","[((None, []), ['N/A'])]",[]
iterkeys(),"['iterkeys()', 'iterkeys()']","[((None, []), ['N/A'])]",[]
itervalues(),"['itervalues()', 'itervalues()']","[((None, []), ['N/A'])]",[]
keys(),"['keys()', 'keys()']","[((None, []), ['N/A'])]",[]
list_domains(),"['list_domains()', 'list_domains()']","[((None, []), ['N/A'])]",[]
list_paths(),"['list_paths()', 'list_paths()']","[((None, []), ['N/A'])]",[]
"make_cookies(response, request)","['make_cookies(response, request)', 'make_cookies(response, request)']","[(('make_cookies', ['response', 'request']), ['N/A'])]",[]
multiple_domains(),"['multiple_domains()', 'multiple_domains()']","[((None, []), ['N/A'])]",[]
"pop(k[, d]) → v, remove specified key and return the corresponding value.","['', '']","[((None, []), ['N/A'])]",[]
"popitem() → (k, v), remove and return some (key, value) pair","['', '']","[((None, []), ['N/A'])]",[]
"set(name, value, **kwargs)","['set(name, value, **kwargs)', 'set(name, value, **kwargs)']","[('RequestsCookieJar.set', ['value', 'name', 'kwargs'])]",[]
"set_cookie(cookie, *args, **kwargs)","['set_cookie(cookie, *args, **kwargs)', 'set_cookie(cookie, *args, **kwargs)']","[(('set_cookie', ['cookie', 'args', 'kwargs']), ['N/A'])]",[]
"set_cookie_if_ok(cookie, request)","['set_cookie_if_ok(cookie, request)', 'set_cookie_if_ok(cookie, request)']","[(('set_cookie_if_ok', ['cookie', 'request']), ['N/A'])]",[]
"setdefault(k[, d]) → D.get(k,d), also set D[k]=d if k not in D","['', '']","[((None, []), ['N/A'])]",[]
update(other),"['update(other)', 'update(other)']","[('RequestsCookieJar.update', ['other'])]","[('RequestsCookieJar.update', ['other']), ('RequestsCookieJar.update', ['other'])]"
values(),"['values()', 'values()']","[((None, []), ['N/A'])]",[]
with_traceback(),"['with_traceback()', 'with_traceback()']","[((None, []), ['N/A'])]",[]
"('filename', fileobj)","['', '']","[((None, []), ['N/A'])]",[]
"('filename', fileobj, 'content_type')","['', '']","[((None, []), ['N/A'])]",[]
"('filename', fileobj, 'content_type', custom_headers)","['', '']","[((None, []), ['N/A'])]",[]
"[(key, value)]","['', '']","[((None, []), ['N/A'])]",[]
dict(RequestsCookieJar),"['dict(RequestsCookieJar)', 'dict(RequestsCookieJar)']","[(('dict', ['RequestsCookieJar']), ['N/A'])]",[]
