Example,Signature,Extracted,Linked
generate(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
abstract max(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
abstract prob(sample),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""[('ProbDistI.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('UniformProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('RandomProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('DictionaryProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('MLEProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('LidstoneProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('HeldoutProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('CrossValidationProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('WittenBellProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('SimpleGoodTuringProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('MutableProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []})]"", ""[('ProbDistI.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('UniformProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('RandomProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('DictionaryProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('MLEProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('LidstoneProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('HeldoutProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('CrossValidationProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('WittenBellProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('SimpleGoodTuringProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('MutableProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []})]"", ""[('ProbDistI.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('UniformProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('RandomProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('DictionaryProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('MLEProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('LidstoneProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('HeldoutProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('CrossValidationProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('WittenBellProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('SimpleGoodTuringProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('MutableProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []})]"", ""[('ProbDistI.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('UniformProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('RandomProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('DictionaryProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('MLEProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('LidstoneProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('HeldoutProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('CrossValidationProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('WittenBellProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('SimpleGoodTuringProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []}), ('MutableProbDist.prob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['sample'], 'opt_args': []})]""]",[]
abstract samples(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
class nltk.probability.ProbabilisticMixIn(**kwargs),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('ProbabilisticMixIn.__init__', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': [], 'opt_args': ['kwargs']})"", ""('ProbabilisticMixIn.__init__', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': [], 'opt_args': ['kwargs']})"", ""('ProbabilisticMixIn.__init__', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': [], 'opt_args': ['kwargs']})"", ""('ProbabilisticMixIn.__init__', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': [], 'opt_args': ['kwargs']})""]",[]
logprob(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
prob(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
set_logprob(logprob),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('ProbabilisticMixIn.set_logprob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['logprob'], 'opt_args': []})"", ""('ProbabilisticMixIn.set_logprob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['logprob'], 'opt_args': []})"", ""('ProbabilisticMixIn.set_logprob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['logprob'], 'opt_args': []})"", ""('ProbabilisticMixIn.set_logprob', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['logprob'], 'opt_args': []})""]",[]
"class nltk.probability.SimpleGoodTuringProbDist(freqdist, bins=None)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('SimpleGoodTuringProbDist.__init__', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['freqdist'], 'opt_args': ['bins']})"", ""('SimpleGoodTuringProbDist.__init__', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['freqdist'], 'opt_args': ['bins']})"", ""('SimpleGoodTuringProbDist.__init__', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['freqdist'], 'opt_args': ['bins']})"", ""('SimpleGoodTuringProbDist.__init__', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['freqdist'], 'opt_args': ['bins']})""]",[]
check(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"find_best_fit(r, nr)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('SimpleGoodTuringProbDist.find_best_fit', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['nr', 'r'], 'opt_args': []})"", ""('SimpleGoodTuringProbDist.find_best_fit', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['nr', 'r'], 'opt_args': []})"", ""('SimpleGoodTuringProbDist.find_best_fit', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['nr', 'r'], 'opt_args': []})"", ""('SimpleGoodTuringProbDist.find_best_fit', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['nr', 'r'], 'opt_args': []})""]",[]
smoothedNr(r),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('SimpleGoodTuringProbDist.smoothedNr', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['r'], 'opt_args': []})"", ""('SimpleGoodTuringProbDist.smoothedNr', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['r'], 'opt_args': []})"", ""('SimpleGoodTuringProbDist.smoothedNr', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['r'], 'opt_args': []})"", ""('SimpleGoodTuringProbDist.smoothedNr', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['r'], 'opt_args': []})""]",[]
class nltk.probability.UniformProbDist(samples),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('UniformProbDist.__init__', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['samples'], 'opt_args': []})"", ""('UniformProbDist.__init__', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['samples'], 'opt_args': []})"", ""('UniformProbDist.__init__', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['samples'], 'opt_args': []})"", ""('UniformProbDist.__init__', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['samples'], 'opt_args': []})""]",[]
"class nltk.probability.WittenBellProbDist(freqdist, bins=None)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('WittenBellProbDist.__init__', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['freqdist'], 'opt_args': ['bins']})"", ""('WittenBellProbDist.__init__', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['freqdist'], 'opt_args': ['bins']})"", ""('WittenBellProbDist.__init__', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['freqdist'], 'opt_args': ['bins']})"", ""('WittenBellProbDist.__init__', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['freqdist'], 'opt_args': ['bins']})""]",[]
"nltk.probability.add_logs(logx, logy)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('nltk.add_logs', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['logy', 'logx'], 'opt_args': []})"", ""('nltk.add_logs', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['logy', 'logx'], 'opt_args': []})"", ""('nltk.add_logs', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['logy', 'logx'], 'opt_args': []})"", ""('nltk.add_logs', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['logy', 'logx'], 'opt_args': []})""]",[]
nltk.probability.entropy(pdist),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('nltk.entropy', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['pdist'], 'opt_args': []})"", ""('nltk.entropy', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['pdist'], 'opt_args': []})"", ""('nltk.entropy', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['pdist'], 'opt_args': []})"", ""('nltk.entropy', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['pdist'], 'opt_args': []})""]",[]
"nltk.probability.log_likelihood(test_pdist, actual_pdist)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
nltk.probability.sum_logs(logs),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('nltk.sum_logs', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['logs'], 'opt_args': []})"", ""('nltk.sum_logs', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['logs'], 'opt_args': []})"", ""('nltk.sum_logs', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['logs'], 'opt_args': []})"", ""('nltk.sum_logs', {'source_file': 'nltk\\\\nltk\\\\probability.py', 'req_args': ['logs'], 'opt_args': []})""]",[]
"class nltk.text.ConcordanceIndex(tokens, key= ConcordanceIndex.>)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html']","['N/A', 'N/A']",[]
"find_concordance(word, width=80)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('ConcordanceIndex.find_concordance', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': ['width']})"", ""('ConcordanceIndex.find_concordance', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': ['width']})"", ""('ConcordanceIndex.find_concordance', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': ['width']})"", ""('ConcordanceIndex.find_concordance', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': ['width']})""]",[]
offsets(word),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('ConcordanceIndex.offsets', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': []})"", ""('ConcordanceIndex.offsets', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': []})"", ""('ConcordanceIndex.offsets', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': []})"", ""('ConcordanceIndex.offsets', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': []})""]",[]
"print_concordance(word, width=80, lines=25)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('ConcordanceIndex.print_concordance', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': ['lines', 'width']})"", ""('ConcordanceIndex.print_concordance', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': ['lines', 'width']})"", ""('ConcordanceIndex.print_concordance', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': ['lines', 'width']})"", ""('ConcordanceIndex.print_concordance', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': ['lines', 'width']})""]",[]
tokens(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"class nltk.text.ContextIndex(tokens, context_func=None, filter=None, key= ContextIndex.>)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html']","['N/A', 'N/A']",[]
"common_contexts(words, fail_on_unknown=False)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('ContextIndex.common_contexts', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['words'], 'opt_args': ['fail_on_unknown']})"", ""('ContextIndex.common_contexts', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['words'], 'opt_args': ['fail_on_unknown']})"", ""('ContextIndex.common_contexts', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['words'], 'opt_args': ['fail_on_unknown']})"", ""('ContextIndex.common_contexts', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['words'], 'opt_args': ['fail_on_unknown']})""]",[]
"similar_words(word, n=20)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('ContextIndex.similar_words', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': ['n']})"", ""('ContextIndex.similar_words', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': ['n']})"", ""('ContextIndex.similar_words', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': ['n']})"", ""('ContextIndex.similar_words', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': ['n']})""]",[]
word_similarity_dict(word),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('ContextIndex.word_similarity_dict', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': []})"", ""('ContextIndex.word_similarity_dict', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': []})"", ""('ContextIndex.word_similarity_dict', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': []})"", ""('ContextIndex.word_similarity_dict', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['word'], 'opt_args': []})""]",[]
"class nltk.text.Text(tokens, name=None)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('Text.__init__', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['tokens'], 'opt_args': ['name']})"", ""('Text.__init__', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['tokens'], 'opt_args': ['name']})"", ""('Text.__init__', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['tokens'], 'opt_args': ['name']})"", ""('Text.__init__', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': ['tokens'], 'opt_args': ['name']})""]",[]
"collocation_list(num=20, window_size=2)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('Text.collocation_list', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': [], 'opt_args': ['window_size', 'num']})"", ""('Text.collocation_list', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': [], 'opt_args': ['window_size', 'num']})"", ""('Text.collocation_list', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': [], 'opt_args': ['window_size', 'num']})"", ""('Text.collocation_list', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': [], 'opt_args': ['window_size', 'num']})""]",[]
"collocations(num=20, window_size=2)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('Text.collocations', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': [], 'opt_args': ['window_size', 'num']})"", ""('Text.collocations', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': [], 'opt_args': ['window_size', 'num']})"", ""('Text.collocations', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': [], 'opt_args': ['window_size', 'num']})"", ""('Text.collocations', {'source_file': 'nltk\\\\nltk\\\\text.py', 'req_args': [], 'opt_args': ['window_size', 'num']})""]",[]
