Paragraph,Tasks
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges at time
add edges to chart
add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"A cached version of TopDownPredictRule. After the first time this rule is applied to an edge with a given end and next, it will not generate any more edges for edges with that end and next.","Apply rule with next
Apply rule with given end
Apply rule to edge"
"If chart or grammar are changed, then the cache is flushed.",Flush cache
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges at time
add edges to chart
add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"A blackboard for hypotheses about the syntactic constituents of a sentence. A chart contains a set of edges, and each edge encodes a single hypothesis about the structure of some portion of the sentence.",Encode single hypotheses about structure
"The select method can be used to select a specific collection of edges. For example chart.select(is_complete=True, start=0) yields all complete edges whose start indices are 0. To ensure the efficiency of these selection operations, Chart dynamically creates and maintains an index for each set of attributes that have been selected on.","Select specific collection of edges
Use select method
Create index for set"
Return the set of child pointer lists for the given edge. Each child pointer list is a list of edges that have been used to form this edge.,"List fo given edge
Use edges"
Return a list of all edges in this chart. New edges that are added to the chart after the call to edges() will not be contained in this list.,Return list of edges in chart
"Add a new edge to the chart, and return True if this operation modified the chart. In particular, return true iff the chart did not already contain edge, or if it did not already associate child_pointer_lists with edge.","Add new edge to chart
Modify chart"
child_pointer_lists (sequence of tuple(EdgeI)) – A sequence of lists of the edges that were used to form this edge. This list is used to reconstruct the trees (or partial trees) that are associated with edge.,Use sequence of lists
"Add a new edge to the chart, using a pointer to the previous edge.","Add new edge to chart
Use pointer to previous edge"
Return an iterator over the edges in this chart. It is not guaranteed that new edges which are added to the chart before the iterator is exhausted will also be generated.,Return iterator over chart
Return the leaf value of the word at the given index.,Return leaf value of word
Return the number of edges contained in this chart.,Return number of edges
Return a pretty-printed string representation of a given edge in this chart.,Return pretty-printed string representation of given edge
Return a pretty-printed string representation of this chart’s leaves. This string can be used as a header for calls to pretty_format_edge.,Use string to pretty_format_edge
Return an iterator over the edges in this chart. Any new edges that are added to the chart before the iterator is exahusted will also be generated. restrictions can be used to restrict the set of edges that will be generated.,Return iterator over chart
span – Only generate edges e where e.span()==span,Generate edges e
start – Only generate edges e where e.start()==start,Generate edges e
end – Only generate edges e where e.end()==end,Generate edges e
length – Only generate edges e where e.length()==length,Generate edges e
lhs – Only generate edges e where e.lhs()==lhs,Generate edges e
rhs – Only generate edges e where e.rhs()==rhs,Generate edges e
nextsym – Only generate edges e where e.nextsym()==nextsym,Generate edges e
dot – Only generate edges e where e.dot()==dot,Generate edges e
is_complete – Only generate edges e where e.is_complete()==is_complete,Generate edges e
is_incomplete – Only generate edges e where e.is_incomplete()==is_incomplete,Generate edges e
Return an iterator of the tree structures that are associated with edge.,Return iterator of tree structures
"If edge is incomplete, then the unexpanded children will be encoded as childless subtrees, whose node value is the corresponding terminal or nonterminal.",Encoide unexpanded children as childless subtrees
"If two trees share a common subtree, then the same Tree may be used to encode that subtree in both trees. If you need to eliminate this subtree sharing, then create a deep copy of each tree.","Encode subtree in trees
Create deep copy of tree"
"A generic chart parser. A “strategy”, or list of ChartRuleI instances, is used to decide what edges to add to the chart. In particular, ChartParser uses the following algorithm to parse texts:","Use strategy of ChartRuleI instances
Add to chart"
Return the final parse Chart from which all possible parse trees can be extracted.,Return final parse chart
The grammar used by this parser.,
An iterator that generates parse trees for the sentence.,Generate parse trees
When possible this list is sorted from most likely to least likely.,Sort list
"A rule that specifies what new edges are licensed by any given set of existing edges. Each chart rule expects a fixed number of edges, as indicated by the class variable NUM_EDGES. In particular:",Specify rule of existing edges
"A chart rule with NUM_EDGES=0 specifies what new edges are licensed, regardless of existing edges.",Specify regardless of existing edges
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"Return a generator that will add all edges licensed by this rule, given the edges that are currently in the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
"A left-hand side, specifying what kind of structure is hypothesized.",Specify kind of structure
"A right-hand side, specifying the contents of the hypothesized structure.",Specify contents of hypothesized structure
"An edge is incomplete if its structure is partially consistent with the sentence. For every incomplete edge, the span specifies a possible prefix for the edge’s structure.",Specify possible prefix for incomplete edge
A TreeEdge records which trees have been found to be (partially) consistent with the text.,
"The EdgeI interface provides a common interface to both types of edge, allowing chart parsers to treat them in a uniform manner.",
"Return this edge’s dot position, which indicates how much of the hypothesized structure is consistent with the sentence. In particular, self.rhs[:dot] is consistent with tokens[self.start():self.end()].",Return dot position
"Return this edge’s left-hand side, which specifies what kind of structure is hypothesized by this edge.","Return left-hand side
Specify kind of structure"
Return the element of this edge’s right-hand side that immediately follows its dot.,Return element of right-hand side
"Return this edge’s right-hand side, which specifies the content of the structure hypothesized by this edge.","Return right-hand side
Specify content of structure"
"Return a tuple (s, e), where tokens[s:e] is the portion of the sentence that is consistent with this edge’s structure.","Return tuple (s
e)"
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"A leaf, specifying the word’s content.",
"Return this edge’s dot position, which indicates how much of the hypothesized structure is consistent with the sentence. In particular, self.rhs[:dot] is consistent with tokens[self.start():self.end()].",Return dot position
"Return this edge’s left-hand side, which specifies what kind of structure is hypothesized by this edge.","Return left-hand side
Specify kind of structure"
Return the element of this edge’s right-hand side that immediately follows its dot.,Return element of right-hand side
"Return this edge’s right-hand side, which specifies the content of the structure hypothesized by this edge.","Return right-hand side
Specify content of structure"
"Return a tuple (s, e), where tokens[s:e] is the portion of the sentence that is consistent with this edge’s structure.","Return tuple (s, e)"
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"A rule that joins a given edge with adjacent edges in the chart, to form combined edges. In particular, this rule specifies that either of the edges:",
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"A ChartParser that allows you to step through the parsing process, adding a single edge at a time. It also allows you to change the parser’s strategy or grammar midway through parsing a text.","Add single edge at time
Change strategy
Change grammar"
The initialize method is used to start parsing a text. step adds a single edge to the chart. set_strategy changes the strategy used by the chart parser. parses returns the set of parses that has been found by the chart parser.,"Add single edge to chart
Change strategy
Return set of parses"
"_restart – Records whether the parser’s strategy, grammar, or chart has been changed. If so, then step must restart the parsing algorithm.","Change strategy
Change chart
Restart parsing algorithm"
Return the chart rule used to generate the most recent edge.,Generate recent edge
Return the grammar used by this parser.,
An iterator that generates parse trees for the sentence.,Generate parse trees
When possible this list is sorted from most likely to least likely.,Sort list
Load a given chart into the chart parser.,Loag given chart into chart parser
Change the grammar used by the parser.,Change grammar
Change the strategy that the parser uses to decide which edges to add to the chart.,"Change strategy
Add to chart"
strategy (list(ChartRuleI)) – A list of rules that should be used to decide what edges to add to the chart.,"Add to chart
Use rules"
"Return a generator that adds edges to the chart, one at a time. Each time the generator is resumed, it adds a single edge and yields that edge. If no more edges can be added, then it yields None.","Add edges to chart
add single edge
add more edges"
"If the parser’s strategy, grammar, or chart is changed, then the generator will continue adding edges using the new strategy, grammar, or chart.","Use new strategy
Use grammar
Use chart
Change strategy
Change Chart"
"Note that this generator never terminates, since the grammar or strategy might be changed to values that would add new edges. Instead, it yields None when no more edges can be added with the current strategy and grammar.",
A ChartParser using a top-down parsing strategy. See ChartParser for more information.,Use top-down parsing strategy
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"A left-hand side, specifying the hypothesized tree’s node value.",Specify hypothesized tree
"A right-hand side, specifying the hypothesized tree’s children. Each element of the right-hand side is either a terminal, specifying a token with that terminal as its leaf value; or a nonterminal, specifying a subtree with that nonterminal’s symbol as its node value.",Specify hypothesized tree
"Return this edge’s dot position, which indicates how much of the hypothesized structure is consistent with the sentence. In particular, self.rhs[:dot] is consistent with tokens[self.start():self.end()].",Return dot position
"Return this edge’s left-hand side, which specifies what kind of structure is hypothesized by this edge.","Return left-hand side
Specify kind of structure"
"Return a new TreeEdge formed from this edge. The new edge’s dot position is increased by 1, and its end index will be replaced by new_end.",Replace end index
Return the element of this edge’s right-hand side that immediately follows its dot.,Return element of right-hand side
"Return this edge’s right-hand side, which specifies the content of the structure hypothesized by this edge.","Return right-hand side
Specify content of structure"
"Return a tuple (s, e), where tokens[s:e] is the portion of the sentence that is consistent with this edge’s structure.","Return tuple (s, e)"
"stderr (stdout,) – Specifies where CoreNLP output is redirected. Valid values are ‘devnull’, ‘stdout’, ‘pipe’",Redirect CoreNLP output
The text might contain several sentences which will be split by CoreNLP.,Split several sentences
Tools for reading and writing dependency trees. The input is assumed to be in Malt-TAB format (http://stp.lingfil.uu.se/~nivre/research/MaltXML.html).,"Read dependency trees
Write dependency trees "
Adds an arc from the node specified by head_address to the node specified by the mod address.,"Add arc from node
Specify to node"
Fully connects all non-root nodes. All nodes are set to be dependents of the root node.,Set nodes
"Returns true if the graph contains a node with the given node address, false otherwise.",
Return the node with the given address.,Return node with given address
Returns the number of left children under the node specified by the given address.,"Return number of left children
Return number under node"
"rather than 1 (as produced by, e.g., zpar) :param str cell_separator: the cell separator. If not provided, cells are split by whitespace. :param str top_relation_label: the label by which the top relation is identified, for examlple, ROOT, null or TOP.",Split cells
Convert the data in a nodelist into a networkx labeled directed graph.,"Convert data into networkx
Convert data in nodelist"
Removes the node with the given address. References to this node in others will still exist.,Remove node with given address
Returns the number of right children under the node specified by the given address.,"Return number of right children
Return number under node"
"style (int) – the style to use for the format (3, 4, 10 columns)",
Return a dot representation suitable for using with Graphviz.,Use with Graphviz
"Starting with the root node, build a dependency tree using the NLTK Tree constructor. Dependency labels are omitted.","Use NLTK Tree constructor
Omit dependency labels"
A demonstration of how to read a string representation of a CoNLL format dependency tree.,Read string representation of CoNLL
A demonstration of the result of reading a dependency version of the first sentence of the Penn Treebank.,Read dependency version of first sentence
"Data classes and parser implementations for incremental chart parsers, which use dynamic programming to efficiently parse a text. A “chart parser” derives parse trees for a text by iteratively adding “edges” to a “chart”. Each “edge” represents a hypothesis about the tree structure for a subsequence of the text. The “chart” is a “blackboard” for composing and combining these hypotheses.","Use incremental chart parsers
Add edges to chart
Compose hypothesis
Combine hypotheses"
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify new edge
Returns an iterator over the edges in this chart. See Chart.select for more information about the restrictions on the edges.,Return iterator over edges
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
Return a list of all edges in this chart. New edges that are added to the chart after the call to edges() will not be contained in this list.,Return list of edges in chart
Return an iterator over the edges in this chart. It is not guaranteed that new edges which are added to the chart before the iterator is exhausted will also be generated.,Return iterator over chart
Return an iterator over the edges in this chart. Any new edges that are added to the chart before the iterator is exahusted will also be generated. restrictions can be used to restrict the set of edges that will be generated.,"Return iterator over edges
Use restrictions"
span – Only generate edges e where e.span()==span,Generate edges e
start – Only generate edges e where e.start()==start,Generate edges e
end – Only generate edges e where e.end()==end,Generate edges e
length – Only generate edges e where e.length()==length,Generate edges e
lhs – Only generate edges e where e.lhs()==lhs,Generate edges e
rhs – Only generate edges e where e.rhs()==rhs,Generate edges e
nextsym – Only generate edges e where e.nextsym()==nextsym,Generate edges e
dot – Only generate edges e where e.dot()==dot,Generate edges e
is_complete – Only generate edges e where e.is_complete()==is_complete,Generate edges e
is_incomplete – Only generate edges e where e.is_incomplete()==is_incomplete,Generate edges e
An incremental chart parser implementing Jay Earley’s parsing algorithm:,
Return the final parse Chart from which all possible parse trees can be extracted.,Return final parse chart
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
Class for measuring labelled and unlabelled attachment score for dependency parsing. Note that the evaluation ignores punctuation.,Ignore punctuation
Extension of chart parsing implementation to handle grammars with feature structures as nodes.,Handle grammars with feature structures
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
Returns an iterator over the edges in this chart. See Chart.select for more information about the restrictions on the edges.,Return iterator over edges
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
assuming that B1 and B2 can be unified to generate B3.,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"A specialized version of the completer / single edge fundamental rule that operates on nonterminals whose symbols are ``FeatStructNonterminal``s. Rather than simply comparing the nonterminals for equality, they are unified.",Compare nonterminals for equality
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"A specialized version of the (cached) top down predict rule that operates on nonterminals whose symbols are ``FeatStructNonterminal``s. Rather than simply comparing the nonterminals for equality, they are unified.",Compare nonterminals for equality
The top down expand rule states that:,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
A specialized tree edge that allows shared variable bindings between nonterminals on the left-hand side and right-hand side.,Share variable bindings between nonterminals
"Each FeatureTreeEdge contains a set of bindings, i.e., a dictionary mapping from variables to values. If the edge is not complete, then these bindings are simply stored. However, if the edge is complete, then the constructor applies these bindings to every nonterminal in the edge whose symbol implements the interface SubstituteBindingsI.",Apply  bindings to nonterminal
"A new FeatureTreeEdge formed from this edge. The new edge’s dot position is increased by 1, and its end index will be replaced by new_end.",
The set of variables used by this edge.,
"A specialized chart that ‘instantiates’ variables whose names start with ‘@’, by replacing them with unique new variables. In particular, whenever a complete edge is added to the chart, any variables in the edge’s lhs whose names start with ‘@’ will be replaced by unique new ``Variable``s.",Replace with unique new variables
"Add a new edge to the chart, and return True if this operation modified the chart. In particular, return true iff the chart did not already contain edge, or if it did not already associate child_pointer_lists with edge.","Add new edge to chart
Modify chart"
child_pointer_lists (sequence of tuple(EdgeI)) – A sequence of lists of the edges that were used to form this edge. This list is used to reconstruct the trees (or partial trees) that are associated with edge.,Use sequence of lists
"If the edge is a FeatureTreeEdge, and it is complete, then instantiate all variables whose names start with ‘@’, by replacing them with unique new variables.","Instantiate variables
Replace with unique new variables"
grammar – The Grammar used to generate sentences.,Generate sentences
start – The Nonterminal from which to start generate sentences.,Generate sentences
A class for dependency parsing with MaltParser. The input is the paths to: - a maltparser directory - (optionally) the path to a pre-trained MaltParser .mco model file - (optionally) the tagger to use for POS tagging before parsing - (optionally) additional Java arguments,Use for POS
This function generates the maltparser command use at the terminal.,Generate maltparser command use at terminal
"Use MaltParser to parse multiple sentences. Takes a list of sentences, where each sentence is a list of words. Each sentence will be automatically tagged with this MaltParser instance’s tagger.",Use MaltParser
"Use MaltParser to parse multiple POS tagged sentences. Takes multiple sentences where each sentence is a list of (word, tag) tuples. The sentences must have already been tokenized and tagged.",Use MaltParser
A module to find pre-trained MaltParser model.,Find pre-trained MaltParser model
A module to find MaltParser .jar file and its dependencies.,Find MaltParser
"scored. :rtype: A three-dimensional list of numbers. :return: The score is returned in a multidimensional(3) list, such that the outer-dimension refers to the head, and the inner-dimension refers to the dependencies. For instance, scores[0][1] would reference the list of scores corresponding to arcs from node 0 to node 1. The node’s ‘address’ field can be used to determine its number identification.","Reference list of scores
Determine number identification"
"When used in conjunction with a MaxEntClassifier, each score would correspond to the confidence of a particular edge being classified with the positive training examples.",Use with MaxEntClassifier
"Typically the edges present in the graphs can be used as positive training examples, and the edges not present as negative examples.",
"A scorer for calculated the weights on the edges of a weighted dependency graph. This is used by a ProbabilisticNonprojectiveParser to initialize the edge weights of a DependencyGraph. While typically this would be done by training a binary classifier, any class that can return a multidimensional list representation of the edge weights can implement this interface. As such, it has no necessary fields.","Calculate weights on edges
Initialize edge weights of DependencyGraph
Return multidimensional list representation of edge weights"
"scored. :rtype: A three-dimensional list of numbers. :return: The score is returned in a multidimensional(3) list, such that the outer-dimension refers to the head, and the inner-dimension refers to the dependencies. For instance, scores[0][1] would reference the list of scores corresponding to arcs from node 0 to node 1. The node’s ‘address’ field can be used to determine its number identification.","Reference list of scores
Determine number identification"
"When used in conjunction with a MaxEntClassifier, each score would correspond to the confidence of a particular edge being classified with the positive training examples.",Use with MaxEntClassifier
"Typically the edges present in the graphs can be used as positive training examples, and the edges not present as negative examples.",
"A dependency scorer built around a MaxEnt classifier. In this particular class that classifier is a NaiveBayesClassifier. It uses head-word, head-tag, child-word, and child-tag features for classification.",Use child-tag features
"Converts the graph into a feature-based representation of each edge, and then assigns a score to each based on the confidence of the classifier in assigning it to the positive label. Scores are returned in a multidimensional list.","Convert graph into feature-based representation
Assign score
Assign positive label
Return scores in multidimensional list"
"Trains a NaiveBayesClassifier using the edges present in graphs list as positive examples, the edges not present as negative examples. Uses a feature vector of head-word, head-tag, child-word, and child-tag.","Use edges present list as positive examples
Train NaiveBayesClassifier"
"A non-projective, rule-based, dependency parser. This parser will return the set of all possible non-projective parses based on the word-to-word relations defined in the parser’s dependency grammar, and will allow the branches of the parse tree to cross in order to capture a variety of linguistic phenomena that a projective parser will not.",Return set of possible non-projective parses
"Parses the input tokens with respect to the parser’s grammar. Parsing is accomplished by representing the search-space of possible parses as a fully-connected directed graph. Arcs that would lead to ungrammatical parses are removed and a lattice is constructed of length n, where n is the number of input tokens, to represent all possible grammatical traversals. All possible paths through the lattice are then enumerated to produce the set of non-projective parses.",Produce set of non-projective parses
"Nonprojective dependencies allows for “crossing branches” in the parse tree which is necessary for representing particular linguistic phenomena, or even typical parses in some languages. This parser follows the MST parsing algorithm, outlined in McDonald(2005), which likens the search for the best non-projective parse to finding the maximum spanning tree in a weighted directed graph.",Find maximum spanning tree in weighted directed graph
Returns the source of the best incoming arc to the node with address: node_index,Return source of best incoming arc
"Takes a list of nodes that have been identified to belong to a cycle, and collapses them into on larger node. The arcs of all nodes in the graph must be updated to account for this.","Identify nodes
Collapse list of nodes"
When updating scores the score of the highest-weighted incoming arc is subtracted upon collapse. This returns the correct amount to subtract from that edge.,Update scores
"As nodes are collapsed into others, they are replaced by the new node in the graph, but it’s still necessary to keep track of what these original nodes were. This takes a list of node addresses and replaces any collapsed node addresses with their original addresses.",Replace collapsed node addresses with original addresses
Assigns a score to every edge in the DependencyGraph graph. These scores are generated via the parser’s scorer which was assigned during the training process.,"Assign score to edge
Generate scores via scorer
Assign scorer during training process"
graph (DependencyGraph) – A dependency graph to assign scores to.,Assign scores
Parses a list of tokens in accordance to the MST parsing algorithm for non-projective dependency parses. Assumes that the tokens to be parsed have already been tagged and those tags are provided. Various scoring methods can be used by implementing the DependencyScorerI interface and passing it to the training algorithm.,"Parse list of tokens
Provide tags"
"Trains a DependencyScorerI from a set of DependencyGraph objects, and establishes this as the parser’s scorer. This is used to initialize the scores on a DependencyGraph during the parsing procedure.","Initialize scores during parsing procedure
Initialize scores on DependencyGraph"
dependency_scorer (DependencyScorerI) – A scorer which implements the DependencyScorerI interface.,
Classes and interfaces for associating probabilities with tree structures that represent the internal organization of a text. The probabilistic parser module defines BottomUpProbabilisticChartParser.,
"BottomUpProbabilisticChartParser is an abstract class that implements a bottom-up chart parser for PCFG grammars. It maintains a queue of edges, and adds them to the chart one at a time. The ordering of this queue is based on the probabilities associated with the edges, allowing the parser to expand more likely edges before less likely ones. Each subclass implements a different queue ordering, producing different search strategies. Currently the following subclasses are defined:",Implement bottom-up chart parser for PCFG grammars
InsideChartParser searches edges in decreasing order of their trees’ inside probabilities.,
RandomChartParser searches edges in random order.,
LongestChartParser searches edges in decreasing order of their location’s length.,
"An abstract bottom-up parser for PCFG grammars that uses a Chart to record partial results. BottomUpProbabilisticChartParser maintains a queue of edges that can be added to the chart. This queue is initialized with edges for each token in the text that is being parsed. BottomUpProbabilisticChartParser inserts these edges into the chart one at a time, starting with the most likely edges, and proceeding to less likely edges. For each edge that is added to the chart, it may become possible to insert additional edges into the chart; these are added to the queue. This process continues until enough complete parses have been generated, or until the queue is empty.","Initialize queue with edges
Initialize queue in text
Insert additional edges into chart
Generate complete parses"
The sorting order for the queue is not specified by BottomUpProbabilisticChartParser. Different sorting orders will result in different search strategies. The sorting order for the queue is defined by the method sort_queue; subclasses are required to provide a definition for this method.,Define sorting order for queue
_trace – The level of tracing output that should be generated when parsing a text.,
The grammar used by this parser.,
An iterator that generates parse trees for the sentence.,Generate iterator
When possible this list is sorted from most likely to least likely.,Sort list
"Sort the given queue of Edge objects, placing the edge that should be tried first at the beginning of the queue. This method will be called after each Edge is added to the queue.","Sort given queue of Edge objects
Add edge to queue"
queue (list(Edge)) – The queue of Edge objects to sort. Each edge in this queue is an edge that could be added to the chart by the fundamental rule; but that has not yet been added.,Add edge to chart
chart (Chart) – The chart being used to parse the text. This chart can be used to provide extra information for sorting the queue.,"Provide extra information for sorting
Sort queue"
Set the level of tracing output that should be generated when parsing a text.,Set level of tracing
