Aspect,Definition,Paper,
Accessibility,How difficult is it to find the documentation,"- A Study of the Documentation Essential to Software Maintenance
- Cost, benefits and quality of software development documentation: A systematic mapping
- The Relevance of Software Documentation, Tools and Technologies: A Survey",3
Graphical Support,Does the documentation use images?,"- Evaluating the Quality of the Documentation of Open Source Software
- Evaluating Usage and Quality of Technical Software Documentation: An Empirical Study
- The Relevance of Software Documentation, Tools and Technologies: A Survey",3
Understandability,How understandable is the information in the documentation,"- Beyond Accuracy: Assessing Software Documentation
- How API Documentation Fails
- Software Architecture Documentation in Practice: Documenting Architectural Layers",3
Consistency (to standard),Does the documentation conform to a documentation standard defined by an external authority?,"- A Study of the Documentation Essential to Software Maintenance
- Evaluating the Quality of the Documentation of Open Source Software",2
Length,The length of the sentences in the documentation,"- Evaluating the Quality of the Documentation of Open Source Software
- The Relevance of Software Documentation, Tools and Technologies: A Survey",2
Spelling and Grammar,Spelling and grammar of the documentation,"- Cost, benefits and quality of software development documentation: A systematic mapping
- The Relevance of Software Documentation, Tools and Technologies: A Survey",2
Appeal,How interesting is it to read,- Beyond Accuracy: Assessing Software Documentation,1
Appropriateness comments,Density of source code comments,- Evaluating the Quality of the Documentation of Open Source Software,1
Cohesion,How well does the documentation fit together,- Beyond Accuracy: Assessing Software Documentation,1
Documentation PoV,The documentation should be written in the pov of the reader,- Software Architecture Documentation in Practice: Documenting Architectural Layers,1
Effectiveness,Does the documentation make effective use of technical vocabulary,- Beyond Accuracy: Assessing Software Documentation,1
Fitness of purpose,Does the documentation fit the purpose,- Software Architecture Documentation in Practice: Documenting Architectural Layers,1
Format,"What file format is the documentation? HTML, PDF, etc.","- The Relevance of Software Documentation, Tools and Technologies: A Survey",1
Maintainability,How easy is the documentation able to be updated?,- Software Documentation Issues Unveiled,1
Preciseness,How precise is the documentation,- Evaluating Usage and Quality of Technical Software Documentation: An Empirical Study,1
Quality,How well written is the documentation,- Beyond Accuracy: Assessing Software Documentation,1
Record rationale,Does the documentation include design decisions?,- Software Architecture Documentation in Practice: Documenting Architectural Layers,1
Support many scenarios,Does the documentation support many scenarios?,- What Makes APIs Hard to Learn? Answers from Developers,1
Traceability,The extent to which changes in the documentation can be tracked,"- Cost, benefits and quality of software development documentation: A systematic mapping",1
Type,Type of documentation,"- The Relevance of Software Documentation, Tools and Technologies: A Survey",1
Usability,The degree in which users can use the documentation to achieve objectives,- Software Documentation Issues Unveiled,1
Usefulness,How useful is the documentation,- Software Documentation - Building and Maintaining Artefacts of Communication,1
