Raw,Refined,Papers
Includes visual models,Graphical Support,Evaluating Usage and Quality of Technical Software Documentation: An Empirical Study
Use of diagrams,Graphical Support,"The Relevance of Software Documentation, Tools and Technologies: A Survey"
Dimension,Length,Evaluating the Quality of the Documentation of Open Source Software
Length,Length,"The Relevance of Software Documentation, Tools and Technologies: A Survey"
Maintainability,Maintainability,Software Documentation Issues Unveiled
be conveniently organized,Organization,What Makes APIs Hard to Learn? Answers from Developers
Organization,Organization,Evaluating Usage and Quality of Technical Software Documentation: An Empirical Study
Organization,Organization,"The Relevance of Software Documentation, Tools and Technologies: A Survey"
Redundancy,Organization,A Study of the Documentation Essential to Software Maintenance
Use a standard organization,Organization,Software Architecture Documentation in Practice: Documenting Architectural Layers
Similarity,Organization,"Cost, benefits and quality of software development documentation: A systematic mapping"
Excess Structural information,Organization,How API Documentation Fails
Structure,Organization,Beyond Accuracy: Assessing Software Documentation
Structure,Organization,Evaluating the Quality of the Documentation of Open Source Software
Structure,Organization,"The Relevance of Software Documentation, Tools and Technologies: A Survey"
Preciseness,Preciseness,Evaluating Usage and Quality of Technical Software Documentation: An Empirical Study
Quality,Quality,Beyond Accuracy: Assessing Software Documentation
Readability,Readability,Beyond Accuracy: Assessing Software Documentation
Readability,Readability,"Cost, benefits and quality of software development documentation: A systematic mapping"
Readability,Readability,Evaluating the Quality of the Documentation of Open Source Software
Readability,Readability,Evaluating Usage and Quality of Technical Software Documentation: An Empirical Study
Readability,Readability,Software Documentation Issues Unveiled
Readable (called understandable),Readability,Understanding the Requirements for Information System Documentation: An Empirical Investigation
Tangled information,Readability,How API Documentation Fails
Writing style,Readability,"The Relevance of Software Documentation, Tools and Technologies: A Survey"
Record rationale,Record rationale,Software Architecture Documentation in Practice: Documenting Architectural Layers
Avoid repetition,Relevance of content,Software Architecture Documentation in Practice: Documenting Architectural Layers
Bloat,Relevance of content,How API Documentation Fails
Conciseness,Relevance of content,Beyond Accuracy: Assessing Software Documentation
Content,Relevance of content,"The Relevance of Software Documentation, Tools and Technologies: A Survey"
include relevant design elements,Relevance of content,What Makes APIs Hard to Learn? Answers from Developers
Relevance of content,Relevance of content,Evaluating Usage and Quality of Technical Software Documentation: An Empirical Study
Spelling and Grammar,Spelling and Grammar,"Cost, benefits and quality of software development documentation: A systematic mapping"
Spelling and Grammar,Spelling and Grammar,"The Relevance of Software Documentation, Tools and Technologies: A Survey"
support many complex usage scenarios,Support many scenarios,What Makes APIs Hard to Learn? Answers from Developers
Traceability,Traceability,"Cost, benefits and quality of software development documentation: A systematic mapping"
Type,Type,"The Relevance of Software Documentation, Tools and Technologies: A Survey"
Ambiguity,Understandability,How API Documentation Fails
Avoid unintentional ambiguity,Understandability,Software Architecture Documentation in Practice: Documenting Architectural Layers
Clarity,Understandability,Beyond Accuracy: Assessing Software Documentation
Understandability,Understandability,Beyond Accuracy: Assessing Software Documentation
Alignment,Up-to-date,Evaluating the Quality of the Documentation of Open Source Software
Keep it current,Up-to-date,Software Architecture Documentation in Practice: Documenting Architectural Layers
Obsoleteness,Up-to-date,How API Documentation Fails
Referential decay,Up-to-date,Software Documentation - Building and Maintaining Artefacts of Communication
Up to date,Up-to-date,Evaluating Usage and Quality of Technical Software Documentation: An Empirical Study
Up to dateness,Up-to-date,An empirical analysis of the impact of software development problem factors on software maintainability
Up-to date,Up-to-date,Understanding the Requirements for Information System Documentation: An Empirical Investigation
Up-to-date,Up-to-date,"The Relevance of Software Documentation, Tools and Technologies: A Survey"
Up-to-datedness,Up-to-date,"Cost, benefits and quality of software development documentation: A systematic mapping"
Up-to-dateness,Up-to-date,A Study of the Documentation Essential to Software Maintenance
Up-to-dateness,Up-to-date,Software Documentation Issues Unveiled
Usability,Usability,Software Documentation Issues Unveiled
Usefulness,Usefulness,Software Documentation - Building and Maintaining Artefacts of Communication
