Example,Extracted Function,Linked Function,Source File,Matched
class nltk.data.GzipFileSystemPathPointer(_path),"('nltk.data.GzipFileSystemPathPointer', ['_path'])",['GzipFileSystemPathPointer.__init__'],N/A,False
class nltk.data.LazyLoader(_path),"('nltk.data.LazyLoader', ['_path'])","('LazyLoader.__init__', ['_path'])",nltk\nltk\data.py,True
class nltk.data.OpenOnDemandZipFile(filename),"('nltk.data.OpenOnDemandZipFile', ['filename'])","('OpenOnDemandZipFile.__init__', ['filename'])",nltk\nltk\data.py,True
read(name),"('read', ['name'])","('OpenOnDemandZipFile.read', {'source_file': 'nltk\\nltk\\data.py', 'req_args': ['name'], 'opt_args': []})",nltk\nltk\data.py,True
"write(*args, **kwargs)","('write', ['args', 'kwargs'])",N/A,N/A,False
"writestr(*args, **kwargs)","('writestr', ['args', 'kwargs'])",N/A,N/A,False
abstract file_size(),"(None, [])",N/A,N/A,False
abstract join(fileid),"('join', ['fileid'])","[('PathPointer.join', {'source_file': 'nltk\\nltk\\data.py', 'req_args': ['fileid'], 'opt_args': []}), ('FileSystemPathPointer.join', {'source_file': 'nltk\\nltk\\data.py', 'req_args': ['fileid'], 'opt_args': []}), ('ZipFilePathPointer.join', {'source_file': 'nltk\\nltk\\data.py', 'req_args': ['fileid'], 'opt_args': []})]",N/A,False
abstract open(encoding=None),"('open', ['encoding'])","[('PathPointer.open', {'source_file': 'nltk\\nltk\\data.py', 'req_args': [], 'opt_args': ['encoding']}), ('FileSystemPathPointer.open', {'source_file': 'nltk\\nltk\\data.py', 'req_args': [], 'opt_args': ['encoding']}), ('GzipFileSystemPathPointer.open', {'source_file': 'nltk\\nltk\\data.py', 'req_args': [], 'opt_args': ['encoding']}), ('ZipFilePathPointer.open', {'source_file': 'nltk\\nltk\\data.py', 'req_args': [], 'opt_args': ['encoding']})]",N/A,False
"class nltk.data.SeekableUnicodeStreamReader(stream, encoding, errors='strict')","('nltk.data.SeekableUnicodeStreamReader', ['stream', 'encoding', 'errors'])","('SeekableUnicodeStreamReader.__init__', ['encoding', 'stream', 'errors'])",nltk\nltk\data.py,True
char_seek_forward(offset),"('char_seek_forward', ['offset'])","('SeekableUnicodeStreamReader.char_seek_forward', {'source_file': 'nltk\\nltk\\data.py', 'req_args': ['offset'], 'opt_args': []})",nltk\nltk\data.py,True
close(),"(None, [])",N/A,N/A,False
discard_line(),"(None, [])",N/A,N/A,False
next(),"(None, [])",N/A,N/A,False
read(size=None),"('read', ['size'])","('SeekableUnicodeStreamReader.read', {'source_file': 'nltk\\nltk\\data.py', 'req_args': [], 'opt_args': ['size']})",nltk\nltk\data.py,True
readline(size=None),"('readline', ['size'])","('SeekableUnicodeStreamReader.readline', {'source_file': 'nltk\\nltk\\data.py', 'req_args': [], 'opt_args': ['size']})",nltk\nltk\data.py,True
"readlines(sizehint=None, keepends=True)","('readlines', ['sizehint', 'keepends'])","('SeekableUnicodeStreamReader.readlines', {'source_file': 'nltk\\nltk\\data.py', 'req_args': [], 'opt_args': ['keepends', 'sizehint']})",nltk\nltk\data.py,True
"seek(offset, whence=0)","('seek', ['offset', 'whence'])","('SeekableUnicodeStreamReader.seek', {'source_file': 'nltk\\nltk\\data.py', 'req_args': ['offset'], 'opt_args': ['whence']})",nltk\nltk\data.py,True
tell(),"(None, [])",N/A,N/A,False
xreadlines(),"(None, [])",N/A,N/A,False
nltk.data.clear_cache(),"(None, [])",N/A,N/A,False
"nltk.data.find(resource_name, paths=None)","('nltk.data.find', ['resource_name', 'paths'])","('nltk.find', {'source_file': 'nltk\\nltk\\data.py', 'req_args': ['resource_name'], 'opt_args': ['paths']})",nltk\nltk\data.py,True
"nltk.data.load(resource_url, format='auto', cache=True, verbose=False, logic_parser=None, fstruct_reader=None, encoding=None)","('nltk.data.load', ['resource_url', 'format', 'cache', 'verbose', 'logic_parser', 'fstruct_reader', 'encoding'])","('nltk.load', {'source_file': 'nltk\\nltk\\data.py', 'req_args': ['resource_url'], 'opt_args': ['encoding', 'fstruct_reader', 'logic_parser', 'verbose', 'cache', 'format']})",nltk\nltk\data.py,True
"nltk.data.retrieve(resource_url, filename=None, verbose=True)","('nltk.data.retrieve', ['resource_url', 'filename', 'verbose'])","('nltk.retrieve', {'source_file': 'nltk\\nltk\\data.py', 'req_args': ['resource_url'], 'opt_args': ['verbose', 'filename']})",nltk\nltk\data.py,True
"nltk.data.show_cfg(resource_url, escape='##')","('nltk.data.show_cfg', ['resource_url', 'escape'])","('nltk.show_cfg', {'source_file': 'nltk\\nltk\\data.py', 'req_args': ['resource_url'], 'opt_args': ['escape']})",nltk\nltk\data.py,True
"class nltk.downloader.Collection(id, children, name=None, **kw)","('nltk.downloader.Collection', ['id', 'children', 'name', 'kw'])","('Collection.__init__', ['children', 'id', 'name', 'kw'])",nltk\nltk\downloader.py,True
static fromxml(xml),"('fromxml', ['xml'])","[('Package.fromxml', {'source_file': 'nltk\\nltk\\downloader.py', 'req_args': ['xml'], 'opt_args': []}), ('Collection.fromxml', {'source_file': 'nltk\\nltk\\downloader.py', 'req_args': ['xml'], 'opt_args': []})]",N/A,False
"class nltk.downloader.Downloader(server_index_url=None, download_dir=None)","('nltk.downloader.Downloader', ['server_index_url', 'download_dir'])","('Downloader.__init__', ['download_dir', 'server_index_url'])",nltk\nltk\downloader.py,True
clear_status_cache(id=None),"('clear_status_cache', ['id'])","('Downloader.clear_status_cache', {'source_file': 'nltk\\nltk\\downloader.py', 'req_args': [], 'opt_args': ['id']})",nltk\nltk\downloader.py,True
collections(),"(None, [])",N/A,N/A,False
corpora(),"(None, [])",N/A,N/A,False
default_download_dir(),"(None, [])",N/A,N/A,False
"download(info_or_id=None, download_dir=None, quiet=False, force=False, prefix='[nltk_data] ', halt_on_error=True, raise_on_error=False, print_error_to=<_io.TextIOWrapper name='' mode='w' encoding='utf-8'>)","(None, [])",N/A,N/A,False
"incr_download(info_or_id, download_dir=None, force=False)","('incr_download', ['info_or_id', 'download_dir', 'force'])","('Downloader.incr_download', {'source_file': 'nltk\\nltk\\downloader.py', 'req_args': ['info_or_id'], 'opt_args': ['force', 'download_dir']})",nltk\nltk\downloader.py,True
index(),"(None, [])",N/A,N/A,False
info(id),"('info', ['id'])","('Downloader.info', {'source_file': 'nltk\\nltk\\downloader.py', 'req_args': ['id'], 'opt_args': []})",nltk\nltk\downloader.py,True
"is_installed(info_or_id, download_dir=None)","('is_installed', ['info_or_id', 'download_dir'])","('Downloader.is_installed', {'source_file': 'nltk\\nltk\\downloader.py', 'req_args': ['info_or_id'], 'opt_args': ['download_dir']})",nltk\nltk\downloader.py,True
"is_stale(info_or_id, download_dir=None)","('is_stale', ['info_or_id', 'download_dir'])","('Downloader.is_stale', {'source_file': 'nltk\\nltk\\downloader.py', 'req_args': ['info_or_id'], 'opt_args': ['download_dir']})",nltk\nltk\downloader.py,True
"list(download_dir=None, show_packages=True, show_collections=True, header=True, more_prompt=False, skip_installed=False)","('list', ['download_dir', 'show_packages', 'show_collections', 'header', 'more_prompt', 'skip_installed'])","('Downloader.list', {'source_file': 'nltk\\nltk\\downloader.py', 'req_args': [], 'opt_args': ['skip_installed', 'more_prompt', 'header', 'show_collections', 'show_packages', 'download_dir']})",nltk\nltk\downloader.py,True
models(),"(None, [])",N/A,N/A,False
packages(),"(None, [])",N/A,N/A,False
"status(info_or_id, download_dir=None)","('status', ['info_or_id', 'download_dir'])","('Downloader.status', {'source_file': 'nltk\\nltk\\downloader.py', 'req_args': ['info_or_id'], 'opt_args': ['download_dir']})",nltk\nltk\downloader.py,True
"update(quiet=False, prefix='[nltk_data] ')","('update', ['quiet', 'prefix'])","('Downloader.update', {'source_file': 'nltk\\nltk\\downloader.py', 'req_args': [], 'opt_args': ['prefix', 'quiet']})",nltk\nltk\downloader.py,True
xmlinfo(id),"('xmlinfo', ['id'])","('Downloader.xmlinfo', {'source_file': 'nltk\\nltk\\downloader.py', 'req_args': ['id'], 'opt_args': []})",nltk\nltk\downloader.py,True
"class nltk.downloader.DownloaderGUI(dataserver, use_threads=True)","('nltk.downloader.DownloaderGUI', ['dataserver', 'use_threads'])","('DownloaderGUI.__init__', ['dataserver', 'use_threads'])",nltk\nltk\downloader.py,True
about(*e),"('about', ['e'])",N/A,N/A,False
destroy(*e),"('destroy', ['e'])",N/A,N/A,False
help(*e),"('help', ['e'])",N/A,N/A,False
"mainloop(*args, **kwargs)","('mainloop', ['args', 'kwargs'])",N/A,N/A,False
class nltk.downloader.DownloaderShell(dataserver),"('nltk.downloader.DownloaderShell', ['dataserver'])","('DownloaderShell.__init__', ['dataserver'])",nltk\nltk\downloader.py,True
run(),"(None, [])",N/A,N/A,False
"class nltk.downloader.ErrorMessage(package, message)","('nltk.downloader.ErrorMessage', ['package', 'message'])","('ErrorMessage.__init__', ['message', 'package'])",nltk\nltk\downloader.py,True
class nltk.downloader.FinishCollectionMessage(collection),"('nltk.downloader.FinishCollectionMessage', ['collection'])","('FinishCollectionMessage.__init__', ['collection'])",nltk\nltk\downloader.py,True
class nltk.downloader.FinishDownloadMessage(package),"('nltk.downloader.FinishDownloadMessage', ['package'])","('FinishDownloadMessage.__init__', ['package'])",nltk\nltk\downloader.py,True
class nltk.downloader.FinishPackageMessage(package),"('nltk.downloader.FinishPackageMessage', ['package'])","('FinishPackageMessage.__init__', ['package'])",nltk\nltk\downloader.py,True
class nltk.downloader.FinishUnzipMessage(package),"('nltk.downloader.FinishUnzipMessage', ['package'])","('FinishUnzipMessage.__init__', ['package'])",nltk\nltk\downloader.py,True
"class nltk.downloader.Package(id, url, name=None, subdir='', size=None, unzipped_size=None, checksum=None, svn_revision=None, copyright='Unknown', contact='Unknown', license='Unknown', author='Unknown', unzip=True, **kw)","('nltk.downloader.Package', ['id', 'url', 'name', 'subdir', 'size', 'unzipped_size', 'checksum', 'svn_revision', 'copyright', 'contact', 'license', 'author', 'unzip', 'kw'])","('Package.__init__', ['url', 'id', 'unzip', 'author', 'license', 'contact', 'copyright', 'svn_revision', 'checksum', 'unzipped_size', 'size', 'subdir', 'name', 'kw'])",nltk\nltk\downloader.py,True
class nltk.downloader.ProgressMessage(progress),"('nltk.downloader.ProgressMessage', ['progress'])","('ProgressMessage.__init__', ['progress'])",nltk\nltk\downloader.py,True
class nltk.downloader.SelectDownloadDirMessage(download_dir),"('nltk.downloader.SelectDownloadDirMessage', ['download_dir'])","('SelectDownloadDirMessage.__init__', ['download_dir'])",nltk\nltk\downloader.py,True
class nltk.downloader.StaleMessage(package),"('nltk.downloader.StaleMessage', ['package'])","('StaleMessage.__init__', ['package'])",nltk\nltk\downloader.py,True
class nltk.downloader.StartCollectionMessage(collection),"('nltk.downloader.StartCollectionMessage', ['collection'])","('StartCollectionMessage.__init__', ['collection'])",nltk\nltk\downloader.py,True
class nltk.downloader.StartDownloadMessage(package),"('nltk.downloader.StartDownloadMessage', ['package'])","('StartDownloadMessage.__init__', ['package'])",nltk\nltk\downloader.py,True
class nltk.downloader.StartPackageMessage(package),"('nltk.downloader.StartPackageMessage', ['package'])","('StartPackageMessage.__init__', ['package'])",nltk\nltk\downloader.py,True
class nltk.downloader.StartUnzipMessage(package),"('nltk.downloader.StartUnzipMessage', ['package'])","('StartUnzipMessage.__init__', ['package'])",nltk\nltk\downloader.py,True
class nltk.downloader.UpToDateMessage(package),"('nltk.downloader.UpToDateMessage', ['package'])","('UpToDateMessage.__init__', ['package'])",nltk\nltk\downloader.py,True
"nltk.downloader.build_index(root, base_url)","('nltk.downloader.build_index', ['root', 'base_url'])","('nltk.build_index', {'source_file': 'nltk\\nltk\\downloader.py', 'req_args': ['base_url', 'root'], 'opt_args': []})",nltk\nltk\downloader.py,True
"nltk.downloader.download(info_or_id=None, download_dir=None, quiet=False, force=False, prefix='[nltk_data] ', halt_on_error=True, raise_on_error=False, print_error_to=<_io.TextIOWrapper name='' mode='w' encoding='utf-8'>)","(None, [])",N/A,N/A,False
nltk.downloader.download_gui(),"(None, [])",N/A,N/A,False
nltk.downloader.download_shell(),"(None, [])",N/A,N/A,False
nltk.downloader.md5_hexdigest(file),"('nltk.downloader.md5_hexdigest', ['file'])","('nltk.md5_hexdigest', {'source_file': 'nltk\\nltk\\downloader.py', 'req_args': ['file'], 'opt_args': []})",nltk\nltk\downloader.py,True
"nltk.downloader.unzip(filename, root, verbose=True)","('nltk.downloader.unzip', ['filename', 'root', 'verbose'])","('nltk.unzip', {'source_file': 'nltk\\nltk\\downloader.py', 'req_args': ['root', 'filename'], 'opt_args': ['verbose']})",nltk\nltk\downloader.py,True
nltk.downloader.update(),"(None, [])",N/A,N/A,False
"class nltk.featstruct.FeatDict(features=None, **morefeatures)","('nltk.featstruct.FeatDict', ['features', 'morefeatures'])","('FeatDict.__init__', ['features', 'morefeatures'])",nltk\nltk\featstruct.py,True
clear() → None.  Remove all items from D.,"(None, [])",N/A,N/A,False
"get(name_or_path, default=None)","('get', ['name_or_path', 'default'])","('FeatDict.get', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['name_or_path'], 'opt_args': ['default']})",nltk\nltk\featstruct.py,True
has_key(name_or_path),"('has_key', ['name_or_path'])","('FeatDict.has_key', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['name_or_path'], 'opt_args': []})",nltk\nltk\featstruct.py,True
"pop(k[, d]) → v, remove specified key and return the corresponding value.","(None, [])",N/A,N/A,False
"popitem(*args, **kwargs)","('popitem', ['args', 'kwargs'])",N/A,N/A,False
"setdefault(*args, **kwargs)","('setdefault', ['args', 'kwargs'])",N/A,N/A,False
"update([E, ]**F) → None.  Update D from dict/iterable E and F.","(None, [])",N/A,N/A,False
"class nltk.featstruct.FeatList(features=None, **morefeatures)","('nltk.featstruct.FeatList', ['features', 'morefeatures'])","('FeatList.__init__', ['features'])",nltk\nltk\featstruct.py,True
"append(*args, **kwargs)","('append', ['args', 'kwargs'])",N/A,N/A,False
"extend(*args, **kwargs)","('extend', ['args', 'kwargs'])",N/A,N/A,False
"insert(*args, **kwargs)","('insert', ['args', 'kwargs'])",N/A,N/A,False
"pop(*args, **kwargs)","('pop', ['args', 'kwargs'])",N/A,N/A,False
"remove(*args, **kwargs)","('remove', ['args', 'kwargs'])",N/A,N/A,False
"reverse(*args, **kwargs)","('reverse', ['args', 'kwargs'])",N/A,N/A,False
"sort(*args, **kwargs)","('sort', ['args', 'kwargs'])",N/A,N/A,False
"class nltk.featstruct.FeatStruct(features=None, **morefeatures)","('nltk.featstruct.FeatStruct', ['features', 'morefeatures'])",['FeatStruct.__init__'],N/A,False
copy(deep=True),"('copy', ['deep'])","[('FeatStruct.copy', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': [], 'opt_args': ['deep']}), ('ImmutableProbabilisticTree.copy', {'source_file': 'nltk\\nltk\\tree\\immutable.py', 'req_args': [], 'opt_args': ['deep']}), ('ParentedTree.copy', {'source_file': 'nltk\\nltk\\tree\\parented.py', 'req_args': [], 'opt_args': ['deep']}), ('ProbabilisticTree.copy', {'source_file': 'nltk\\nltk\\tree\\probabilistic.py', 'req_args': [], 'opt_args': ['deep']}), ('Tree.copy', {'source_file': 'nltk\\nltk\\tree\\tree.py', 'req_args': [], 'opt_args': ['deep']})]",N/A,False
cyclic(),"(None, [])",N/A,N/A,False
"equal_values(other, check_reentrance=False)","('equal_values', ['other', 'check_reentrance'])","('FeatStruct.equal_values', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['other'], 'opt_args': ['check_reentrance']})",nltk\nltk\featstruct.py,True
freeze(),"(None, [])",N/A,N/A,False
frozen(),"(None, [])",N/A,N/A,False
remove_variables(),"(None, [])",N/A,N/A,False
"rename_variables(vars=None, used_vars=(), new_vars=None)","('rename_variables', ['vars', 'used_vars', 'new_vars'])","[('FeatStruct.rename_variables', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': [], 'opt_args': ['new_vars', 'used_vars', 'vars']}), ('nltk.rename_variables', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['fstruct'], 'opt_args': ['fs_class', 'new_vars', 'used_vars', 'vars']})]",N/A,False
retract_bindings(bindings),"('retract_bindings', ['bindings'])","[('FeatStruct.retract_bindings', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['bindings'], 'opt_args': []}), ('nltk.retract_bindings', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['bindings', 'fstruct'], 'opt_args': ['fs_class']})]",N/A,False
substitute_bindings(bindings),"('substitute_bindings', ['bindings'])","[('FeatStruct.substitute_bindings', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['bindings'], 'opt_args': []}), ('nltk.substitute_bindings', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['bindings', 'fstruct'], 'opt_args': ['fs_class']}), ('SubstituteBindingsSequence.substitute_bindings', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['bindings'], 'opt_args': []}), ('Clause.substitute_bindings', {'source_file': 'nltk\\nltk\\inference\\resolution.py', 'req_args': ['bindings'], 'opt_args': []}), ('Variable.substitute_bindings', {'source_file': 'nltk\\nltk\\sem\\logic.py', 'req_args': ['bindings'], 'opt_args': []}), ('SubstituteBindingsI.substitute_bindings', {'source_file': 'nltk\\nltk\\sem\\logic.py', 'req_args': ['bindings'], 'opt_args': []}), ('Expression.substitute_bindings', {'source_file': 'nltk\\nltk\\sem\\logic.py', 'req_args': ['bindings'], 'opt_args': []})]",N/A,False
subsumes(other),"('subsumes', ['other'])","[('FeatStruct.subsumes', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['other'], 'opt_args': []}), ('Clause.subsumes', {'source_file': 'nltk\\nltk\\inference\\resolution.py', 'req_args': ['other'], 'opt_args': []})]",N/A,False
"unify(other, bindings=None, trace=False, fail=None, rename_vars=True)","('unify', ['other', 'bindings', 'trace', 'fail', 'rename_vars'])","('FeatStruct.unify', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['other'], 'opt_args': ['rename_vars', 'fail', 'trace', 'bindings']})",nltk\nltk\featstruct.py,True
variables(),"(None, [])",N/A,N/A,False
walk(),"(None, [])",N/A,N/A,False
"class nltk.featstruct.FeatStructReader(features=(*slash*, *type*), fdict_class= 'nltk.featstruct.FeatStruct'>, flist_class= 'nltk.featstruct.FeatList'>, logic_parser=None)","(None, [])",N/A,N/A,False
"VALUE_HANDLERS = [('read_fstruct_value', re.compile('\\s*(?:\\((\\d+)\\)\\s*)?(\\??[\\w-]+)?(\\[)')), ('read_var_value', re.compile('\\?[a-zA-Z_][a-zA-Z0-9_]*')), ('read_str_value', re.compile('[uU]?[rR]?([\'""])')), ('read_int_value', re.compile('-?\\d+')), ('read_sym_value', re.compile('[a-zA-Z_][a-zA-Z0-9_]*')), ('read_app_value', re.compile('<(app)\\((\\?[a-z][a-z]*)\\s*,\\s*(\\?[a-z][a-z]*)\\)>')), ('read_logic_value', re.compile('<(.*?)(?')), ('read_set_value', re.compile('{')), ('read_tuple_value', re.compile('\\('))]","(None, [])",N/A,N/A,False
"fromstring(s, fstruct=None)","('fromstring', ['s', 'fstruct'])","('FeatStructReader.fromstring', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['s'], 'opt_args': ['fstruct']})",nltk\nltk\featstruct.py,True
"read_app_value(s, position, reentrances, match)","('read_app_value', ['s', 'position', 'reentrances', 'match'])","('FeatStructReader.read_app_value', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['match', 'reentrances', 'position', 's'], 'opt_args': []})",nltk\nltk\featstruct.py,True
"read_fstruct_value(s, position, reentrances, match)","('read_fstruct_value', ['s', 'position', 'reentrances', 'match'])","('FeatStructReader.read_fstruct_value', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['match', 'reentrances', 'position', 's'], 'opt_args': []})",nltk\nltk\featstruct.py,True
"read_int_value(s, position, reentrances, match)","('read_int_value', ['s', 'position', 'reentrances', 'match'])","('FeatStructReader.read_int_value', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['match', 'reentrances', 'position', 's'], 'opt_args': []})",nltk\nltk\featstruct.py,True
"read_logic_value(s, position, reentrances, match)","('read_logic_value', ['s', 'position', 'reentrances', 'match'])","('FeatStructReader.read_logic_value', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['match', 'reentrances', 'position', 's'], 'opt_args': []})",nltk\nltk\featstruct.py,True
"read_partial(s, position=0, reentrances=None, fstruct=None)","('read_partial', ['s', 'position', 'reentrances', 'fstruct'])","('FeatStructReader.read_partial', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['s'], 'opt_args': ['fstruct', 'reentrances', 'position']})",nltk\nltk\featstruct.py,True
"read_set_value(s, position, reentrances, match)","('read_set_value', ['s', 'position', 'reentrances', 'match'])","('FeatStructReader.read_set_value', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['match', 'reentrances', 'position', 's'], 'opt_args': []})",nltk\nltk\featstruct.py,True
"read_str_value(s, position, reentrances, match)","('read_str_value', ['s', 'position', 'reentrances', 'match'])","('FeatStructReader.read_str_value', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['match', 'reentrances', 'position', 's'], 'opt_args': []})",nltk\nltk\featstruct.py,True
"read_sym_value(s, position, reentrances, match)","('read_sym_value', ['s', 'position', 'reentrances', 'match'])","('FeatStructReader.read_sym_value', {'source_file': 'nltk\\nltk\\featstruct.py', 'req_args': ['match', 'reentrances', 'position', 's'], 'opt_args': []})",nltk\nltk\featstruct.py,True
