Paragraphs,Tasks (Old),Henry's mechanical tasks,Henry's library tasks,Henry's library tasks (updated),Sarah's mechanical tasks,Sarah's library tasks,Sarah's library tasks (updated),Agree?,Library task conflict?,Resolved mechanical tasks,Resolved library tasks,Resolved library tasks (updated),Program (Original verb list),Program (Domain specific list),Program (domain specific + filter),Mechanical count,Library count,Mechanical correct,Program count,Library correct,Dom spec program count,Dom spec library correct,dom spec filter count,dom spec filter correct,Code example,Program paragraph linked,Updated links
"It natively serializes str, dict, list, tuple, int, float, bool, dataclasses.dataclass, typing.TypedDict, datetime.datetime, datetime.date, datetime.time, uuid.UUID, numpy.ndarray, and None instances. It supports arbitrary types through default. It serializes subclasses of str, int, dict, list, dataclasses.dataclass, and enum.Enum. It does not serialize subclasses of tuple to avoid serializing namedtuple objects as arrays. To avoid serializing subclasses, specify the option orjson.OPT_PASSTHROUGH_SUBCLASS.","- Serializes str, dict, list, tuple, int, float, bool, dataclass, TypedDict, datetime.datetime, datetime.date, datetime.time, uuid.UUID, numpy, ndarray, None, enum.Enum
- Does not serialize tuples","Serialize str
Serialize dict
Serialize list
Serialize tuple
Serialize int
Serialize float
Serialize bool
Serialize dataclasses.dataclass
Serialize typing.TypedDict
Serialize datetime.date
Serialize datetime.time
Serialize uuid.UUID
Serialize numpy.ndarray
Serialize None
Supports arbitrary types through default
Serialize enum.Enum
Specify option orjson.OPT_PASSTHROUGH_SUBCLASS","Serialize str
Serialize dict
Serialize list
Serialize tuple
Serialize int
Serialize float
Serialize bool
Serialize dataclasses.dataclass
Serialize typing.TypedDict
Serialize datetime.date
Serialize datetime.time
Serialize uuid.UUID
Serialize numpy.ndarray
Serialize None
Supports arbitrary types through default
Serialize enum.Enum
Specify option orjson.OPT_PASSTHROUGH_SUBCLASS","Serialize str
Serialize dict
Serialize list
Serialize tuple
Serialize int
Serialize float
Serialize bool
Serialize dataclasses.dataclass
Serialize typing.TypedDict
Serialize datetime.date
Serialize datetime.time
Serialize uuid.UUID
Serialize numpy.ndarray
Serialize None
Supports arbitrary types through default
Serialize enum.Enum
Specify option orjson.OPT_PASSTHROUGH_SUBCLASS","Serialize str
Serialize dict
Serialize list
Serialize tuple
Serialize int
Serialize float
Serialize bool
Serialize dataclasses.dataclass
Serialize typing.TypedDict
Serialize datetime.dateime
Serialize datetime.date
Serialize datetime.time
Serialize uuid.UUID
Serialize numpy.ndarray
Serialize None
Serialize subclass of str
Serialize subclass of int
Serialize subclass of dict
Serialize subclass of list
Serialize subclass of list
Serialize subclass of dataclasses.dataclass
Serialize subclass of enum.Enum
Avoid serializing subclasses","Serialize str
Serialize dict
Serialize list
Serialize tuple
Serialize int
Serialize float
Serialize bool
Serialize dataclasses.dataclass
Serialize typing.TypedDict
Serialize datetime.dateime
Serialize datetime.date
Serialize datetime.time
Serialize uuid.UUID
Serialize numpy.ndarray
Serialize None
Serialize subclass of str
Serialize subclass of int
Serialize subclass of dict
Serialize subclass of list
Serialize subclass of list
Serialize subclass of dataclasses.dataclass
Serialize subclass of enum.Enum
Avoid serializing subclasses","Serialize str
Serialize dict
Serialize list
Serialize tuple
Serialize int
Serialize float
Serialize bool
Serialize dataclasses.dataclass
Serialize typing.TypedDict
Serialize datetime.dateime
Serialize datetime.date
Serialize datetime.time
Serialize uuid.UUID
Serialize numpy.ndarray
Serialize None
Serialize subclass of str
Serialize subclass of int
Serialize subclass of dict
Serialize subclass of list
Serialize subclass of dataclasses.dataclass
Serialize subclass of enum.Enum
Avoid serializing subclasses",0,1,"Serialize str
Serialize dict
Serialize list
Serialize tuple
Serialize int
Serialize float
Serialize bool
Serialize dataclasses.dataclass
Serialize typing.TypedDict
Serialize datetime.datetime
Serialize datetime.date
Serialize datetime.time
Serialize uuid.UUID
Serialize numpy.ndarray
Serialize None
Serialize subclass of str
Serialize subclass of int
Serialize subclass of dict
Serialize subclass of list
Serialize subclass of dataclasses.dataclass
Serialize subclass of enum.Enum
Avoid serializing subclasses
Specify option orjson.OPT_PASSTHROUGH_SUBCLASS","Serialize str
Serialize dict
Serialize list
Serialize tuple
Serialize int
Serialize float
Serialize bool
Serialize dataclasses.dataclass
Serialize typing.TypedDict
Serialize datetime.dateime
Serialize datetime.date
Serialize datetime.time
Serialize uuid.UUID
Serialize numpy.ndarray
Serialize None
Serialize subclass of str
Serialize subclass of int
Serialize subclass of dict
Serialize subclass of list
Serialize subclass of list
Serialize subclass of dataclasses.dataclass
Serialize subclass of enum.Enum
Avoid serializing subclasses","Serialize str
Serialize dict
Serialize list
Serialize tuple
Serialize int
Serialize float
Serialize bool
Serialize dataclasses.dataclass
Serialize typing.TypedDict
Serialize datetime.datetime
Serialize datetime.date
Serialize datetime.time
Serialize uuid.UUID
Serialize numpy.ndarray
Serialize None
Serialize subclass of str
Serialize subclass of int
Serialize subclass of dict
Serialize subclass of list
Serialize subclass of dataclasses.dataclass
Serialize subclass of enum.Enum
Avoid serializing subclasses","support arbitrary types through default
specify option orjson.OPT_PASSTHROUGH_SUBCLASS","serialize none
serialize str
serialize dict
serialize list
serialize tuple
serialize int
serialize float
serialize bool
serialize dataclasses.dataclass
serialize typing.TypedDict
serialize datetime.datetime
serialize datetime.date
serialize datetime.time
serialize uuid.UUID
serialize numpy.ndarray
support arbitrary types through default
serialize subclasses of str
serialize namedtuple objects as arrays
specify option orjson.OPT_PASSTHROUGH_SUBCLASS","serialize none
serialize str
serialize dict
serialize list
serialize tuple
serialize int
serialize float
serialize bool
serialize dataclasses.dataclass
serialize typing.TypedDict
serialize datetime.datetime
serialize datetime.date
serialize datetime.time
serialize uuid.UUID
serialize numpy.ndarray
serialize subclasses of str
serialize namedtuple objects as arrays
specify option orjson.OPT_PASSTHROUGH_SUBCLASS",23,22,1,2,0,19,16,18,16,,,
The output is a bytes object containing UTF-8.,Output byte object in UTF-8,Output bytes object,,,,,,1,,,,,,,,0,0,,0,,0,0,0,0,,,
The global interpreter lock (GIL) is held for the duration of the call.,,,,,,,,1,,,,,,,,0,0,,0,,0,0,0,0,,,
"It raises JSONEncodeError on an unsupported type. This exception message describes the invalid object with the error message Type is not JSON serializable: .... To fix this, specify default.",Fix error messages Type is not JSON serializable,"Raise JSONEncodeError on unsupported type
Specify default",,,"Raise JSONEncodeError on an unsupported type
Describe the invalid object with the error message",,,1,,"Raise JSONEncodeError on an unsupported type
Describe the invalid object with the error message
Specify default",,,"raise JSONEncodeError on unsupported type
specify default","raise JSONEncodeError on unsupported type
specify default",specify default,3,0,2,2,0,2,0,1,0,,,
It raises JSONEncodeError on a str that contains invalid UTF-8.,,Raise JSONEncodeError on invalid ETF-8 str,,,Raise JSONEncodeError on a str,,,1,,Raise JSONEncodeError on a str,,,raise JSONEncodeError on str UTF-8,raise JSONEncodeError on str UTF-8,,1,0,0,1,0,1,0,0,0,,,
"It raises JSONEncodeError on an integer that exceeds 64 bits by default or, with OPT_STRICT_INTEGER, 53 bits.",,Raise JSONEncodeError integer,,,Raise JSONEncodeError on an integer,,,1,,Raise JSONEncodeError on an integer,,,raise JSONEncodeError on integer,raise JSONEncodeError on integer,,1,0,0,1,0,1,0,0,0,,,
"It raises JSONEncodeError if a dict has a key of a type other than str, unless OPT_NON_STR_KEYS is specified.",,"Raise JSONEncodeError
Specify OPT_NON_STR_KEYS",,,Raise JSONEncodeError,,,1,,"Raise JSONEncodeError
Specify OPT_NON_STR_KEYS",,,"raise JSONEncodeError
specify OPT_NON_STR_KEYS","raise JSONEncodeError
specify OPT_NON_STR_KEYS",specify OPT_NON_STR_KEYS,2,0,2,2,0,2,0,1,1,,,
It raises JSONEncodeError if the output of default recurses to handling by default more than 254 levels deep.,,Raise JSONEncodeError,,,Raise JSONEncodeError,,,1,,Raise JSONEncodeError,,,"raise JSONEncodeError
handle  by default",raise JSONEncodeError,,1,0,0,2,0,1,0,0,0,,,
It raises JSONEncodeError on circular references.,,Raise JSONEncodeError on circular references,,,,,,1,,Raise JSONEncodeError on circular references,,,raise JSONEncodeError on circular references,raise JSONEncodeError on circular references,,1,0,1,1,0,1,0,0,0,,,
It raises JSONEncodeError if a tzinfo on a datetime object is unsupported.,,Raise JSONEncodeError,,,Raise JSONEncodeError,,,1,,Raise JSONEncodeError,,,,,,1,0,,0,,0,0,0,0,,,
JSONEncodeError is a subclass of TypeError. This is for compatibility with the standard library.,,,,,,,,1,,,,,,,,0,0,,0,,0,0,0,0,,,
"To serialize a subclass or arbitrary types, specify default as a callable that returns a supported type. default may be a function, lambda, or callable class instance. To specify that a type was not handled by default, raise an exception such as TypeError.","- Serialize a subclass or arbitrary types
- Specify type not handled by default","Serialize subclass
Serialize arbitrary types
Specify type not handled by default","Serialize subclass
Serialize arbitrary types
Specify type not handled by default","Serialize subclass
Serialize arbitrary types
Specify type not handled by default","Serialize subclass
Serialize arbitrary types
Specify type not handled by default","Serialize subclass
Serialize arbitrary types","Serialize subclass
Serialize arbitrary types
Specify type not handled by default",1,,"Serialize subclass
Serialize arbitrary types
Specify type not handled by default","Serialize subclass
Serialize arbitrary types","Serialize subclass
Serialize arbitrary types
Specify type not handled by default","return supported type
return callable
raise exception such_as TypeError","serialize subclass arbitrary types specify default as callable
raise exception such_as TypeError",serialize subclass arbitrary types specify default as callable,3,3,0,3,0,2,1,1,1,">>> import orjson, decimal
>>>
def default(obj):
    if isinstance(obj, decimal.Decimal):
        return str(obj)
    raise TypeError

>>> orjson.dumps(decimal.Decimal(""0.0842389659712649442845""))
JSONEncodeError: Type is not JSON serializable: decimal.Decimal
>>> orjson.dumps(decimal.Decimal(""0.0842389659712649442845""), default=default)
b'""0.0842389659712649442845""'
>>> orjson.dumps({1, 2}, default=default)
orjson.JSONEncodeError: Type is not JSON serializable: set",,
The default callable may return an object that itself must be handled by default up to 254 times before an exception is raised.,,,,,,,,1,,,,,"return object
raise exception",raise exception,,0,0,0,2,0,1,0,0,0,,,
"It is important that default raise an exception if a type cannot be handled. Python otherwise implicitly returns None, which appears to the caller like a legitimate value and is serialized:",,,,,,,,1,,,,,"raise exception
return none","raise exception
serialize none",serialize none,0,0,0,2,0,2,0,1,0,">>> import orjson, json, rapidjson
>>>
def default(obj):
    if isinstance(obj, decimal.Decimal):
        return str(obj)

>>> orjson.dumps({""set"":{1, 2}}, default=default)
b'{""set"":null}'
>>> json.dumps({""set"":{1, 2}}, default=default)
'{""set"":null}'
>>> rapidjson.dumps({""set"":{1, 2}}, default=default)
'{""set"":null}'",,
"To modify how data is serialized, specify option. Each option is an integer constant in orjson. To specify multiple options, mask them together, e.g., option=orjson.OPT_STRICT_INTEGER | orjson.OPT_NAIVE_UTC.",Modify how data is serialized,"Modify how data is serialized
Specify multiple options","Modify how data is serialized
Specify multiple options","Modify how data is serialized
Specify multiple options",Modify how data is serialized,Modify how data is serialized,Modify how data is serialized,0,1,"Modify how data is serialized
Specify multiple options",,"Modify how data is serialized
Specify multiple options","specify option
specify multiple options","specify option
serialize data
specify multiple options","specify option
serialize data
specify multiple options",2,2,1,2,1,3,1,3,1,,,
Append \n to the output. This is a convenience and optimization for the pattern of dumps(...) + \n. bytes objects are immutable and this pattern copies the original contents.,,,,,Append \n to output,Append \n to output,Append \n to output,0,1,Append \n to output,Append \n to output,Append \n to output,,,,1,1,0,0,0,0,0,0,0,">>> import orjson
>>> orjson.dumps([])
b""[]""
>>> orjson.dumps([], option=orjson.OPT_APPEND_NEWLINE)
b""[]\n""",No paragraph linked,
Pretty-print output with an indent of two spaces. This is equivalent to indent=2 in the standard library. Pretty printing is slower and the output larger. orjson is the fastest compared library at pretty printing and has much less of a slowdown to pretty print than the standard library does. This option is compatible with all other options.,Pretty print output with an indent of two spaces,Pretty-print output,Pretty-print output,Pretty-print output,Pretty-print output,Pretty-print output,Pretty-print output,1,,Pretty-print output,,Pretty-print output,indent  in standard library,,,1,1,0,1,0,0,0,0,0,">>> import orjson
>>> orjson.dumps({""a"": ""b"", ""c"": {""d"": True}, ""e"": [1, 2]})
b'{""a"":""b"",""c"":{""d"":true},""e"":[1,2]}'
>>> orjson.dumps(
    {""a"": ""b"", ""c"": {""d"": True}, ""e"": [1, 2]},
    option=orjson.OPT_INDENT_2
)
b'{\n  ""a"": ""b"",\n  ""c"": {\n    ""d"": true\n  },\n  ""e"": [\n    1,\n    2\n  ]\n}'",,
"If displayed, the indentation and linebreaks appear like this:",,,,,,,,1,,,,,,,,0,0,,0,,0,0,0,0,"{
  ""a"": ""b"",
  ""c"": {
    ""d"": true
  },
  ""e"": [
    1,
    2
  ]
}","Pretty-print output with an indent of two spaces. This is equivalent to
indent=2 in the standard library. Pretty printing is slower and the output
larger. orjson is the fastest compared library at pretty printing and has
much less of a slowdown to pretty print than the standard library does. This
option is compatible with all other options.",
This measures serializing the github.json fixture as compact (52KiB) or pretty (64KiB):,Measure serializing the github.json fixture,Measure github.json fixture,,,,,,1,,Measure github.json fixture,,,,serialize github.json fixture,serialize github.json fixture,1,0,0,0,,1,0,1,0,,,
"This measures serializing the citm_catalog.json fixture, more of a worst case due to the amount of nesting and newlines, as compact (489KiB) or pretty (1.1MiB):",Measures serializing the citm_catalog.json fixture,Measure citm_catalog.json fixture,,,,,,1,,Measure citm_catalog.json fixture,,,,,,1,0,0,0,,0,0,0,0,,,
rapidjson is blank because it does not support pretty printing. This can be reproduced using the pyindent script.,,Use pyindent script,,,,,,1,,Use pyindent script,,,use pyindent script,use pyindent script,,1,0,1,1,0,1,0,0,0,,,
Serialize datetime.datetime objects without a tzinfo as UTC. This has no effect on datetime.datetime objects that have tzinfo set.,Serialize datetime.datetime objects without a tzinfo as UTC,Serialize datetime.datetime objects,Serialize datetime.datetime objects,Serialize datetime.datetime objects,Serialize datetime.datetime without tzinfo as UTC,Serialize datetime.datetime without tzinfo as UTC,Serialize datetime.datetime without tzinfo as UTC,1,0,Serialize datetime.datetime without tzinfo as UTC,,Serialize datetime.datetime without tzinfo as UTC,,serialize datetime.datetime objects without tzinfo,serialize datetime.datetime objects without tzinfo,1,1,,0,,1,1,1,1,">>> import orjson, datetime
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0),
    )
b'""1970-01-01T00:00:00""'
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0),
        option=orjson.OPT_NAIVE_UTC,
    )
b'""1970-01-01T00:00:00+00:00""'",No paragraph linked,
"Serialize dict keys of type other than str. This allows dict keys to be one of str, int, float, bool, None, datetime.datetime, datetime.date, datetime.time, enum.Enum, and uuid.UUID. For comparison, the standard library serializes str, int, float, bool or None by default. orjson benchmarks as being faster at serializing non-str keys than other libraries. This option is slower for str keys than the default.","Serialize dict keys of type str, int, float, bool, None, datetime.datetime, datetime.date, datetime.time, enum.Enum, uuid.UUID",Serialize dict keys,Serialize dict keys,Serialize dict keys,Serialize dict keys of type other than str,Serialize dict keys of type other than str,Serialize dict keys of type other than str,1,0,Serialize dict keys of type other than str,,Serialize dict keys of type other than str,,"serialize none by default
serialize none for comparison
serialize str by default
serialize str for comparison
serialize int by default
serialize int for comparison
serialize float by default
serialize float for comparison
serialize bool by default
serialize bool for comparison
serialize non","serialize none by default
serialize none for comparison
serialize str by default
serialize str for comparison
serialize int by default
serialize int for comparison
serialize float by default
serialize float for comparison
serialize bool by default
serialize bool for comparison
serialize non",1,1,,0,,11,0,11,0,">>> import orjson, datetime, uuid
>>> orjson.dumps(
        {uuid.UUID(""7202d115-7ff3-4c81-a7c1-2a1f067b1ece""): [1, 2, 3]},
        option=orjson.OPT_NON_STR_KEYS,
    )
b'{""7202d115-7ff3-4c81-a7c1-2a1f067b1ece"":[1,2,3]}'
>>> orjson.dumps(
        {datetime.datetime(1970, 1, 1, 0, 0, 0): [1, 2, 3]},
        option=orjson.OPT_NON_STR_KEYS | orjson.OPT_NAIVE_UTC,
    )
b'{""1970-01-01T00:00:00+00:00"":[1,2,3]}'",No paragraph linked,
"These types are generally serialized how they would be as values, e.g., datetime.datetime is still an RFC 3339 string and respects options affecting it. The exception is that int serialization does not respect OPT_STRICT_INTEGER.",,,,,,,,1,,,,,,serialize types,serialize types,0,0,,0,,1,0,1,0,,,
"This option has the risk of creating duplicate keys. This is because non-str objects may serialize to the same str as an existing key, e.g., {1: true, 1: false}. The last key to be inserted to the dict will be serialized last and a JSON deserializer will presumably take the last occurrence of a key (in the above, false). The first value will be lost.",,,,,,,,1,,,,,"create duplicate keys
insert  to dict",,,0,0,,2,,0,,0,,,,
"This option is compatible with orjson.OPT_SORT_KEYS. If sorting is used, note the sort is unstable and will be unpredictable for duplicate keys.",,,,,Sort with duplicate keys,Sort with duplicate keys,Sort with duplicate keys,0,1,,, ,,,,0,1,,0,,0,,0,,">>> import orjson, datetime
>>> orjson.dumps(
    {""other"": 1, datetime.date(1970, 1, 5): 2, datetime.date(1970, 1, 3): 3},
    option=orjson.OPT_NON_STR_KEYS | orjson.OPT_SORT_KEYS
)
b'{""1970-01-03"":3,""1970-01-05"":2,""other"":1}'","This option has the risk of creating duplicate keys. This is because non-str
objects may serialize to the same str as an existing key, e.g.,
{""1"": true, 1: false}. The last key to be inserted to the dict will be
serialized last and a JSON deserializer will presumably take the last
occurrence of a key (in the above, false). The first value will be lost.",
"This measures serializing 589KiB of JSON comprising a list of 100 dict in which each dict has both 365 randomly-sorted int keys representing epoch timestamps as well as one str key and the value for each key is a single integer. In str keys, the keys were converted to str before serialization, and orjson still specifes option=orjson.OPT_NON_STR_KEYS (which is always somewhat slower).",Serializing 589KiB of JSON comprising list ,"Convert keys to str
Specify option=orjson.OPT_NON_STR_KEYS",,,Serialize 589KiB of JSON,,"Convert keys to str
Specify option=orjson.OPT_NON_STR_KEYS",0,1,"Convert keys to str
Specify option=orjson.OPT_NON_STR_KEYS
Serialize 589KiB of JSON",, ,,,,3,1,0,0,,0,,0,,,,
ujson is blank for sorting because it segfaults. json is blank because it raises TypeError on attempting to sort before converting all keys to str. rapidjson is blank because it does not support non-str keys. This can be reproduced using the pynonstr script.,,,,,,,,1,,,,,"raise TypeError on attempting
convert keys to str
sort  before converting
use pynonstr script","raise TypeError on attempting
convert keys to str
sort  before converting
use pynonstr script","convert keys to str
sort  before converting",0,0,0,4,0,4,0,2,0,,,
Do not serialize the microsecond field on datetime.datetime and datetime.time instances.,,,,,Do not serialize microsecond field,,Do not serialize microsecond field,0,1,,,,,,,0,0,0,0,,0,0,0,0,">>> import orjson, datetime
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0, 1),
    )
b'""1970-01-01T00:00:00.000001""'
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0, 1),
        option=orjson.OPT_OMIT_MICROSECONDS,
    )
b'""1970-01-01T00:00:00""'",No paragraph linked,
Passthrough dataclasses.dataclass instances to default. This allows customizing their output but is much slower.,Pass through dataclasses.dataclass instances to default,"Passthrough dataclasses.dataclass
Customize output ",Customize output,Customize output,Passthrough dataclasses.dataclass,,"Passthrough dataclasses.dataclass
Customize output ",0,1,"Passthrough dataclasses.dataclass
Customize output ",Customize output,"Passthrough dataclasses.dataclass
Customize output ",customize output,customize output,customize output,2,2,1,1,1,1,1,1,,">>> import orjson, dataclasses
>>>
@dataclasses.dataclass
class User:
    id: str
    name: str
    password: str

def default(obj):
    if isinstance(obj, User):
        return {""id"": obj.id, ""name"": obj.name}
    raise TypeError

>>> orjson.dumps(User(""3b1"", ""asd"", ""zxc""))
b'{""id"":""3b1"",""name"":""asd"",""password"":""zxc""}'
>>> orjson.dumps(User(""3b1"", ""asd"", ""zxc""), option=orjson.OPT_PASSTHROUGH_DATACLASS)
TypeError: Type is not JSON serializable: User
>>> orjson.dumps(
        User(""3b1"", ""asd"", ""zxc""),
        option=orjson.OPT_PASSTHROUGH_DATACLASS,
        default=default,
    )
b'{""id"":""3b1"",""name"":""asd""}'",,
