Paragraph,Tasks (Old),Henry's mechanical tasks,Henry's library tasks,Henry's library tasks (updated),Sarah's mechanical tasks,Sarah's library tasks,Sarah's library tasks (updated),Conflict,Resolved mechanical tasks,Resolved library tasks,Program,Updated program,,,,,
gold (list of list of strings) – the gold standard,get gold standard,,,,,,,,,,,,,,,,
"tuple of (tagged_sequences, ordered list of rule scores (one for each rule))",,,,,,,,,,,,,,,,,
"Print a list of all templates, ranked according to efficiency.",Print templates ranked by efficiency,Print list of templates,Print list of templates,Print list of templates,"Print a list of all templates, ranked according to efficiency.","Print a list of all templates, ranked according to efficiency.","Print a list of all templates, ranked according to efficiency.",0,,,print list of templates,print list of templates,,,,,
"If test_stats is available, the templates are ranked according to their relative contribution (summed for all rules created from a given template, weighted by score) to the performance on the test set. If no test_stats, then statistics collected during training are used instead. There is also an unweighted measure (just counting the rules). This is less informative, though, as many low-score rules will appear towards end of training.",Rank templates,Use statistics ,,,Rank templates according to their relative contribution,,Rank templates according to their relative contribution,1,,,use statistics,,,,,,
test_stats (dict of str -> any (but usually numbers)) – dictionary of statistics collected during testing,,,,,,,,,,,,,,,,,
"printunused (bool) – if True, print a list of all unused templates",Print unused templates,Print unused templates,Print unused templates,Print unused templates,Print a list of all unused templates,,,0,,,print list of unused templates,print list of unused templates,,,,,
None,,,,,,,,,,,,,,,,,
None,,,,,,,,,,,,,,,,,
Return the ordered list of transformation rules that this tagger has learnt,Return ordered list of transformation rules,Order list of transformation rules,Return ordered list of transformation rules,,Return the ordered list of transformation rules that this tagger has learnt,,,1,,,,,,,,,
the ordered list of transformation rules that correct the initial tagging,,,,,,,,,,,order list of transformation rules,order list of transformation rules,,,,,
list of Rules,,,,,,,,,,,,,,,,,
"Determine the most appropriate tag sequence for the given token sequence, and return a corresponding list of tagged tokens. A tagged token is encoded as a tuple (token, tag).",Determine most appropriate tag sequence,"Determine appropriate tag sequence for given token sequence
Return corresponding list of tagged tokens
Encode tagged token as tuple",,,Determine the most appropriate tag sequence for the given token sequence,Determine the most appropriate tag sequence for the given token sequence,Determine the most appropriate tag sequence for the given token sequence,1,,,,,,,,,
"list(tuple(str, str))",,,,,,,,,,,,,,,,,
"Return a named statistic collected during training, or a dictionary of all available statistics if no name given",Return a named statistic,"Return named statistic of available statistics, return dictionary of available statistics","Return named statistic of available statistics
Return dictionary of available statistics",,Return a named statistic collected during training,,,1,,,"return named statistic of available statistics
return dictionary of available statistics","return named statistic of available statistics
return dictionary of available statistics",,,,,
statistic (str) – name of statistic,,,,,,,,,,,,,,,,,
some statistic collected during training of this tagger,,,,,,,,,,,,,,,,,
any (but usually a number),,,,,,,,,,,,,,,,,
Bases: nltk.tbl.feature.Feature,,,,,,,,,,,,,,,,,
Feature which examines the tags of nearby tokens.,,,,,,,,,,,,,,,,,
@return: The given token’s tag.,,,,,,,,,,,,,,,,,
Bases: nltk.tbl.feature.Feature,,,,,,,,,,,,,,,,,
Feature which examines the text (word) of nearby tokens.,,,,,,,,,,,,,,,,,
@return: The given token’s text.,,,,,,,,,,,,,,,,,
"Return 24 templates of the seminal TBL paper, Brill (1995)",Return the 24 templates from TBL paper,,,,,,,,,,,,,,,,
"Print the available template sets in this demo, with a short description”",Print available template sets,Print available templates,Print available templates,Print available templates,Print the available template sets ,,Print the available template sets ,0,Print the available template sets ,Print the available template sets ,"set  with short description
set  in demo","set  with short description
set  in demo",,,,,
Return 37 templates taken from the postagging task of the fntbl distribution http://www.cs.jhu.edu/~rflorian/fntbl/ (37 is after excluding a handful which do not condition on Pos[0]; fntbl can do that but the current nltk implementation cannot.),Return the 37 templates from postagging of fntbl distribution,Return templates,,,Return 37 templates taken from the postagging task,,,0,,,,,,,,,
"Return 18 templates, from the original nltk demo, in multi-feature syntax",Return 18 templates from nltk demo,Return templates,,,Return 18 templates,,,0,,,,,,,,,
"Return 18 templates, from the original nltk demo, and additionally a few multi-feature ones (the motivation is easy comparison with nltkdemo18)",Return 18 templates from nltk demo,Return templates,,,Return 18 templates,,,0,,,,,,,,,
Bases: object,,,,,,,,,,,,,,,,,
A trainer for tbl taggers.,,,,,,,,,,,,,,,,,
"Trains the Brill tagger on the corpus train_sents, producing at most max_rules transformations, each of which reduces the net number of errors in the corpus by at least min_score, and each of which has accuracy not lower than min_acc.",Train Brill tagger,Train Brill tagger,Train Brill tagger,Train Brill tagger,Train the Brill tagger on the corpus,,Train the Brill tagger on the corpus,0,,,produce  at most max_rules transformations,produce  at most max_rules transformations,,,,,
"#imports >>> from nltk.tbl.template import Template >>> from nltk.tag.brill import Pos, Word >>> from nltk.tag import untag, RegexpTagger, BrillTaggerTrainer",,,,,,,,,,,,,,,,,
#some data >>> from nltk.corpus import treebank >>> training_data = treebank.tagged_sents()[:100] >>> baseline_data = treebank.tagged_sents()[100:200] >>> gold_data = treebank.tagged_sents()[200:300] >>> testing_data = [untag(s) for s in gold_data],,,,,,,,,,,,,,,,,
"#templates >>> Template._cleartemplates() #clear any templates created in earlier tests >>> templates = [Template(Pos([-1])), Template(Pos([-1]), Word([0]))]",,,,,,,,,,,create  in tests &gt; &gt; &gt; templates,create  in tests &gt; &gt; &gt; templates,,,,,
"#construct a BrillTaggerTrainer >>> tt = BrillTaggerTrainer(baseline, templates, trace=3)",,,,,,,,,,,,,,,,,
"# a high-accuracy tagger >>> tagger2 = tt.train(training_data, max_rules=10, min_acc=0.99) TBL train (fast) (seqs: 100; tokens: 2417; tpls: 2; min score: 2; min acc: 0.99) Finding initial useful rules…",,,,,,,,,,,find initial useful rules,find initial useful rules,,,,,
Found 845 useful rules.,,,,,,,,,,,find useful rules,find useful rules,,,,,
B |,,,,,,,,,,,,,,,,,
S F r O | Score = Fixed - Broken c i o t | R Fixed = num tags changed incorrect -> correct o x k h | u Broken = num tags changed correct -> incorrect r e e e | l Other = num tags changed incorrect -> incorrect e d n r | e,,,,,,,,,,,,,,,,,
"85 85 0 0 | NN->, if Pos:NN@[-1] & Word:,@[0] 69 69 0 0 | NN->. if Pos:NN@[-1] & Word:.@[0] 51 51 0 0 | NN->IN if Pos:NN@[-1] & Word:of@[0] 36 36 0 0 | NN->TO if Pos:NN@[-1] & Word:to@[0] 26 26 0 0 | NN->. if Pos:NNS@[-1] & Word:.@[0] 24 24 0 0 | NN->, if Pos:NNS@[-1] & Word:,@[0] 19 19 0 6 | NN->VB if Pos:TO@[-1] 18 18 0 0 | CD->-NONE- if Pos:NN@[-1] & Word:0@[0] 18 18 0 0 | NN->CC if Pos:NN@[-1] & Word:and@[0]",,,,,,,,,,,,,,,,,
"# NOTE1: (!!FIXME) A far better baseline uses nltk.tag.UnigramTagger, # with a RegexpTagger only as backoff. For instance, # >>> baseline = UnigramTagger(baseline_data, backoff=backoff) # However, as of Nov 2013, nltk.tag.UnigramTagger does not yield consistent results # between python versions. The simplistic backoff above is a workaround to make doctests # get consistent input.",,,,,,,,,,,,,,,,,
train_sents (list(list(tuple))) – training data,Get training data,,,,,,,,,,,,,,,,
max_rules (int) – output at most max_rules rules,Print max_rules rules,,,,Output at most max_rules rules,,,1,,,,,,,,,
min_score (int) – stop training when no rules better than min_score can be found,Specify min score for all rules,Find rules,,,Stop training,,,1,,,find rules,find rules,,,,,
min_acc (float or None) – discard any rule with lower accuracy than min_acc,Specify min accuracy ,,,,Discard any rule with lower accuracy than min_acc,,Discard any rule with lower accuracy than min_acc,1,,,,,,,,,
the learned tagger,,learn tagger,,,,,,1,,,learn tagger,learn tagger,,,,,
BrillTagger,,,,,,,,,,,,,,,,,
A module for POS tagging using CRFSuite,,,,,,,,,,,use CRFSuite,,,,,,
Bases: nltk.tag.api.TaggerI,,,,,,,,,,,,,,,,,
A module for POS tagging using CRFSuite https://pypi.python.org/pypi/python-crfsuite,,,,,,,,,,,use CRFSuite https://pypi.python.org/pypi/python-crfsuite,,,,,,
Setting learned model file >>> ct = CRFTagger() >>> ct.set_model_file(‘model.crf.tagger’) >>> ct.evaluate(gold_sentences) 1.0,,,,,,,,,,,,,,,,,
Train a new model using ``train’’ function,Train new model,"Train a new model
Use train",Train a new model,Train a new model,Train a new model using ``train’’ function,Train a new model using ``train’’ function,Train a new model using ``train’’ function,1,,,use train,,,,,,
Use the pre-trained model which is set via ``set_model_file’’ function,Use pre-trained model,"Use pre-trained model
Set pre-trained model via set_model_file function",Use pre-trained model,,,,,1,,,"use pre-trained model
set pre-trained model via set_model_file function",set pre-trained model via set_model_file function,,,,,
":params tokens : list of tokens needed to tag. :type tokens : list(str) :return : list of tagged tokens. :rtype : list (tuple(str,str))",,,,,,,,,,,,,,,,,
Train a new model using ``train’’ function,Train new model,"Train a new model
Use train",Train a new model,Train a new model,Train a new model using ``train’’ function,Train a new model using ``train’’ function,Train a new model using ``train’’ function,1,,,use train,,,,,,
Use the pre-trained model which is set via ``set_model_file’’ function,User pre-trained model,"Use pre-trained model, Set pre-trained model via set_model_file function",Use pre-trained model,,Use pre-trained model,Use pre-trained model,,1,,,"use pre-trained model
set pre-trained model via set_model_file function",set pre-trained model via set_model_file function,,,,,
":params sentences : list of sentences needed to tag. :type sentences : list(list(str)) :return : list of tagged sentences. :rtype : list (list (tuple(str,str)))",,,,,,,,,,,,,,,,,
"Train the CRF tagger using CRFSuite :params train_data : is the list of annotated sentences. :type train_data : list (list(tuple(str,str))) :params model_file : the model will be saved to this file.",Train CRF tagger using CRFSuite,"Use CRFSuite
Save model to file",Train CRF tagger using CRFSuite,,Train the CRF tagger,,Train the CRF tagger,1,,,"use CRFSuite
save model to file",save model to file,,,,,
"Hidden Markov Models (HMMs) largely used to assign the correct label sequence to sequential data or assess the probability of a given label and data sequence. These models are finite state machines characterised by a number of states, transitions between these states, and output symbols emitted while in each state. The HMM is an extension to the Markov chain, where each state corresponds deterministically to a given event. In the HMM the observation is a probabilistic function of the state. HMMs share the Markov chain’s assumption, being that the probability of transition from one state to another only depends on the current state - i.e. the series of states that led to the current state are not used. They are also time invariant.",,"Assign label sequence
Assess probability of sequence",,,"Assign the correct label sequence to sequential data
Assess the probabiliy of a given label and data sequence","Assign the correct label sequence to sequential data
Assess the probabiliy of a given label and data sequence",Assess the probabiliy of a given label and data sequence,1,,,"assign correct label sequence to sequential data
share assumption","assign correct label sequence to sequential data
share assumption",,,,,
"The HMM is a directed graph, with probability weighted edges (representing the probability of a transition between the source and sink states) where each vertex emits an output symbol when entered. The symbol (or observation) is non-deterministically generated. For this reason, knowing that a sequence of output observations was generated by a given HMM does not mean that the corresponding sequence of states (and what the current state is) is known. This is the ‘hidden’ in the hidden markov model.",,,,,,,,,,,"generate symbol
generate sequence of output observations","generate symbol
generate sequence of output observations",,,,,
"Formally, a HMM can be characterised by:",,,,,,,,,,,,,,,,,
the output observation alphabet. This is the set of symbols which may be observed as output of the system.,,,,,,,,,,,,,,,,,
the set of states.,,,,,,,,,,,,,,,,,
the transition probabilities a_{ij} = P(s_t = j | s_{t-1} = i). These represent the probability of transition to each state from a given state.,Get transition probabilities,,,,,,,,,,,,,,,,
the output probability matrix b_i(k) = P(X_t = o_k | s_t = i). These represent the probability of observing each symbol in a given state.,Get probability matrix,,,,,,,,,,,,,,,,
the initial state distribution. This gives the probability of starting in each state.,Get initial state distribution,,,,,,,,,,,,,,,,
"To ground this discussion, take a common NLP application, part-of-speech (POS) tagging. An HMM is desirable for this task as the highest probability tag sequence can be calculated for a given sequence of word forms. This differs from other tagging techniques which often tag each word individually, seeking to optimise each individual tagging greedily without regard to the optimal combination of tags for a larger unit, such as a sentence. The HMM does this with the Viterbi algorithm, which efficiently computes the optimal path through the graph given the sequence of words forms.",,,,,Ground this discussion,,,1,,,"calculate highest probability for given sequence
compute optimal path through graph
compute Viterbi algorithm through graph","calculate highest probability for given sequence
compute optimal path through graph
compute Viterbi algorithm through graph",,,,,
"In POS tagging the states usually have a 1:1 correspondence with the tag alphabet - i.e. each state represents a single tag. The output observation alphabet is the set of word forms (the lexicon), and the remaining three parameters are derived by a training regime. With this information the probability of a given sentence can be easily derived, by simply summing the probability of each distinct path through the model. Similarly, the highest probability tagging sequence can be derived with the Viterbi algorithm, yielding a state sequence which can be mapped into a tag sequence.",,,,,Derive probability of a given sentence,Derive probability of a given sentence,Derive probability of a given sentence,1,,,,,,,,,
"This discussion assumes that the HMM has been trained. This is probably the most difficult task with the model, and requires either MLE estimates of the parameters or unsupervised learning using the Baum-Welch algorithm, a variant of EM.",,,,,,,,,,,use baum-welch algorithm,,,,,,
"For more information, please consult the source code for this module, which includes extensive demonstration code.",,,,,,,,,,,"include extensive demonstration code
include module","include extensive demonstration code
include module",,,,,
Bases: nltk.tag.api.TaggerI,,,,,,,,,,,,,,,,,
"Hidden Markov model class, a generative model for labelling sequence data. These models define the joint probability of a sequence of symbols and their labels (state transitions) as the product of the starting state probability, the probability of each state transition, and the probability of each observation being generated from each state. This is described in more detail in the module documentation.",,Label sequence data,Label sequence data,,Label sequence data,Label sequence data,Label sequence data,,,,"define probability as product
define probability of observation
define probability of sequence
define probability of state transition
define joint probability as product
define joint probability of observation
define joint probability of sequence
define joint probability of state transition
define probability as product
define probability of observation
define probability of sequence
define probability of state transition
define labels as product
define labels of observation
define labels of sequence
define labels of state transition
generate  from state
describe  in more detail",generate  from state,,,,,
"This implementation is based on the HMM description in Chapter 8, Huang, Acero and Hon, Spoken Language Processing and includes an extension for training shallow HMM parsers or specialized HMMs as in Molina et. al, 2002. A specialized HMM modifies training data by applying a specialization function to create a new training set that is more appropriate for sequential tagging with an HMM. A typical use case is chunking.",,Modify training data,,,Modify training data by applying a specialization function,,,0,,,,,,,,,
symbols (seq of any) – the set of output symbols (alphabet),Get set of output symbols,,,,,,,,,,,,,,,,
states (seq of any) – a set of states representing state space,Get state space,,,,,,,,,,,,,,,,
transitions (ConditionalProbDistI) – transition probabilities; Pr(s_i | s_j) is the probability of transition from state i given the model is in state_j,Get transition probabilities ,,,,,,,,,,,,,,,,
outputs (ConditionalProbDistI) – output probabilities; Pr(o_k | s_i) is the probability of emitting symbol k when entering state i,Get output probabilities,,,,,,,,,,enter state i.,enter state i.,,,,,
priors (ProbDistI) – initial state distribution; Pr(s_i) is the probability of starting in state i,,,,,,,,,,,,,,,,,
"transform (callable) – an optional function for transforming training instances, defaults to the identity function.",Transform training instances,Transform training instances,Transform training instances,Transform training instances,Transform training instances,,Transform training instances,,,,,,,,,,
Returns the state sequence of the optimal (most probable) path through the HMM. Uses the Viterbi algorithm to calculate this part by dynamic programming.,Return state sequence of optimal path through HMM,Return state sequence of optimal path,Return state sequence of optimal path,,Return the state sequent of the optimal path,,,1,,,"return state sequence through HMM
return state sequence of optimal path
calculate part by dynamic programming","return state sequence through HMM
return state sequence of optimal path
calculate part by dynamic programming",,,,,
the state sequence,,,,,,,,,,,,,,,,,
sequence of any,,,,,,,,,,,,,,,,,
unlabeled_sequence (list) – the sequence of unlabeled symbols,,,,,,,,,,,,,,,,,
"Returns the state sequence of the optimal (most probable) path through the HMM. Uses the Viterbi algorithm to calculate this part by dynamic programming. This uses a simple, direct method, and is included for teaching purposes.",Get state sequence of optimal path through HMM,,,,Return the state sequence of the optimal path through the HMM,Return the state sequence of the optimal path through the HMM,,1,,,,,,,,,
the state sequence,,,,,,,,,,,,,,,,,
sequence of any,,,,,,,,,,,,,,,,,
unlabeled_sequence (list) – the sequence of unlabeled symbols,,,,,,,,,,,,,,,,,
Returns the entropy over labellings of the given sequence. This is given by:,Returns entropy over labellings of the given sequence,Return entropy over labellings of given sequence,Return entropy over labellings of given sequence,,Return the entropy over labellings of the given sequence,Return the entropy over labellings of the given sequence,Return the entropy over labellings of the given sequence,0,,,return entropy over labellings,return entropy over labellings,,,,,
"where the summation ranges over all state sequences, S. Let Z = Pr(O) = sum_S Pr(S, O)} where the summation ranges over all state sequences and O is the observation sequence. As such the entropy can be re-expressed as:",,,,,,,,,,,,,,,,,
"The order of summation for the log terms can be flipped, allowing dynamic programming to be used to calculate the entropy. Specifically, we use the forward and backward probabilities (alpha, beta) giving:",Calculate the entropy,Calculate entropy,Calculate entropy,Calculate entropy,Flip order of summation for log terms,,Flip order of summation for log terms,1,,,calculate entropy,calculate entropy,,,,,
"This simply uses alpha and beta to find the probabilities of partial sequences, constrained to include the given state(s) at some point in time.",Find probabilities of partial sequences,Find probabilities of partial sequences,Find probabilities of partial sequences,,Find the probabilities of partial sequences,Find the probabilities of partial sequences,,0,,,"find probabilities of partial sequences
include given state at point","find probabilities of partial sequences
include given state at point",,,,,
"Returns the log-probability of the given symbol sequence. If the sequence is labelled, then returns the joint log-probability of the symbol, state sequence. Otherwise, uses the forward algorithm to find the log-probability over all label sequences.",Get log-probability of given symbol sequence,"Return log-probability of given symbol sequence
Return joint log-probability of symbol
Use forward algorithm
Find log-probability over label sequences","Return log-probability of given symbol sequence
Return joint log-probability of symbol
Find log-probability over label sequences",,Return the log-probability of the given symbol sequence,Return the log-probability of the given symbol sequence,Return the log-probability of the given symbol sequence,1,,,"return log-probability of given symbol sequence
return joint log-probability of symbol
use forward algorithm
find log-probability over label sequences","return log-probability of given symbol sequence
return joint log-probability of symbol
find log-probability over label sequences",,,,,
the log-probability of the sequence,,,,,,,,,,,,,,,,,
float,,,,,,,,,,,,,,,,,
"sequence (Token) – the sequence of symbols which must contain the TEXT property, and optionally the TAG property",,,,,,,,,,,,,,,,,
"Returns the pointwise entropy over the possible states at each position in the chain, given the observation sequence.",Get pointwise entropy,Return pointwise entropy over possible states,Return pointwise entropy over possible states,,Return the pointwise entropy over the possible states at each position in the chain,Return the pointwise entropy over the possible states at each position in the chain,Return the pointwise entropy over the possible states at each position in the chain,0,,,return pointwise entropy over possible states,return pointwise entropy over possible states,,,,,
"Returns the probability of the given symbol sequence. If the sequence is labelled, then returns the joint probability of the symbol, state sequence. Otherwise, uses the forward algorithm to find the probability over all label sequences.",Get probability of given symbol sequence,"Return probability of given symbol sequence
Return joint probability of symbol
Find probability over label sequence","Return probability of given symbol sequence
Return joint probability of symbol
Find probability over label sequence",,Return the probability of the given symbol sequence,Return the probability of the given symbol sequence,Return the probability of the given symbol sequence,1,,,"return probability of given symbol sequence
return joint probability of symbol
use forward algorithm
find probability over label sequences","return probability of given symbol sequence
return joint probability of symbol
find probability over label sequences",,,,,
the probability of the sequence,,,,,,,,,,,,,,,,,
float,,,,,,,,,,,,,,,,,
"sequence (Token) – the sequence of symbols which must contain the TEXT property, and optionally the TAG property",,,,,,,,,,,,,,,,,
"Randomly sample the HMM to generate a sentence of a given length. This samples the prior distribution then the observation distribution and transition distribution for each subsequent observation and state. This will mostly generate unintelligible garbage, but can provide some amusement.",Randomly sample HMM to generate a sentence,"Generate sentence of given length
Generate unintelligible garbage",,Generate sentence of given length,Randomly sample the HMM to generate a sentence of a given length,,Randomly sample the HMM to generate a sentence of a given length,1,,,"generate sentence of given length
generate unintelligible garbage
provide amusement","generate sentence of given length
generate unintelligible garbage
provide amusement",,,,,
"the randomly created state/observation sequence, generated according to the HMM’s probability distributions. The SUBTOKENS have TEXT and TAG properties containing the observation and state respectively.",,,,,,,,,,,,,,,,,
list,,,,,,,,,,,,,,,,,
rng (Random (or any object with a random() method)) – random number generator,,,,,,,,,,,,,,,,,
length (int) – desired output length,,,,,,,,,,,,,,,,,
Tags the sequence with the highest probability state sequence. This uses the best_path method to find the Viterbi path.,Tag sequence with highest probability state sequence,"Tag highest probability state sequence
Find Viterbi path",,,Tag the sequence with the highest probability state,Tag the sequence with the highest probability state,Tag the sequence with the highest probability state,1,,,find Viterbi path,find Viterbi path,,,,,
a labelled sequence of symbols,Get labelled sequence of symbols ,,,,,,,,,,,,,,,,
list,,,,,,,,,,,,,,,,,
unlabeled_sequence (list) – the sequence of unlabeled symbols,Get unlabeled symbols,,,,,,,,,,,,,,,,
Tests the HiddenMarkovModelTagger instance.,Test HiddenMarkovModelTagger,,,,,,,,,,,,,,,,
test_sequence (list(list)) – a sequence of labeled test instances,,,,,,,,,,,,,,,,,
verbose (bool) – boolean flag indicating whether training should be verbose or include printed output,Set verbose,Include printed output,,,Indicate whether training should be verbose or include printed output,,Indicate whether training should be verbose or include printed output,1,,,include printed output,include printed output,,,,,
Train a new HiddenMarkovModelTagger using the given labeled and unlabeled training instances. Testing will be performed if test instances are provided.,Train HidenMarkovModelTagger,"Train new HiddenMarkovModelTagger
Use given labeled
Use unlabeled training instances
Perform testing
Provide test instances",Train new HiddenMarkovModelTagger,,Train a new HiddenMarkoveModelTagger,Train a new HiddenMarkoveModelTagger,Train a new HiddenMarkoveModelTagger,1,,,"use given labeled
use unlabeled training instances
perform testing
provide test instances","perform testing
provide test instances",,,,,
a hidden markov model tagger,,,,,,,,,,,,,,,,,
HiddenMarkovModelTagger,,,,,,,,,,,,,,,,,
"labeled_sequence (list(list)) – a sequence of labeled training instances, i.e. a list of sentences represented as tuples",Get labeled training instances,,,,,,,,,,,,,,,,
test_sequence (list(list)) – a sequence of labeled test instances,Get sequence of labeled test instances,,,,,,,,,,,,,,,,
"unlabeled_sequence (list(list)) – a sequence of unlabeled training instances, i.e. a list of sentences represented as words",Get unlabeled training instances,,,,,,,,,,,,,,,,
"transform (function) – an optional function for transforming training instances, defaults to the identity function, see transform()",Transform training instances,transform training instances,,,Transform training instances,Transform training instances,Transform training instances,1,,,,,,,,,
"estimator (class or function) – an optional function or class that maps a condition’s frequency distribution to its probability distribution, defaults to a Lidstone distribution with gamma = 0.1",Map condition frequency distribution to probability distribution,Map condition frequency distribution ,,,Map a condition's frequencey distribution to its probability distribution,Map a condition's frequencey distribution to its probability distribution,,1,,,,,,,,,
verbose (bool) – boolean flag indicating whether training should be verbose or include printed output,Make verbose,Include printed output,,,Indicate whether training should be verbose or include printed output,,Indicate whether training should be verbose or include printed output,1,,,include printed output,include printed output,,,,,
max_iterations (int) – number of Baum-Welch interations to perform,Set max iterations,,,,,,,,,,,,,,,,
Bases: object,,,,,,,,,,,,,,,,,
Algorithms for learning HMM parameters from training data. These include both supervised learning (MLE) and unsupervised learning (Baum-Welch).,,,,,,,,,,,"learn HMM parameters from training data
include supervised learning","learn HMM parameters from training data
include supervised learning",,,,,
"Creates an HMM trainer to induce an HMM with the given states and output symbol alphabet. A supervised and unsupervised training method may be used. If either of the states or symbols are not given, these may be derived from supervised training.",Create HMM trainer,"Create HMM trainer
Use supervised unsupervised training method ",,,Create an HMM trainer to induce an HMM with the given states and output symbol alphabet,Create an HMM trainer to induce an HMM with the given states and output symbol alphabet,,1,,,use supervised unsupervised training method,,,,,,
states (sequence of any) – the set of state labels,Get state labels,,,,,,,,,,,,,,,,
symbols (sequence of any) – the set of observation symbols,Get observation symbols,,,,,,,,,,,,,,,,
Trains the HMM using both (or either of) supervised and unsupervised techniques.,Train HMM ,"Train HMM
Use supervised unsupervised techniques",,,Train the HMM using both supervised and unsupervised techniques,Train the HMM using both supervised and unsupervised techniques,Train the HMM using both supervised and unsupervised techniques,1,,,use supervised unsupervised techniques,,,,,,
the trained model,,,,,,,,,,,,,,,,,
HiddenMarkovModelTagger,,,,,,,,,,,,,,,,,
"labelled_sequences (list) – the supervised training data, a set of labelled sequences of observations ex: [ (word_1, tag_1),…,(word_n,tag_n) ]",Get the supervised training data,,,,,,,,,,,,,,,,
"unlabeled_sequences (list) – the unsupervised training data, a set of sequences of observations ex: [ word_1, …, word_n ]",Get unsupervised training data,,,,,,,,,,,,,,,,
