Examples,Henry's paragraphs,Sarah's paragraphs,Conflict,Resolved paragraphs,Program,Updated program links,Has tasks,Paragraph count,Program count,Program correct,Updated program count,Updated program correct,,
">>> import orjson, datetime
>>> orjson.dumps(
    {""other"": 1, datetime.date(1970, 1, 5): 2, datetime.date(1970, 1, 3): 3},
    option=orjson.OPT_NON_STR_KEYS | orjson.OPT_SORT_KEYS
)
b'{""1970-01-03"":3,""1970-01-05"":2,""other"":1}'","This option is compatible with orjson.OPT_SORT_KEYS. If sorting is used, note the sort is unstable and will be unpredictable for duplicate keys","This option is compatible with orjson.OPT_SORT_KEYS. If sorting is used, note the sort is unstable and will be unpredictable for duplicate keys",0,"This option is compatible with orjson.OPT_SORT_KEYS. If sorting is used, note the sort is unstable and will be unpredictable for duplicate keys","This option has the risk of creating duplicate keys. This is because non-str objects may serialize to the same str as an existing key, e.g., {""1"": true, 1: false}. The last key to be inserted to the dict will be serialized last and a JSON deserializer will presumably take the last occurrence of a key (in the above, false). The first value will be lost.","This option has the risk of creating duplicate keys. This is because non-str objects may serialize to the same str as an existing key, e.g., {""1"": true, 1: false}. The last key to be inserted to the dict will be serialized last and a JSON deserializer will presumably take the last occurrence of a key (in the above, false). The first value will be lost.",FALSE,1,1,0,1,0,,0
">>> import orjson, datetime
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0, 1),
    )
b'""1970-01-01T00:00:00.000001""'
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0, 1),
        option=orjson.OPT_OMIT_MICROSECONDS,
    )
b'""1970-01-01T00:00:00""'",Do not serialize the microsecond field on datetime.datetime and datetime.time instances.,Do not serialize the microsecond field on datetime.datetime and datetime.time instances.,0,Do not serialize the microsecond field on datetime.datetime and datetime.time instances.,,,FALSE,1,0,0,0,0,,0
">>> import orjson, dataclasses
>>>
@dataclasses.dataclass
class User:
    id: str
    name: str
    password: str

def default(obj):
    if isinstance(obj, User):
        return {""id"": obj.id, ""name"": obj.name}
    raise TypeError

>>> orjson.dumps(User(""3b1"", ""asd"", ""zxc""))
b'{""id"":""3b1"",""name"":""asd"",""password"":""zxc""}'
>>> orjson.dumps(User(""3b1"", ""asd"", ""zxc""), option=orjson.OPT_PASSTHROUGH_DATACLASS)
TypeError: Type is not JSON serializable: User
>>> orjson.dumps(
        User(""3b1"", ""asd"", ""zxc""),
        option=orjson.OPT_PASSTHROUGH_DATACLASS,
        default=default,
    )
b'{""id"":""3b1"",""name"":""asd""}'",Passthrough dataclasses.dataclass instances to default. This allows customizing their output but is much slower.,Passthrough dataclasses.dataclass instances to default. This allows customizing their output but is much slower.,0,Passthrough dataclasses.dataclass instances to default. This allows customizing their output but is much slower.,Passthrough dataclasses.dataclass instances to default. This allows customizing their output but is much slower.,Passthrough dataclasses.dataclass instances to default. This allows customizing their output but is much slower.,TRUE,1,1,1,1,1,customize output,1
">>> import orjson, datetime
>>>
def default(obj):
    if isinstance(obj, datetime.datetime):
        return obj.strftime(""%a, %d %b %Y %H:%M:%S GMT"")
    raise TypeError

>>> orjson.dumps({""created_at"": datetime.datetime(1970, 1, 1)})
b'{""created_at"":""1970-01-01T00:00:00""}'
>>> orjson.dumps({""created_at"": datetime.datetime(1970, 1, 1)}, option=orjson.OPT_PASSTHROUGH_DATETIME)
TypeError: Type is not JSON serializable: datetime.datetime
>>> orjson.dumps(
        {""created_at"": datetime.datetime(1970, 1, 1)},
        option=orjson.OPT_PASSTHROUGH_DATETIME,
        default=default,
    )
b'{""created_at"":""Thu, 01 Jan 1970 00:00:00 GMT""}'
","Passthrough datetime.datetime, datetime.date, and datetime.time instances to default. This allows serializing datetimes to a custom format, e.g., HTTP dates:","Passthrough datetime.datetime, datetime.date, and datetime.time instances to default. This allows serializing datetimes to a custom format, e.g., HTTP dates:",0,"Passthrough datetime.datetime, datetime.date, and datetime.time instances to default. This allows serializing datetimes to a custom format, e.g., HTTP dates:",,,TRUE,1,0,0,0,0,,0
">>> import orjson
>>>
class Secret(str):
    pass

def default(obj):
    if isinstance(obj, Secret):
        return ""******""
    raise TypeError

>>> orjson.dumps(Secret(""zxc""))
b'""zxc""'
>>> orjson.dumps(Secret(""zxc""), option=orjson.OPT_PASSTHROUGH_SUBCLASS)
TypeError: Type is not JSON serializable: Secret
>>> orjson.dumps(Secret(""zxc""), option=orjson.OPT_PASSTHROUGH_SUBCLASS, default=default)
b'""******""'",Passthrough subclasses of builtin types to default.,Passthrough subclasses of builtin types to default.,0,Passthrough subclasses of builtin types to default.,,,FALSE,1,0,0,0,0,,0
">>> import orjson
>>> orjson.dumps({""b"": 1, ""c"": 2, ""a"": 3})
b'{""b"":1,""c"":2,""a"":3}'
>>> orjson.dumps({""b"": 1, ""c"": 2, ""a"": 3}, option=orjson.OPT_SORT_KEYS)
b'{""a"":3,""b"":1,""c"":2}'
",Serialize dict keys in sorted order. The default is to serialize in an unspecified order. This is equivalent to sort_keys=True in the standard library.,Serialize dict keys in sorted order. The default is to serialize in an unspecified order. This is equivalent to sort_keys=True in the standard library.,0,Serialize dict keys in sorted order. The default is to serialize in an unspecified order. This is equivalent to sort_keys=True in the standard library.,,,TRUE,1,0,0,0,0,,0
">>> import orjson
>>> orjson.dumps({""a"": 1, ""ä"": 2, ""A"": 3}, option=orjson.OPT_SORT_KEYS)
b'{""A"":3,""a"":1,""\xc3\xa4"":2}'",The sorting is not collation/locale-aware:,The sorting is not collation/locale-aware:,0,The sorting is not collation/locale-aware:,The benchmark can be reproduced using the pysort script.,This measures serializing the twitter.json fixture unsorted and sorted:,FALSE,1,1,0,1,0,serialize twitter.json fixture,1
">>> import orjson, datetime
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0, tzinfo=datetime.timezone.utc),
    )
b'""1970-01-01T00:00:00+00:00""'
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0, tzinfo=datetime.timezone.utc),
        option=orjson.OPT_UTC_Z
    )
b'""1970-01-01T00:00:00Z""'",Serialize a UTC timezone on datetime.datetime instances as Z instead of +00:00.,Serialize a UTC timezone on datetime.datetime instances as Z instead of +00:00.,0,Serialize a UTC timezone on datetime.datetime instances as Z instead of +00:00.,,Serialize a UTC timezone on datetime.datetime instances as Z instead of +00:00.,TRUE,1,0,0,1,1,serialize UTC timezone on datetime.datetime instances,1
"def loads(__obj: Union[bytes, bytearray, memoryview, str]) -> Any: ...","loads() deserializes JSON to Python objects. It deserializes to dict, list, int, float, str, bool, and None objects.","loads() deserializes JSON to Python objects. It deserializes to dict, list, int, float, str, bool, and None objects.",0,"loads() deserializes JSON to Python objects. It deserializes to dict, list, int, float, str, bool, and None objects.",,,TRUE,1,0,0,0,0,,0
">>> import dataclasses, orjson, typing

@dataclasses.dataclass
class Member:
    id: int
    active: bool = dataclasses.field(default=False)

@dataclasses.dataclass
class Object:
    id: int
    name: str
    members: typing.List[Member]

>>> orjson.dumps(Object(1, ""a"", [Member(1, True), Member(2)]))
b'{""id"":1,""name"":""a"",""members"":[{""id"":1,""active"":true},{""id"":2,""active"":false}]}'
","Dataclasses are serialized as maps, with every attribute serialized and in the order given on class definition:","Dataclasses are serialized as maps, with every attribute serialized and in the order given on class definition:",0,"Dataclasses are serialized as maps, with every attribute serialized and in the order given on class definition:",,,TRUE,1,0,0,0,0,,0
">>> import orjson, datetime, zoneinfo
>>> orjson.dumps(
    datetime.datetime(2018, 12, 1, 2, 3, 4, 9, tzinfo=zoneinfo.ZoneInfo('Australia/Adelaide'))
)
b'""2018-12-01T02:03:04.000009+10:30""'
>>> orjson.dumps(
    datetime.datetime.fromtimestamp(4123518902).replace(tzinfo=datetime.timezone.utc)
)
b'""2100-09-01T21:55:02+00:00""'
>>> orjson.dumps(
    datetime.datetime.fromtimestamp(4123518902)
)
b'""2100-09-01T21:55:02""'","orjson serializes datetime.datetime objects to RFC 3339 format, e.g., ""1970-01-01T00:00:00+00:00"". This is a subset of ISO 8601 and compatible with isoformat() in the standard library.","orjson serializes datetime.datetime objects to RFC 3339 format, e.g., ""1970-01-01T00:00:00+00:00"". This is a subset of ISO 8601 and compatible with isoformat() in the standard library.",0,"orjson serializes datetime.datetime objects to RFC 3339 format, e.g., ""1970-01-01T00:00:00+00:00"". This is a subset of ISO 8601 and compatible with isoformat() in the standard library.",,"orjson serializes datetime.datetime objects to RFC 3339 format, e.g., ""1970-01-01T00:00:00+00:00"". This is a subset of ISO 8601 and compatible with isoformat() in the standard library.",TRUE,1,0,0,1,1,,0
">>> import orjson, datetime
>>> orjson.dumps(datetime.time(12, 0, 15, 290))
b'""12:00:15.000290""'",datetime.time objects must not have a tzinfo.,datetime.time objects must not have a tzinfo.,0,datetime.time objects must not have a tzinfo.,"datetime.datetime supports instances with a tzinfo that is None, datetime.timezone.utc, a timezone instance from the python3.9+ zoneinfo module, or a timezone instance from the third-party pendulum, pytz, or dateutil/arrow libraries.","datetime.datetime supports instances with a tzinfo that is None, datetime.timezone.utc, a timezone instance from the python3.9+ zoneinfo module, or a timezone instance from the third-party pendulum, pytz, or dateutil/arrow libraries.",FALSE,1,1,0,1,0,support instances with tzinfo,1
">>> import orjson, datetime
>>> orjson.dumps(datetime.date(1900, 1, 2))
b'""1900-01-02""'",datetime.date objects will always serialize.,datetime.date objects will always serialize.,0,datetime.date objects will always serialize.,"datetime.datetime supports instances with a tzinfo that is None, datetime.timezone.utc, a timezone instance from the python3.9+ zoneinfo module, or a timezone instance from the third-party pendulum, pytz, or dateutil/arrow libraries.","datetime.datetime supports instances with a tzinfo that is None, datetime.timezone.utc, a timezone instance from the python3.9+ zoneinfo module, or a timezone instance from the third-party pendulum, pytz, or dateutil/arrow libraries.",FALSE,1,1,0,1,0,support instances with tzinfo,1
">>> import enum, datetime, orjson
>>>
class DatetimeEnum(enum.Enum):
    EPOCH = datetime.datetime(1970, 1, 1, 0, 0, 0)
>>> orjson.dumps(DatetimeEnum.EPOCH)
b'""1970-01-01T00:00:00""'
>>> orjson.dumps(DatetimeEnum.EPOCH, option=orjson.OPT_NAIVE_UTC)
b'""1970-01-01T00:00:00+00:00""'",orjson serializes enums natively. Options apply to their values.,orjson serializes enums natively. Options apply to their values.,0,orjson serializes enums natively. Options apply to their values.,orjson serializes enums natively. Options apply to their values.,orjson serializes enums natively. Options apply to their values.,FALSE,1,1,1,1,1,apply  to values,1
">>> import enum, orjson
>>>
class Custom:
    def __init__(self, val):
        self.val = val

def default(obj):
    if isinstance(obj, Custom):
        return obj.val
    raise TypeError

class CustomEnum(enum.Enum):
    ONE = Custom(1)

>>> orjson.dumps(CustomEnum.ONE, default=default)
b'1'",Enums with members that are not supported types can be serialized using default:,Enums with members that are not supported types can be serialized using default:,0,Enums with members that are not supported types can be serialized using default:,Enums with members that are not supported types can be serialized using default:,Enums with members that are not supported types can be serialized using default:,TRUE,1,1,1,1,1,serialize types,1
">>> import orjson, ujson, rapidjson, json
>>> orjson.dumps([float(""NaN""), float(""Infinity""), float(""-Infinity"")])
b'[null,null,null]'
>>> ujson.dumps([float(""NaN""), float(""Infinity""), float(""-Infinity"")])
OverflowError: Invalid Inf value when encoding double
>>> rapidjson.dumps([float(""NaN""), float(""Infinity""), float(""-Infinity"")])
'[NaN,Infinity,-Infinity]'
>>> json.dumps([float(""NaN""), float(""Infinity""), float(""-Infinity"")])
'[NaN, Infinity, -Infinity]'","orjson.dumps() serializes Nan, Infinity, and -Infinity, which are not compliant JSON, as null:","orjson.dumps() serializes Nan, Infinity, and -Infinity, which are not compliant JSON, as null:",0,"orjson.dumps() serializes Nan, Infinity, and -Infinity, which are not compliant JSON, as null:","orjson serializes and deserializes double precision floats with no loss of precision and consistent rounding. The same behavior is observed in rapidjson, simplejson, and json. ujson 1.35 was inaccurate in both serialization and deserialization, i.e., it modifies the data, and the recent 2.0 release is accurate.","orjson serializes and deserializes double precision floats with no loss of precision and consistent rounding. The same behavior is observed in rapidjson, simplejson, and json. ujson 1.35 was inaccurate in both serialization and deserialization, i.e., it modifies the data, and the recent 2.0 release is accurate.",FALSE,1,1,0,1,0,modify data,1
">>> import orjson
>>> orjson.dumps(9007199254740992)
b'9007199254740992'
>>> orjson.dumps(9007199254740992, option=orjson.OPT_STRICT_INTEGER)
JSONEncodeError: Integer exceeds 53-bit range
>>> orjson.dumps(-9007199254740992, option=orjson.OPT_STRICT_INTEGER)
JSONEncodeError: Integer exceeds 53-bit range","orjson serializes and deserializes 64-bit integers by default. The range supported is a signed 64-bit integer's minimum (-9223372036854775807) to an unsigned 64-bit integer's maximum (18446744073709551615). This is widely compatible, but there are implementations that only support 53-bits for integers, e.g., web browsers. For those implementations, dumps() can be configured to raise a JSONEncodeError on values exceeding the 53-bit range.","orjson serializes and deserializes 64-bit integers by default. The range supported is a signed 64-bit integer's minimum (-9223372036854775807) to an unsigned 64-bit integer's maximum (18446744073709551615). This is widely compatible, but there are implementations that only support 53-bits for integers, e.g., web browsers. For those implementations, dumps() can be configured to raise a JSONEncodeError on values exceeding the 53-bit range.",0,"orjson serializes and deserializes 64-bit integers by default. The range supported is a signed 64-bit integer's minimum (-9223372036854775807) to an unsigned 64-bit integer's maximum (18446744073709551615). This is widely compatible, but there are implementations that only support 53-bits for integers, e.g., web browsers. For those implementations, dumps() can be configured to raise a JSONEncodeError on values exceeding the 53-bit range.","orjson serializes and deserializes 64-bit integers by default. The range supported is a signed 64-bit integer's minimum (-9223372036854775807) to an unsigned 64-bit integer's maximum (18446744073709551615). This is widely compatible, but there are implementations that only support 53-bits for integers, e.g., web browsers. For those implementations, dumps() can be configured to raise a JSONEncodeError on values exceeding the 53-bit range.","orjson serializes and deserializes 64-bit integers by default. The range supported is a signed 64-bit integer's minimum (-9223372036854775807) to an unsigned 64-bit integer's maximum (18446744073709551615). This is widely compatible, but there are implementations that only support 53-bits for integers, e.g., web browsers. For those implementations, dumps() can be configured to raise a JSONEncodeError on values exceeding the 53-bit range.",TRUE,1,1,1,1,1,"serialize 64-bit integers by default
deserialize 64-bit integers by default
support 53-bits web browsers
support implementations
raise JSONEncodeError on values
configure dumps() for implementations",1
">>> import orjson, numpy
>>> orjson.dumps(
        numpy.array([[1, 2, 3], [4, 5, 6]]),
        option=orjson.OPT_SERIALIZE_NUMPY,
)
b'[[1,2,3],[4,5,6]]'",orjson is faster than all compared libraries at serializing numpy instances. Serializing numpy data requires specifying option=orjson.OPT_SERIALIZE_NUMPY.,orjson is faster than all compared libraries at serializing numpy instances. Serializing numpy data requires specifying option=orjson.OPT_SERIALIZE_NUMPY.,0,orjson is faster than all compared libraries at serializing numpy instances. Serializing numpy data requires specifying option=orjson.OPT_SERIALIZE_NUMPY.,orjson is faster than all compared libraries at serializing numpy instances. Serializing numpy data requires specifying option=orjson.OPT_SERIALIZE_NUMPY.,orjson is faster than all compared libraries at serializing numpy instances. Serializing numpy data requires specifying option=orjson.OPT_SERIALIZE_NUMPY.,TRUE,1,1,1,1,1,"compare libraries at serializing
compare orjson at serializing
serialize numpy instances",1
">>> import orjson, numpy
>>> orjson.dumps(
        numpy.datetime64(""2021-01-01T00:00:00.172""),
        option=orjson.OPT_SERIALIZE_NUMPY,
)
b'""2021-01-01T00:00:00.172000""'
>>> orjson.dumps(
        numpy.datetime64(""2021-01-01T00:00:00.172""),
        option=(
            orjson.OPT_SERIALIZE_NUMPY |
            orjson.OPT_NAIVE_UTC |
            orjson.OPT_OMIT_MICROSECONDS
        ),
)
b'""2021-01-01T00:00:00+00:00""'",numpy.datetime64 instances are serialized as RFC 3339 strings and datetime options affect them.,numpy.datetime64 instances are serialized as RFC 3339 strings and datetime options affect them.,0,numpy.datetime64 instances are serialized as RFC 3339 strings and datetime options affect them.,orjson is faster than all compared libraries at serializing numpy instances. Serializing numpy data requires specifying option=orjson.OPT_SERIALIZE_NUMPY.,numpy.datetime64 instances are serialized as RFC 3339 strings and datetime options affect them.,TRUE,1,1,0,1,1,serialize numpy.datetime64 instances as RFC,1
">>> import orjson, ujson, rapidjson, json
>>> orjson.dumps('\ud800')
JSONEncodeError: str is not valid UTF-8: surrogates not allowed
>>> ujson.dumps('\ud800')
UnicodeEncodeError: 'utf-8' codec ...
>>> rapidjson.dumps('\ud800')
UnicodeEncodeError: 'utf-8' codec ...
>>> json.dumps('\ud800')
'""\\ud800""'
>>> orjson.loads('""\\ud800""')
JSONDecodeError: unexpected end of hex escape at line 1 column 8: line 1 column 1 (char 0)
>>> ujson.loads('""\\ud800""')
''
>>> rapidjson.loads('""\\ud800""')
ValueError: Parse error at offset 1: The surrogate pair in string is invalid.
>>> json.loads('""\\ud800""')
'\ud800'",orjson and rapidjson are the only compared JSON libraries to consistently error on bad input.,orjson and rapidjson are the only compared JSON libraries to consistently error on bad input.,0,orjson and rapidjson are the only compared JSON libraries to consistently error on bad input.,"If orjson.dumps() is given a str that does not contain valid UTF-8, orjson.JSONEncodeError is raised. If loads() receives invalid UTF-8, orjson.JSONDecodeError is raised.","If orjson.dumps() is given a str that does not contain valid UTF-8, orjson.JSONEncodeError is raised. If loads() receives invalid UTF-8, orjson.JSONDecodeError is raised.",FALSE,1,1,0,1,0,"raise orjson.JSONEncodeError
raise orjson.JSONDecodeError",1
">>> import orjson
>>> orjson.loads(b'""\xed\xa0\x80""')
JSONDecodeError: str is not valid UTF-8: surrogates not allowed
>>> orjson.loads(b'""\xed\xa0\x80""'.decode(""utf-8"", ""replace""))
'���'","To make a best effort at deserializing bad input, first decode bytes using the replace or lossy argument for errors:","To make a best effort at deserializing bad input, first decode bytes using the replace or lossy argument for errors:",0,"To make a best effort at deserializing bad input, first decode bytes using the replace or lossy argument for errors:","To make a best effort at deserializing bad input, first decode bytes using the replace or lossy argument for errors:","To make a best effort at deserializing bad input, first decode bytes using the replace or lossy argument for errors:",TRUE,1,1,1,1,1,deserialize bad input,1
