Paragraph,Tasks (Old),Henry's mechanical tasks,Henry's library tasks,Henry's library tasks (updated),Sarah's mechanical tasks,Sarah's library tasks,Sarah's library tasks (updated),Conflict,Resolved mechanical tasks,Resolved library tasks,Program,
"Charts are encoded with the Chart class, and edges are encoded with the TreeEdge and LeafEdge classes. The chart parser module defines three chart parsers:",,,,,"Encode Charts with the Chart class
Encode edges with the TreeEdge and LeafeEdge classes",,,1,,,,
"ChartParser is a simple and flexible chart parser. Given a set of chart rules, it will apply those rules to the chart until no more edges are added.",,Apply rules to chart,Apply rules to chart,Apply rules to chart,Apply rules to the chart,,,0,,,,
SteppingChartParser is a subclass of ChartParser that can be used to step through the parsing process.,,,,,Step through the parsing process,Step through the parsing process,Step through the parsing process,1,,,use subclass of ChartParser,
Bases: nltk.parse.chart.ChartRuleI,,,,,,,,,,,,
An abstract base class for chart rules. AbstractChartRule provides:,,,,,,,,,,,,
A default implementation for apply.,,,,,,,,,,,,
"A default implementation for apply_everywhere, (Currently, this implementation assumes that ``NUM_EDGES``<=3.)",,,,,,,,,,,,
"A default implementation for __str__, which returns a name based on the rule’s class name.",,Return name ,,,Return a name based on the rule's class name,,,0,,,"return name
return __str__","return name
return __str__"
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add edges given a rule and also add to the chart,"Return generator
Add edges one at a time
Add edges to chart
Add new edge
Yield edge",,,"Return a generator
Add a new edge
Yield that edge",,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get the existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
"Return a generator that will add all edges licensed by this rule, given the edges that are currently in the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add edges given a rule and also add to the chart,"Return generator 
Add edges one at a time
Add new edge",,,"Return a generator that will add all edges licensed by this rule
Add a new edge
Yield that edge",,,1,,,,
iter(EdgeI),,,,, ,,,,,,,
Bases: nltk.parse.chart.ChartParser,,,,,,,,,,,,
A ChartParser using a bottom-up parsing strategy. See ChartParser for more information.,,,,,,,,,,,use bottom-up parsing strategy,
Bases: nltk.parse.chart.ChartParser,,,,,,,,,,,,
A ChartParser using a bottom-up left-corner parsing strategy. This strategy is often more efficient than standard bottom-up. See ChartParser for more information.,,Use bottom-up left-corner strategy,,,Use a bottom-up left-corner parsing strategy,Use a bottom-up left-corner parsing strategy,Use a bottom-up left-corner parsing strategy,0,,,use bottom-up left-corner parsing strategy,
Bases: nltk.parse.chart.BottomUpPredictRule,,,,,,,,,,,,
"A rule licensing any edge corresponding to a production whose right-hand side begins with a complete edge’s left-hand side. In particular, this rule specifies that [A -> alpha \*] licenses the edge [B -> A \* beta] for each grammar production B -> A beta.",How to define a rule ,,,,,,,,,,,
"This is like BottomUpPredictRule, but it also applies the FundamentalRule to the resulting edge.",,Apply FundamentalRule to edge,,,Apply the FundamentalRule to the resulting edge,,,0,,,apply FundamentalRule to resulting edge,apply FundamentalRule to resulting edge
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add edges given a rule and also add to the chart,"Return generator
Add edges one at at time
Add new edge",,,Return a generator that will add edges licensed by this rule,,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get the existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.AbstractChartRule,,,,,,,,,,,,
"A rule licensing any edge corresponding to a production whose right-hand side begins with a complete edge’s left-hand side. In particular, this rule specifies that [A -> alpha \*] licenses the edge [B -> \* A beta] for each grammar production B -> A beta.",How to define a rule ,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add edges given a rule and also add to the chart,"Return generator
Add edges one at at time
Add new edge",,,Return a generator that will add edges licensed by this rule,,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get the existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.TopDownPredictRule,,,,,,,,,,,,
"A cached version of TopDownPredictRule. After the first time this rule is applied to an edge with a given end and next, it will not generate any more edges for edges with that end and next.",,,,,Apply rule to an edge,,,1,,,,
"If chart or grammar are changed, then the cache is flushed.",,Flush cache,Flush cache,Flush cache,Flush cache,,,,,,"change chart
change grammar
flush cache",flush cache
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add edges given a rule and also add to the chart,"Return generator
Add edges one at at time
Add new edge",,,Return a generator that will add edges licensed by this rule,,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get the existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: object,,,,,,,,,,,,
"A blackboard for hypotheses about the syntactic constituents of a sentence. A chart contains a set of edges, and each edge encodes a single hypothesis about the structure of some portion of the sentence.",,,,,,,,,,,,
"The select method can be used to select a specific collection of edges. For example chart.select(is_complete=True, start=0) yields all complete edges whose start indices are 0. To ensure the efficiency of these selection operations, Chart dynamically creates and maintains an index for each set of attributes that have been selected on.",Select specific collection of edges,"Select specific collection of edges
Use select method
Create index for set",Select specific collection of edges,Select specific collection of edges,"Select a specific collection of edges
Create and maintain an index for each set of attributes that have been selected on",,,1,,,,
"In order to reconstruct the trees that are represented by an edge, the chart associates each edge with a set of child pointer lists. A child pointer list is a list of the edges that license an edge’s right-hand side.",,Reconstruct trees,,,Reconstruct the trees that are represented by an edge,,,0,Reconstruct the trees that are represented by an edge,,,
_tokens – The sentence that the chart covers.,Get the sentence the chart covers,,,,,,,,,,,
_num_leaves – The number of tokens.,Get the number of tokens,,,,,,,,,,,
_edges – A list of the edges in the chart,Get the edges in the chart,,,,,,,,,,,
_edge_to_cpls – A dictionary mapping each edge to a set of child pointer lists that are associated with that edge.,Get a mapping of each edge to child pointer lists,,,,,,,,,,,
"_indexes – A dictionary mapping tuples of edge attributes to indices, where each index maps the corresponding edge attribute values to lists of edges.",Get mapping of edge attributes to indices,,,,,,,,,,,
Return the set of child pointer lists for the given edge. Each child pointer list is a list of edges that have been used to form this edge.,Get the child pointer list for an edge,Return child pointer lists for given edge,,,Return the set of child pointer lists for the given edge,,,0,Return the set of child pointer lists for the given edge,Return the set of child pointer lists for the given edge,"list  for given edge
use edges",list  for given edge
list(list(EdgeI)),,,,,,,,,,,,
Return a list of all edges in this chart. New edges that are added to the chart after the call to edges() will not be contained in this list.,Get all the edges in the chart,Return list of edges in chart,,,Return a list of all edges in this chart,,,0,,,,
list(EdgeI),,,,,,,,,,,,
"iteredges, select",,,,,,,,,,,,
Clear the chart.,Clear the chart,Clear chart ,Clear chart ,Clear chart ,Clear the chart,,,1,,,,
"Add a new edge to the chart, and return True if this operation modified the chart. In particular, return true iff the chart did not already contain edge, or if it did not already associate child_pointer_lists with edge.",Add a new edge to the chart and checked if it modified the chart,"Add new edge to chart
Modify the chart",,,"Add a new edge to the chart
Return true iff the chart did not already contain edge",,,1,,,,
edge (EdgeI) – The new edge,,,,,,,,,,,,
child_pointer_lists (sequence of tuple(EdgeI)) – A sequence of lists of the edges that were used to form this edge. This list is used to reconstruct the trees (or partial trees) that are associated with edge.,Get sequence of lists of edges that formed this edge,Use sequence of lists to form edge,Use sequence of lists to form edge,Use sequence of lists to form edge,Reconstruct the trees that are associated with edge,,,1,,,,
bool,,,,,,,,,,,,
"Add a new edge to the chart, using a pointer to the previous edge.",Add a new edge to the chart and point to the previous edge,"Add new edge to chart
Use pointer to previous edge ","Add new edge to chart
Use pointer to previous edge ",Add new edge to chart ,Add a new edge to the chart,,,1,,,"add new edge to chart
use pointer to previous edge",add new edge to chart
Return an iterator over the edges in this chart. It is not guaranteed that new edges which are added to the chart before the iterator is exhausted will also be generated.,Get an iterator of over the chart edges,Return iterator over chart,,,Return an iterator over the edges in this chart,,,0,,,,
iter(EdgeI),,,,,,,,,,,,
"edges, select",,,,,,,,,,,,
Return the leaf value of the word at the given index.,Get the leaf value of the word at index,Return leaf value of word,,,Return the leaf value of the word at the given index.,,,0,,,return leaf value of word,return leaf value of word
str,,,,,,,,,,,,
Return a list of the leaf values of each word in the chart’s sentence.,Get leaf values of each word in chart,Return list of leaf values,,,Return a list of the leaf values of each word in the chart’s sentence.,,,0,,,,
list(str),,,,,,,,,,,,
Return the number of edges contained in this chart.,Get number of edges in chart,Return number of edges,,,Return the number of edges contained in this chart.,,,0,,,return number of edges,return number of edges
int,,,,,,,,,,,,
Return the number of words in this chart’s sentence.,Get number of words in chart,Return number of words,,,Return the number of words in this chart’s sentence.,,,0,,,,
int,,,,,,,,,,,,
"Return an iterator of the complete tree structures that span the entire chart, and whose root node is root.",Get iterator of tree that spans the chart,Return iterator that span chart,,,Return an iterator of the complete tree structures that span the entire chart,,,0,,,,
Return a pretty-printed string representation of this chart.,Pretty print string representatino of chart,Return pretty-printed string representation of this chart,,,Return a pretty-printed string representation of this chart.,,,0,,,,
width – The number of characters allotted to each index in the sentence.,Specify number of characters for each index of sentence,,,,,,,,,,,
str,,,,,,,,,,,,
Return a pretty-printed string representation of a given edge in this chart.,Pretty print string representation of an edge,Return pretty-printed string representation of given edge,,,Return a pretty-printed string representation of a given edge in this chart.,,,0,,,return pretty-printed string representation of given edge,return pretty-printed string representation of given edge
str,,,,,,,,,,,,
width – The number of characters allotted to each index in the sentence.,Specify number of characters for each index of sentence,,,,,,,,,,,
Return a pretty-printed string representation of this chart’s leaves. This string can be used as a header for calls to pretty_format_edge.,Pretty print string representation chart leaves,Return pretty-printed string representation of chart leaves,,,Return a pretty-printed string representation of this chart’s leaves,,,0,,,,
Return an iterator over the edges in this chart. Any new edges that are added to the chart before the iterator is exahusted will also be generated. restrictions can be used to restrict the set of edges that will be generated.,Get iterator over the edges in the chart,Return iterator over edges in chart,,,Return an iterator over the edges in this chart.,,,0,,,,
span – Only generate edges e where e.span()==span,Generate edges where span == span,Generate edges e,,,Generate edges e where e.span()==span,,,0,,,,
start – Only generate edges e where e.start()==start,Generate edges where start == start,Generate edges e,,,Generate edges e where e.start()==start,,,0,,,,
end – Only generate edges e where e.end()==end,Generate edges where end == end,Generate edges e,,,Generate edges e where e.end()==end,,,0,,,,
length – Only generate edges e where e.length()==length,Generate edges where length == length,Generate edges e,,,Generate edges e where e.length()==length,,,0,,,,
lhs – Only generate edges e where e.lhs()==lhs,Generate edges where lhs == lhs,Generate edges e,,, Generate edges e where e.lhs()==lhs,,,0,,,,
rhs – Only generate edges e where e.rhs()==rhs,Generate edges where rhs == rhs,Generate edges e,,,Generate edges e where e.rhs()==rhs,,,0,,,,
nextsym – Only generate edges e where e.nextsym()==nextsym,Generate edges where nextsym == nextsym,Generate edges e,,,Generate edges e where e.nextsym()==nextsym,,,0,,,,
dot – Only generate edges e where e.dot()==dot,Generate edges where dot == dot,Generate edges e,,,Generate edges e where e.dot()==dot,,,0,,,,
is_complete – Only generate edges e where e.is_complete()==is_complete,Generate edges where is_complete == is_complete,Generate edges e,,,Generate edges e where e.is_complete()==is_complete,,,0,,,,
is_incomplete – Only generate edges e where e.is_incomplete()==is_incomplete,Generate edges where is_incomplete == is_incomplete,Generate edges e,,,Generate edges e where e.is_incomplete()==is_incomplete,,,0,,,,
iter(EdgeI),,,,,,,,,,,,
Return an iterator of the tree structures that are associated with edge.,Get iterator of tree structures associated with edge,Return iterator of tree structures,,,Return an iterator of the tree structures that are associated with edge,,,0,,,return iterator of tree structures,return iterator of tree structures
"If edge is incomplete, then the unexpanded children will be encoded as childless subtrees, whose node value is the corresponding terminal or nonterminal.",,Encode unexpanded children as childless subtrees,,,Encode unexpanded children as childless subtrees,,,,,,encode unexpanded children as childless subtrees,encode unexpanded children as childless subtrees
list(Tree),,,,,,,,,,,,
"If two trees share a common subtree, then the same Tree may be used to encode that subtree in both trees. If you need to eliminate this subtree sharing, then create a deep copy of each tree.",Eliminate subtree sharing,"Encode subtree in trees
Create deep copy of tree",,,Eliminate subtree sharing,,Eliminate subtree sharing,1,,,,
Bases: nltk.parse.api.ParserI,,,,,,,,,,,,
"A generic chart parser. A “strategy”, or list of ChartRuleI instances, is used to decide what edges to add to the chart. In particular, ChartParser uses the following algorithm to parse texts:",,Decide what edges to add to the chart,,,Decide what edges to add to the chart,,,,,,,
Return the final parse Chart from which all possible parse trees can be extracted.,Get final parse chart,Return final parse chart,Return final parse chart,,Return the final parse Chart from which all possible parse trees can be extracted,,,1,,,return final parse chart,return final parse chart
tokens (list(str)) – The sentence to be parsed,,,,,,,,,,,,parse sentence
Chart,,,,,,,,,,,,
The grammar used by this parser.,Get grammer used by parser,Use parser,,,,,,1,,,use  by parser,
An iterator that generates parse trees for the sentence.,Get iterator that generates parse trees,Generate parse trees,Generate parse trees,,Generate parse trees for the sentence,Generate parse trees for the sentence,Generate parse trees for the sentence,0,,,generate iterator,"parse trees for sentence
generate iterator"
When possible this list is sorted from most likely to least likely.,,,,,,,,,,,sort list,sort list
sent (list(str)) – The sentence to be parsed,,,,,,,,,,,,parse sentence
iter(Tree),,,,,,,,,,,,
Bases: object,,,,,,,,,,,,
"A rule that specifies what new edges are licensed by any given set of existing edges. Each chart rule expects a fixed number of edges, as indicated by the class variable NUM_EDGES. In particular:",Specify which edges are licensed ,Specify rule of existing edges,Specify rule of existing edges,,Specify what new edges are licensed by any given set of existing edges,,,1,,,,
"A chart rule with NUM_EDGES=0 specifies what new edges are licensed, regardless of existing edges.",Specify which edges are licensed ,Specify regardless of existing edges,,,"Specify what new edges are licensed, regardless of existing edges",,,0,,,specify  regardless_of existing edges,specify  regardless_of existing edges
A chart rule with NUM_EDGES=1 specifies what new edges are licensed by a single existing edge.,Specify which edges are licensed ,Specify by single edge,,,Specify what new edges are licensed by a single existing edge,,,0,,,,
A chart rule with NUM_EDGES=2 specifies what new edges are licensed by a pair of existing edges.,Specify which edges are licensed ,Specify by pair of edges,,,Specify what new edges are licensed by a pair of existing edges,,,0,,,,
"NUM_EDGES – The number of existing edges that this rule uses to license new edges. Typically, this number ranges from zero to two.",,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add licensed edges,"Return generator
Add edges one at at time
Add new edge",,,"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time",,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
"Return a generator that will add all edges licensed by this rule, given the edges that are currently in the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Add edges to chart
Add new edge",,,"Return a generator that will add all edges licensed by this rule, given the edges that are currently in the chart, one at a time",,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: object,,,,,,,,,,,,
A hypothesis about the structure of part of a sentence. Each edge records the fact that a structure is (partially) consistent with the sentence. An edge contains:,,,,,,,,,,,,
"A span, indicating what part of the sentence is consistent with the hypothesized structure.",,,,,,,,,,,,
"A left-hand side, specifying what kind of structure is hypothesized.",,,,,,,,,,,specify kind of structure,specify kind of structure
"A right-hand side, specifying the contents of the hypothesized structure.",,,,,,,,,,,specify contents of hypothesized structure,specify contents of hypothesized structure
"A dot position, indicating how much of the hypothesized structure is consistent with the sentence.",,,,,,,,,,,,
Every edge is either complete or incomplete:,,,,,,,,,,,,
An edge is complete if its structure is fully consistent with the sentence.,,,,,,,,,,,,
"An edge is incomplete if its structure is partially consistent with the sentence. For every incomplete edge, the span specifies a possible prefix for the edge’s structure.",,,,,,,,,,,,
There are two kinds of edge:,,,,,,,,,,,,
A TreeEdge records which trees have been found to be (partially) consistent with the text.,,,,,,,,,,,find trees,find trees
A LeafEdge records the tokens occurring in the text.,,,,,,,,,,,,
"The EdgeI interface provides a common interface to both types of edge, allowing chart parsers to treat them in a uniform manner.",,,,,Provide a common interface to both types of edges,,,,,,provide common interface to types,provide common interface to types
"Return this edge’s dot position, which indicates how much of the hypothesized structure is consistent with the sentence. In particular, self.rhs[:dot] is consistent with tokens[self.start():self.end()].",Get edge dot position,Return dot position,,,Return the edge's dot position,,,0,,,,
int,,,,,,,,,,,,
Return the end index of this edge’s span.,Get end index of edge span,Return end index,,,Return the end index of this edge's span,,,0,,,,
int,,,,,,,,,,,,
Return True if this edge’s structure is fully consistent with the text.,Check if edge structure is fully consistent with text ,,,,Return True if this edge's structure is fully consistent with the text,,,1,,,,
bool,,,,,,,,,,,,
Return True if this edge’s structure is partially consistent with the text.,Check if edge structure is partially consistent with text,,,,Return True if this edge's structure is partially consistent with the text,,,,,,,
bool,,,,,,,,,,,,
Return the length of this edge’s span.,Get edge span length,Return edge span length,,,Return the length of this edge's span,,,0,,,,
int,,,,,,,,,,,,
"Return this edge’s left-hand side, which specifies what kind of structure is hypothesized by this edge.",Get the edge left hand side,"Return left-hand side
Specify kind of structure",,,Return this edge's left-hand side,,,1,,,"return left-hand side
specify kind of structure
specify left-hand side of structure","return left-hand side
specify kind of structure
specify left-hand side of structure"
TreeEdge and LeafEdge for a description of the left-hand side values for each edge type.,,,,,,,,,,,,
Return the element of this edge’s right-hand side that immediately follows its dot.,Get the edge right hand side that follows the dot,Return element of right-hand side,,,Return the element of this edge’s right-hand side that immediately follows its dot,,,0,,,return element of right-hand side,return element of right-hand side
Nonterminal or terminal or None,,,,,,,,,,,,
"Return this edge’s right-hand side, which specifies the content of the structure hypothesized by this edge.",Get edge right hand side,"Return right-hand side
Specify content of structure",,,Return this edge’s right-hand side,,,1,,,"return right-hand side
specify content of structure
specify right-hand side of structure","return right-hand side
specify content of structure
specify right-hand side of structure"
TreeEdge and LeafEdge for a description of the right-hand side values for each edge type.,,,,,,,,,,,,
"Return a tuple (s, e), where tokens[s:e] is the portion of the sentence that is consistent with this edge’s structure.",Get tuple of tokens that indicate consistency of edge structure,"Return tuple (s, e)",,,Return a tuple,,,0,Return a tuple,,return tuple,return tuple
"tuple(int, int)",,,,,,,,,,,,
Return the start index of this edge’s span.,Get start index of edge span,Return start index,,,Return the start index of this edge’s span,,,0,,,,
int,,,,,,,,,,,,
Bases: nltk.parse.chart.AbstractChartRule,,,,,,,,,,,,
"A rule that inserts all empty productions as passive edges, in every position in the chart.",,Insert empty productions,,,Insert all empty productions as passive edges,,,0,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,Add new edge,"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time",,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.BottomUpPredictCombineRule,,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time",,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.SingleEdgeFundamentalRule,,,,,,,,,,,,
Bases: nltk.parse.chart.AbstractChartRule,,,,,,,,,,,,
"A rule that joins two adjacent edges to form a single combined edge. In particular, this rule specifies that any pair of edges",,,,,,,,,,,,
[A -> alpha \* B beta][i:j],,,,,,,,,,,,
[B -> gamma \*][j:k],,,,,,,,,,,,
licenses the edge:,,,,,,,,,,,,
[A -> alpha B * beta][i:j],,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time",,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.EdgeI,,,,,,,,,,,,
An edge that records the fact that a leaf value is consistent with a word in the sentence. A leaf edge consists of:,,,,,,,,,,,,
"An index, indicating the position of the word.",,,,,,,,,,,,
"A leaf, specifying the word’s content.",,,,,,,,,,,specify word,specify word
"A leaf edge’s left-hand side is its leaf value, and its right hand side is (). Its span is [index, index+1], and its dot position is 0.",,,,,,,,,,,,
"Return this edge’s dot position, which indicates how much of the hypothesized structure is consistent with the sentence. In particular, self.rhs[:dot] is consistent with tokens[self.start():self.end()].",,Return dot position,,,Return this edge’s dot position,,,0,,,,
int,,,,,,,,,,,,
Return the end index of this edge’s span.,Get end index of edge span,Return end index,,,Return the end index of this edge’s span,,,0,,,,
int,,,,,,,,,,,,
Return True if this edge’s structure is fully consistent with the text.,Check if edge structure is fully consistent with text ,,,,Return True if this edge’s structure is fully consistent with the text.,,,,,,,
bool,,,,,,,,,,,,
Return True if this edge’s structure is partially consistent with the text.,Check if edge structure is partially consistent with text,,,,Return True if this edge’s structure is partially consistent with the text.,,,,,,,
bool,,,,,,,,,,,,
Return the length of this edge’s span.,Get edge span length,Return edge span length,Return edge span length,,Return the length of this edge’s span.,,,1,,,,
int,,,,,,,,,,,,
"Return this edge’s left-hand side, which specifies what kind of structure is hypothesized by this edge.",Get the edge left hand side,"Return left-hand side
Specify kind of structure",,,Return this edge’s left-hand side,,,1,,,"return left-hand side
specify kind of structure
specify left-hand side of structure","return left-hand side
specify kind of structure
specify left-hand side of structure"
