Example,Signature,Extracted,Linked
"QUnit.module('Database connection', {
  before: function () {
    return new Promise(function (resolve, reject) {
      DB.connect(function (err) {
        if (err) {
          reject(err);
        } else {
          resolve();
        }
      });
    });
  },
  after: function () {
    return new Promise(function (resolve, reject) {
      DB.disconnect(function (err) {
        if (err) {
          reject(err);
        } else {
          resolve();
        }
      });
    });
  }
});",[''],"[('Promise', ['N/A'])]",[]
"QUnit.module('Robot', hooks => {
  // ...
});

// Only execute this module when developing the feature,
// skipping tests from other modules.
QUnit.module.only('Android', hooks => {
  let android;
  hooks.beforeEach(() => {
    android = new Android();
  });

  QUnit.test('Say hello', assert => {
    assert.strictEqual(android.hello(), 'Hello, my name is AN-2178!');
  });

  QUnit.test('Basic conversation', assert => {
    android.loadConversationData({
      Hi: 'Hello',
      ""What's your name?"": 'My name is AN-2178.',
      'Nice to meet you!': 'Nice to meet you too!',
      '...': '...'
    });

    assert.strictEqual(
      android.answer(""What's your name?""),
      'My name is AN-2178.'
    );
  });

  // ...
});",[''],"[('hooks.beforeEach', ['N/A'])]",[]
"QUnit.module('Robot', hooks => {
  // ...
});

// Skip this module's tests.
// For example if the android tests are failing due to unsolved problems.
QUnit.module.skip('Android', hooks => {
  let android;
  hooks.beforeEach(() => {
    android = new Android();
  });

  QUnit.test('Say hello', assert => {
    assert.strictEqual(android.hello(), 'Hello, my name is AN-2178!');
  });

  QUnit.test('Basic conversation', assert => {
    // ...
    assert.strictEqual(
      android.answer('Nice to meet you!'),
      'Nice to meet you too!'
    );
  });

  // ...
});",[''],"[('hooks.beforeEach', ['N/A'])]",[]
"QUnit.module.todo('Robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  QUnit.test('Say', assert => {
    // Currently, it returns undefined
    assert.strictEqual(robot.say(), ""I'm Robot FN-2187"");
  });

  QUnit.test('Move arm', assert => {
    // Move the arm to point (75, 80). Currently, each throws a NotImplementedError
    robot.moveArmTo(75, 80);
    assert.deepEqual(robot.getPosition(), { x: 75, y: 80 });
  });

  // ...
});",[''],"[('hooks.beforeEach', ['N/A'])]",[]
QUnit.start(),['QUnit.start()'],"[('QUnit.start', ['N/A'])]",[]
QUnit.stop(),['QUnit.stop()'],"[('QUnit.stop', ['N/A'])]",[]
"QUnit.config.autostart = false;

require(
  ['test/tests1.js', 'test/tests2.js'],
  QUnit.start
);",[''],"[('require', ['N/A'])]",[]
"QUnit.test( name, callback )","['QUnit.test( name, callback )']","[('QUnit.test', ['N/A'])]",[]
QUnit.test(),"['QUnit.test()', 'QUnit.test()', 'QUnit.test()', 'QUnit.test()']","[('QUnit.test', ['N/A'])]",[]
"function square (x) {
  return x * x;
}

QUnit.test('square()', assert => {
  assert.equal(square(2), 4, 'square(2)');
  assert.equal(square(3), 9, 'square(3)');
});",[''],"[('QUnit.test', ['N/A'])]",[]
"QUnit.test('Test with async-await', async assert => {
  const a = await fetchSquare(2);
  const b = await fetchSquare(3);

  assert.equal(a, 4);
  assert.equal(b, 9);
  assert.equal(await fetchSquare(5), 25);
});",[''],"[('QUnit.test', ['N/A'])]",[]
"function fetchSquare (x) {
  return new Promise(function (resolve) {
    setTimeout(function () {
      resolve(x * x);
    }, 1000);
  });
}

QUnit.test('Test with Promise', function (assert) {
  return fetchSquare(3).then(function (result) {
    assert.equal(result, 9);
  });
});",[''],"[('Promise', ['N/A'])]",[]
"QUnit.test.each( name, dataset, callback )","['QUnit.test.each( name, dataset, callback )']","[('test.each', ['N/A'])]",[]
"QUnit.test.only.each( name, dataset, callback )","['QUnit.test.only.each( name, dataset, callback )']","[('only.each', ['N/A'])]",[]
"QUnit.test.skip.each( name, dataset, callback )","['QUnit.test.skip.each( name, dataset, callback )']","[('skip.each', ['N/A'])]",[]
"QUnit.test.todo.each( name, dataset, callback )","['QUnit.test.todo.each( name, dataset, callback )']","[('todo.each', ['N/A'])]",[]
QUnit.test.each(),['QUnit.test.each()'],"[('test.each', ['N/A'])]",[]
"function isEven (x) {
  return x % 2 === 0;
}

QUnit.test.each('isEven()', [2, 4, 6], (assert, data) => {
  assert.true(isEven(data), `${data} is even`);
});",[''],"[('test.each', ['N/A'])]",[]
"function square (x) {
  return x * x;
}

QUnit.test.each('square()', [
  [2, 4],
  [3, 9]
], (assert, [value, expected]) => {
  assert.equal(square(value), expected, `${value} squared`);
});",[''],"[('test.each', ['N/A'])]",[]
"QUnit.test.each('isEven()', {
  caseEven: [2, true],
  caseNotEven: [3, false]
}, (assert, [value, expected]) => {
  assert.strictEqual(isEven(value), expected);
});",[''],"[('test.each', ['N/A'])]",[]
each(),['each()'],"[('each', ['N/A'])]",[]
"function isEven (x) {
  return x % 2 === 0;
}

async function isAsyncEven (x) {
  return isEven(x);
}

QUnit.test.each('isAsyncEven()', [2, 4], async (assert, data) => {
  assert.true(await isAsyncEven(data), `${data} is even`);
});",[''],"[('isEven', ['N/A'])]",[]
"function isEven (x) {
  return x % 2 === 0;
}

function isAsyncEven (x) {
  return Promise.resolve(isEven(x));
}

QUnit.test.each('isAsyncEven()', [2, 4], function (assert, data) {
  return isAsyncEven(data).then(function (result) {
    assert.true(result, data + ' is even');
  });
});",[''],"[('Promise.resolve', ['N/A'])]",[]
"QUnit.test.only( name, callback )","['QUnit.test.only( name, callback )']","[('module.only', [None])]",[]
"QUnit.only( name, callback )","['QUnit.only( name, callback )']","[('module.only', [None])]",[]
QUnit.only(),"['QUnit.only()', 'QUnit.only()']","[('module.only', [None])]",[]
"QUnit.module('robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  QUnit.test('say()', assert => {
    assert.true(robot.say('Hello'));
  });

  // Run only this test
  // For example, you are working on changing this method.
  QUnit.test.only('laser()', assert => {
    assert.true(robot.laser());
  });

  QUnit.test('take()', assert => {
    assert.true(robot.take(5));
  });
});",[''],"[('hooks.beforeEach', ['N/A'])]",[]
"QUnit.test.skip( name, callback )","['QUnit.test.skip( name, callback )']","[('module.skip', ['name', 'options', 'executeNow'])]",[]
"QUnit.skip( name, callback )","['QUnit.skip( name, callback )']","[('module.skip', ['name', 'options', 'executeNow'])]","[('module.skip', ['name', 'options', 'executeNow'])]"
QUnit.skip(),"['QUnit.skip()', 'QUnit.skip()']","[('module.skip', ['name', 'options', 'executeNow'])]","[('module.skip', ['name', 'options', 'executeNow']), ('module.skip', ['name', 'options', 'executeNow'])]"
"QUnit.module('robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  QUnit.test('say', assert => {
    assert.strictEqual(robot.say(), 'Exterminate!');
  });

  // Robot does not yet have a laser() method yet, skip this test for now
  QUnit.test.skip('laser', assert => {
    assert.true(robot.laser());
  });
});",[''],"[('hooks.beforeEach', ['N/A'])]",[]
"QUnit.test.todo( name, callback )","['QUnit.test.todo( name, callback )']","[('module.todo', ['name', 'options', 'executeNow'])]",[]
"QUnit.todo( name, callback )","['QUnit.todo( name, callback )']","[('module.todo', ['name', 'options', 'executeNow'])]",[]
QUnit.todo(),"['QUnit.todo()', 'QUnit.todo()']","[('module.todo', ['name', 'options', 'executeNow'])]","[('module.todo', ['name', 'options', 'executeNow']), ('module.todo', ['name', 'options', 'executeNow'])]"
"QUnit.module('Robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  // Robot is not yet finished, expect this is a todo test
  QUnit.test.todo('fireLazer', assert => {
    const result = robot.fireLazer();
    assert.equal(result, ""I'm firing my lazer!"");
  });
});",[''],"[('hooks.beforeEach', ['N/A'])]",[]
