Paragraph,Ground truth tasks,Program tasks,Partial Ratio
"For English, by default, this annotator recognizes named (PERSON, LOCATION, ORGANIZATION, MISC), numerical (MONEY, NUMBER, ORDINAL, PERCENT), and temporal (DATE, TIME, DURATION, SET) entities (12 classes). Adding the regexner annotator and using the supplied RegexNER pattern files adds support for the fine-grained and additional entity classes EMAIL, URL, CITY, STATE_OR_PROVINCE, COUNTRY, NATIONALITY, RELIGION, (job) TITLE, IDEOLOGY, CRIMINAL_CHARGE, CAUSE_OF_DEATH, (Twitter, etc.) HANDLE (12 classes) for a total of 24 classes. Named entities are recognized using a combination of three CRF sequence taggers trained on various corpora, including CoNLL, ACE, MUC, and ERE corpora. Numerical entities are recognized using a rule-based system.","recognize named/numerical/temporal entities, add support for fine-grained and additional entity classes",add support for additional entity classes,71
"For English, by default, this annotator recognizes named (PERSON, LOCATION, ORGANIZATION, MISC), numerical (MONEY, NUMBER, ORDINAL, PERCENT), and temporal (DATE, TIME, DURATION, SET) entities (12 classes). Adding the regexner annotator and using the supplied RegexNER pattern files adds support for the fine-grained and additional entity classes EMAIL, URL, CITY, STATE_OR_PROVINCE, COUNTRY, NATIONALITY, RELIGION, (job) TITLE, IDEOLOGY, CRIMINAL_CHARGE, CAUSE_OF_DEATH, (Twitter, etc.) HANDLE (12 classes) for a total of 24 classes. Named entities are recognized using a combination of three CRF sequence taggers trained on various corpora, including CoNLL, ACE, MUC, and ERE corpora. Numerical entities are recognized using a rule-based system.","recognize named/numerical/temporal entities, add support for fine-grained and additional entity classes",use combination of crf sequence taggers,38
"For English, by default, this annotator recognizes named (PERSON, LOCATION, ORGANIZATION, MISC), numerical (MONEY, NUMBER, ORDINAL, PERCENT), and temporal (DATE, TIME, DURATION, SET) entities (12 classes). Adding the regexner annotator and using the supplied RegexNER pattern files adds support for the fine-grained and additional entity classes EMAIL, URL, CITY, STATE_OR_PROVINCE, COUNTRY, NATIONALITY, RELIGION, (job) TITLE, IDEOLOGY, CRIMINAL_CHARGE, CAUSE_OF_DEATH, (Twitter, etc.) HANDLE (12 classes) for a total of 24 classes. Named entities are recognized using a combination of three CRF sequence taggers trained on various corpora, including CoNLL, ACE, MUC, and ERE corpora. Numerical entities are recognized using a rule-based system.","recognize named/numerical/temporal entities, add support for fine-grained and additional entity classes",use rule-based system,38
"This phase runs by default, but can be deactivated by setting ner.applyNumericClassifiers to false.",deactivate numerical classifiers,set ner.applynumericclassifiers to false,66
"This phase runs by default, but can be deactivated by setting ner.applyNumericClassifiers to false.",deactivate numerical classifiers,run  by default,27
"This phase runs by default, but can be deactivated by setting ner.applyNumericClassifiers to false.",deactivate numerical classifiers,deactivate phase,75
SUTime (described in more detail below) is also used by default. You can deactivate this by setting ner.useSUTime to false.,deactivate sutime,use sutime,80
SUTime (described in more detail below) is also used by default. You can deactivate this by setting ner.useSUTime to false.,deactivate sutime,deactivate  by setting,76
SUTime (described in more detail below) is also used by default. You can deactivate this by setting ner.useSUTime to false.,deactivate sutime,set ner.usesutime to false,53
"If you do not want to run the fine-grained rules, set ner.applyFineGrained to false.",disable fine-grained rules,run fine-grained rules,86
"If you do not want to run the fine-grained rules, set ner.applyFineGrained to false.",disable fine-grained rules,set ner.applyfinegrained to false,62
Here is a breakdown of how to customize the fine-grained NER. The overall ner annotator creates a sub-annotator called ner.fine.regexner which is an instance of a TokensRegexNERAnnotator.,customize fine-grained ner,customize fine-grained ner,100
Here is a breakdown of how to customize the fine-grained NER. The overall ner annotator creates a sub-annotator called ner.fine.regexner which is an instance of a TokensRegexNERAnnotator.,customize fine-grained ner,call ner.fine.regexner,45
The ner.fine.regexner.mapping property allows one to specify a set of rules files and additional properties for each rules file.,specify rules files and properties,specify set of rules files,73
The ner.fine.regexner.mapping property allows one to specify a set of rules files and additional properties for each rules file.,specify rules files and properties,specify set for rules file,69
The ner.fine.regexner.mapping property allows one to specify a set of rules files and additional properties for each rules file.,specify rules files and properties,specify additional properties of rules files,62
The ner.fine.regexner.mapping property allows one to specify a set of rules files and additional properties for each rules file.,specify rules files and properties,specify additional properties for rules file,62
"If you want to set global settings that will apply for all rules files, remember to use ner.fine.regexner.ignorecase and ner.fine.regexner.validpospattern. If you are setting options for a specific rules file with the ner.fine.regexner.mapping option, follow the pattern from above.",set global settings for all rules files,set global settings,100
"If you want to set global settings that will apply for all rules files, remember to use ner.fine.regexner.ignorecase and ner.fine.regexner.validpospattern. If you are setting options for a specific rules file with the ner.fine.regexner.mapping option, follow the pattern from above.",set global settings for all rules files,use ner.fine.regexner.ignorecase,34
"If you want to set global settings that will apply for all rules files, remember to use ner.fine.regexner.ignorecase and ner.fine.regexner.validpospattern. If you are setting options for a specific rules file with the ner.fine.regexner.mapping option, follow the pattern from above.",set global settings for all rules files,use ner.fine.regexner.validpospattern.,32
"If you want to set global settings that will apply for all rules files, remember to use ner.fine.regexner.ignorecase and ner.fine.regexner.validpospattern. If you are setting options for a specific rules file with the ner.fine.regexner.mapping option, follow the pattern from above.",set global settings for all rules files,set options for specific rules file,70
"If you want to set global settings that will apply for all rules files, remember to use ner.fine.regexner.ignorecase and ner.fine.regexner.validpospattern. If you are setting options for a specific rules file with the ner.fine.regexner.mapping option, follow the pattern from above.",set global settings for all rules files,apply global settings for rules files,86
"After the fine-grained rules are run, there is also an option for a user to specify additional rules they would like to have run after the fine-grained NER phase.",specify additional rules after fine-grained ner phase,specify additional rules,100
"After the fine-grained rules are run, there is also an option for a user to specify additional rules they would like to have run after the fine-grained NER phase.",specify additional rules after fine-grained ner phase,run  after fine-grained ner phase,91
"After the fine-grained rules are run, there is also an option for a user to specify additional rules they would like to have run after the fine-grained NER phase.",specify additional rules after fine-grained ner phase,run fine-grained rules,73
"If you want to run a series of TokensRegex rules before entity building, you can also specify a set of TokensRegex rules. A TokensRegexAnnotator sub-annotator will be called. It has the name ner.additional.tokensregex.",run series of tokensregex rules before entity building,run series before entity building,82
"If you want to run a series of TokensRegex rules before entity building, you can also specify a set of TokensRegex rules. A TokensRegexAnnotator sub-annotator will be called. It has the name ner.additional.tokensregex.",run series of tokensregex rules before entity building,run series of tokensregex rules,100
"If you want to run a series of TokensRegex rules before entity building, you can also specify a set of TokensRegex rules. A TokensRegexAnnotator sub-annotator will be called. It has the name ner.additional.tokensregex.",run series of tokensregex rules before entity building,specify set of tokensregex rules,78
"If you want to run a series of TokensRegex rules before entity building, you can also specify a set of TokensRegex rules. A TokensRegexAnnotator sub-annotator will be called. It has the name ner.additional.tokensregex.",run series of tokensregex rules before entity building,call tokensregexannotator sub-annotator,46
You can deactivate this with ner.buildEntityMentions being set to false.,deactivate entity mentions,deactivate  with ner.buildentitymentions,63
You can deactivate this with ner.buildEntityMentions being set to false.,deactivate entity mentions,set  to false,38
There a variety of ways to customize an NER pipeline. Below are some example commands.,customize ner pipeline,customize ner pipeline,100
"Reference dates are by default extracted from the “datetime” and “date” tags in an xml document. To set a different set of tags to use, use the clean.datetags property. When using the API, reference dates can be added to an Annotation via edu.stanford.nlp.ling.CoreAnnotations.DocDateAnnotation, although note that when processing an xml document, the cleanxml annotator will overwrite the DocDateAnnotation if “datetime” or “date” are specified in the document.",set different tags for dates.,set different set of tags,76
"Reference dates are by default extracted from the “datetime” and “date” tags in an xml document. To set a different set of tags to use, use the clean.datetags property. When using the API, reference dates can be added to an Annotation via edu.stanford.nlp.ling.CoreAnnotations.DocDateAnnotation, although note that when processing an xml document, the cleanxml annotator will overwrite the DocDateAnnotation if “datetime” or “date” are specified in the document.",set different tags for dates.,use clean.datetags property,52
"Reference dates are by default extracted from the “datetime” and “date” tags in an xml document. To set a different set of tags to use, use the clean.datetags property. When using the API, reference dates can be added to an Annotation via edu.stanford.nlp.ling.CoreAnnotations.DocDateAnnotation, although note that when processing an xml document, the cleanxml annotator will overwrite the DocDateAnnotation if “datetime” or “date” are specified in the document.",set different tags for dates.,use api,57
"Reference dates are by default extracted from the “datetime” and “date” tags in an xml document. To set a different set of tags to use, use the clean.datetags property. When using the API, reference dates can be added to an Annotation via edu.stanford.nlp.ling.CoreAnnotations.DocDateAnnotation, although note that when processing an xml document, the cleanxml annotator will overwrite the DocDateAnnotation if “datetime” or “date” are specified in the document.",set different tags for dates.,process xml document,35
"Reference dates are by default extracted from the “datetime” and “date” tags in an xml document. To set a different set of tags to use, use the clean.datetags property. When using the API, reference dates can be added to an Annotation via edu.stanford.nlp.ling.CoreAnnotations.DocDateAnnotation, although note that when processing an xml document, the cleanxml annotator will overwrite the DocDateAnnotation if “datetime” or “date” are specified in the document.",set different tags for dates.,overwrite docdateannotation,33
"Reference dates are by default extracted from the “datetime” and “date” tags in an xml document. To set a different set of tags to use, use the clean.datetags property. When using the API, reference dates can be added to an Annotation via edu.stanford.nlp.ling.CoreAnnotations.DocDateAnnotation, although note that when processing an xml document, the cleanxml annotator will overwrite the DocDateAnnotation if “datetime” or “date” are specified in the document.",set different tags for dates.,add reference dates to annotation,48
"Reference dates are by default extracted from the “datetime” and “date” tags in an xml document. To set a different set of tags to use, use the clean.datetags property. When using the API, reference dates can be added to an Annotation via edu.stanford.nlp.ling.CoreAnnotations.DocDateAnnotation, although note that when processing an xml document, the cleanxml annotator will overwrite the DocDateAnnotation if “datetime” or “date” are specified in the document.",set different tags for dates.,specify datetime in document,36
"Reference dates are by default extracted from the “datetime” and “date” tags in an xml document. To set a different set of tags to use, use the clean.datetags property. When using the API, reference dates can be added to an Annotation via edu.stanford.nlp.ling.CoreAnnotations.DocDateAnnotation, although note that when processing an xml document, the cleanxml annotator will overwrite the DocDateAnnotation if “datetime” or “date” are specified in the document.",set different tags for dates.,specify date in document,38
The following example shows how to access label confidences for tokens and entities. Each token stores the probability of its NER label given by the CRF that was used to assign the label in the CoreAnnotations.NamedEntityTagProbsAnnotation.class. Each entity mention contains the probability of the token with the lowest label probability in its span. For example if Los Angeles had the following probabilities:,access label confidences for tokens and entities,access label confidences for tokens,100
The following example shows how to access label confidences for tokens and entities. Each token stores the probability of its NER label given by the CRF that was used to assign the label in the CoreAnnotations.NamedEntityTagProbsAnnotation.class. Each entity mention contains the probability of the token with the lowest label probability in its span. For example if Los Angeles had the following probabilities:,access label confidences for tokens and entities,access label confidences for entities,86
The following example shows how to access label confidences for tokens and entities. Each token stores the probability of its NER label given by the CRF that was used to assign the label in the CoreAnnotations.NamedEntityTagProbsAnnotation.class. Each entity mention contains the probability of the token with the lowest label probability in its span. For example if Los Angeles had the following probabilities:,access label confidences for tokens and entities,assign label in coreannotations.namedentitytagprobsannotation.class.,54
The following example shows how to access label confidences for tokens and entities. Each token stores the probability of its NER label given by the CRF that was used to assign the label in the CoreAnnotations.NamedEntityTagProbsAnnotation.class. Each entity mention contains the probability of the token with the lowest label probability in its span. For example if Los Angeles had the following probabilities:,access label confidences for tokens and entities,use crf,43
Below is code for accessing these confidences.,code for accessing confidences,access confidences,83
It is possible to run Stanford CoreNLP with NER models that ignore capitalization. We have trained models like this for English. You can find details on the Caseless models page.,ignore capitalization,run stanford corenlp with ner models,43
It is possible to run Stanford CoreNLP with NER models that ignore capitalization. We have trained models like this for English. You can find details on the Caseless models page.,ignore capitalization,ignore capitalization,100
It is possible to run Stanford CoreNLP with NER models that ignore capitalization. We have trained models like this for English. You can find details on the Caseless models page.,ignore capitalization,ignore ner models,47
It is possible to run Stanford CoreNLP with NER models that ignore capitalization. We have trained models like this for English. You can find details on the Caseless models page.,ignore capitalization,find details on caseless models page,38
The training process can be customized using a properties file. Here is an example properties file for training an English model(ner.model.props):,customize training process,use properties file,37
The training process can be customized using a properties file. Here is an example properties file for training an English model(ner.model.props):,customize training process,customize training process,100
"SUTime rules can be changed by modifying its included TokensRegex rule files. Changing other rule-based components (money, etc.) requires changes to the Java source code.",modify sutime rules,modify included tokensregex rule files,53
"SUTime rules can be changed by modifying its included TokensRegex rule files. Changing other rule-based components (money, etc.) requires changes to the Java source code.",modify sutime rules,change sutime rules,68
"SUTime rules can be changed by modifying its included TokensRegex rule files. Changing other rule-based components (money, etc.) requires changes to the Java source code.",modify sutime rules,change other rule-based components,42
