,Unnamed: 0,id,Unnamed: 2,result,HAS_API,DISCUSSES_API,Unnamed: 6,Unnamed: 7,LSA_summary,discusses_api_result,lexrank_summary
22,18,43172970,https://stackoverflow.com/questions/43172970,True,False,False,,,"Python pandas groupby aggregate on multiple columns, then pivot In Python, I have a pandas DataFrame similar to the following: Where shop1, shop2 and shop3 are the costs of every item in different shops. Now, I need to  return a DataFrame, after some data cleaning, like this one: where size is the number of items in each Category and sum, mean and std are related to the same functions applied to the 3 shops.",False,"Python pandas groupby aggregate on multiple columns, then pivot. In Python, I have a pandas DataFrame similar to the following: Where shop1, shop2 and shop3 are the costs of every item in different shops."
23,19,43756052,https://stackoverflow.com/questions/43756052,True,False,False,,,transform pandas pivot table to regular dataframe How can I convert a pandas pivot table to a regular dataframe ? For example: to a regular datetime such as this:,True,transform pandas pivot table to regular dataframe. How can I convert a pandas pivot table to a regular dataframe ?
24,20,24640399,https://stackoverflow.com/questions/24640399,True,False,False,,,how to unstack (or pivot?) in pandas I have a dataframe that looks like the following: This gives me: I want the final dataframe to look something like: I've done the following but I'm not quite there: df I thought I could unstack df2 to get something that resembles my final dataframe but I get all sorts of errors.,False,how to unstack (or pivot?) in pandas.
25,21,31661604,https://stackoverflow.com/questions/31661604,True,False,False,,,"I know I can pivot it and then turn it into some kind of sparse representation, but isn't as elegant as I would like. I was hoping that I could save a lot of space/memory by generating something that was sparse right off the bat rather than creating a dense matrix and then converting it to sparse.",False,"I know I can pivot it and then turn it into some kind of sparse representation, but isn't as elegant as I would like. I was hoping that I could save a lot of space/memory by generating something that was sparse right off the bat rather than creating a dense matrix and then converting it to sparse."
26,23,39273441,https://stackoverflow.com/questions/39273441,True,False,False,,,"Flatten pandas pivot table This is a follow up of my question. Rather than a pivot table, is it possible to flatten table to look like the following: Flattened table:",True,Flatten pandas pivot table. This is a follow up of my question.
27,24,42099024,https://stackoverflow.com/questions/42099024,True,False,False,,,pandas pivot table rename columns How to rename columns with multiple levels after pandas pivot operation? Here's some code to generate test data: gives a test dataframe: applying pivot gives,True,How to rename columns with multiple levels after pandas pivot operation? how to rename the columns by joining levels?
28,25,42708193,https://stackoverflow.com/questions/42708193,True,False,False,,,"pandas pivot table to data frame I have a dataframe (df) that looks like this: When I use reshape in R, I get what I want: Using pandas: How do I get exactly the same output as in R with pandas? I only want 1 header.",True,"pandas pivot table to data frame. I have a dataframe (df) that looks like this: When I use reshape in R, I get what I want: Using pandas: How do I get exactly the same output as in R with pandas?"
29,27,43728304,https://stackoverflow.com/questions/43728304,True,False,False,,,"most efficient method to use pandas pivot table over large file I am iterating over many exported security event logs pulled from a windows host, example dataframe like below: I am converting it to extract key:value pairs out of the ""Message"" Column and convert the keys to columns like below Output of above function: The functionality of the program works but is incredibly slow on the p = pivot_table portion of code on larger sets of data (roughly 150000 lines). Any assistance with this would be greatly appreciated.",False,I am currently using concurrent.futures.ThreadPoolExecutor(maxworkers=1000) iterating over each reading of the file like below: How can I speed up my the pivot table portion of my function? Any assistance with this would be greatly appreciated.
30,28,44513488,https://stackoverflow.com/questions/44513488,True,False,False,,,"How to remove multilevel index in pandas pivot table I have a dataframe as given: After pivoting, how can I get the dataframe having columns and df to be like the below; removing the multilevel index, VALUE",True,"How to remove multilevel index in pandas pivot table. I have a dataframe as given: After pivoting, how can I get the dataframe having columns and df to be like the below; removing the multilevel index, VALUE"
31,29,46859400,https://stackoverflow.com/questions/46859400,True,False,False,,,"pandas pivot changes dtype After create a new dataframe with pandas pivot_table, the dtype changes from int32 to float Original dataframe output: output: Whe I use pivot_table output: output: Why 0 column become float? How to avoid this?",True,"pandas pivot changes dtype. After create a new dataframe with pandas pivot_table, the dtype changes from int32 to float Original dataframe output: output: Whe I use pivot_table output: output: Why 0 column become float?"
32,30,48135994,https://stackoverflow.com/questions/48135994,True,False,False,,,Doing the opposite of pivot in pandas Python I'm trying to do the opposite of pivot in pandas. Wondering whether someone can provide some assistance?,False,Doing the opposite of pivot in pandas Python. I'm trying to do the opposite of pivot in pandas.
33,26,42876278,https://stackoverflow.com/questions/42876278,True,True,False,,,When to use multiindexing vs. xarray in pandas The pandas pivot tables documentation seems to recomend dealing with more than two dimensions of data by using multiindexing: I thought that xarray was made for handling multidimensional datasets like this: Is one of these approaches better than the other? Why hasn't xarray completely replaced multiindexing?,True,When to use multiindexing vs. xarray in pandas. The pandas pivot tables documentation seems to recomend dealing with more than two dimensions of data by using multiindexing: I thought that xarray was made for handling multidimensional datasets like this: Is one of these approaches better than the other?
34,52,34268418,https://stackoverflow.com/questions/34268418,True,False,False,,,,True,pandas pivot table with average time. I have been working with pandas to do analysis on time series data and have become stuck with integrating them into pivot tables.
35,53,34727716,https://stackoverflow.com/questions/34727716,True,False,False,,,,False,pivot irregular dictionary of lists into pandas dataframe. (Or a list of lists...
36,54,35652270,https://stackoverflow.com/questions/35652270,True,False,False,,,,True,Sort Pandas Pivot Table by the margin ('All') values column. I'm trying to do a descending sort on the last column/margins/aggrfunc by the sum of the rows in a pandas pivot table.
37,55,36337111,https://stackoverflow.com/questions/36337111,True,False,False,,,,True,Pandas one row pitvot table returns a serie instead of data frame. Depends on user input we generate pandas pivot table.
38,56,36346071,https://stackoverflow.com/questions/36346071,True,False,False,,,,True,pandas pivot table - changing order of non-index columns. How do I change the order of the non-index columns?
